title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned
"Great company for agile, hard-workers",5.0,2023-08-01,"Prologis is truly a world-class organization. The CEO and Founder, Hamid is a industry visionary, helping Prologis to become the global leader in industrial real estate. He leads with a confidence and thoughtfulness that inspires. On a more micro level, the individual support is excellent. The office community is friendly and helpful, with an excellent balance of hard work and fun. If you are a strong, hard-working person, you will succeed here. Folks who are not naturally driven would likely struggle.","Development work can be stressful, but that's an industry issue, not a company issue. The company is strongly focused on innovation. However, we tend to roll out initiatives before they're thoroughly tested. Instead of adopting feedback readily, it can be a painful process to provide feedback on a failed initiative during launch with leadership requesting that you ""prove your case"" instead of taking more formal note of feedback during early launch or testing. Too many of these processes add work without value and tasks to an already complicated workday.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is truly a world-class organization. The CEO and Founder, Hamid is a industry visionary, helping Prologis to become the global leader in industrial real estate. He leads with a confidence and thoughtfulness that inspires. On a more micro level, the individual support is excellent. The office community is friendly and helpful, with an excellent balance of hard work and fun. If you are a strong, hard-working person, you will succeed here. Folks who are not naturally driven would likely struggle.",prolog truli world class ceo hamid industri help prolog becom global leader industri real lead confid thought micro individu support offic commun friendli excel balanc hard hard succeed folk natur driven like,"Development work can be stressful, but that's an industry issue, not a company issue. The company is strongly focused on innovation. However, we tend to roll out initiatives before they're thoroughly tested. Instead of adopting feedback readily, it can be a painful process to provide feedback on a failed initiative during launch with leadership requesting that you ""prove your case"" instead of taking more formal note of feedback during early launch or testing. Too many of these processes add work without value and tasks to an already complicated workday.",develop industri strongli focus tend roll initi thoroughli instead adopt feedback pain process provid feedback fail initi launch leadership request prove case instead take formal note feedback earli launch mani process add without valu task alreadi complic,"Great company for agile, hard-workers",great hard worker
An Exceptional Workplace Where Excellence Thrives,5.0,2023-09-21,Diverse and dynamic work environment. Opportunities for skill development. Supportive and collaborative team. Varied daily challenges and tasks. Strong company culture and values.,Demanding workload and multitasking. Repetitive tasks at times. Stressful deadline-driven responsibilities. Occasional long working hours. Limited opportunities for creativity.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Diverse and dynamic work environment. Opportunities for skill development. Supportive and collaborative team. Varied daily challenges and tasks. Strong company culture and values.,divers dynam opportun skill support collabor vari daili challeng strong cultur,Demanding workload and multitasking. Repetitive tasks at times. Stressful deadline-driven responsibilities. Occasional long working hours. Limited opportunities for creativity.,demand workload repetit task stress deadlin driven occasion long limit opportun,An Exceptional Workplace Where Excellence Thrives,except workplac excel thrive
Amazing place to work!!!!,5.0,2024-03-25,"The culture is collaborative, innovative and supportive. Leadership is so amazing; they are dedicated to your success. They are so approachable and really take time to listen. They take feedback and react to it quickly. They are dedicated to their sustainability goals and their community involvement. They encourage a healthy work/life balance. They have a great mentor program for anyone that wants to grow professionally or personally.",I currently can't think of any cons.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The culture is collaborative, innovative and supportive. Leadership is so amazing; they are dedicated to your success. They are so approachable and really take time to listen. They take feedback and react to it quickly. They are dedicated to their sustainability goals and their community involvement. They encourage a healthy work/life balance. They have a great mentor program for anyone that wants to grow professionally or personally.",cultur innov leadership amaz dedic approach realli take take feedback react dedic sustain goal commun encourag healthi life great mentor program anyon want grow profession,I currently can't think of any cons.,current think,Amazing place to work!!!!,amaz place
A job,3.0,2024-08-26,You get paid on time,The company is full of people who don't know how to do their jobs.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,You get paid on time,paid,The company is full of people who don't know how to do their jobs.,full know,A job,
"Superb culture, inspiring leaders and great benefits",5.0,2024-08-28,"Prologis company culture is truly outstanding. People are hardworking, respect your work-life balance, encourage learning, welcome questions and much more. From Day 1, the people at Prologis made me feel like a part of the team. The company also offers competitive salary and great benefits.","It is really hard for me to think of a con of working at Prologis. If I had to pick something, it (at this point in my first year with the company) could only be a meager complaint that the office is too cold.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis company culture is truly outstanding. People are hardworking, respect your work-life balance, encourage learning, welcome questions and much more. From Day 1, the people at Prologis made me feel like a part of the team. The company also offers competitive salary and great benefits.",prolog cultur truli respect life encourag welcom question much day prolog made feel part offer competit salari great,"It is really hard for me to think of a con of working at Prologis. If I had to pick something, it (at this point in my first year with the company) could only be a meager complaint that the office is too cold.",realli hard think con pick point first year meager complaint offic,"Superb culture, inspiring leaders and great benefits",superb inspir leader great benefit
Ahead of the pack,5.0,2024-09-04,"The C-level leadership, including our CEO, CTO, CFO, CLO, and President, are visionary and supportive, cultivating a culture of excellence. As a founder-owned and managed company, Prologis remains deeply aligned with its core values. There is also a strong culture of giving back to our communities, which adds to the sense of purpose and fulfillment. As a global leader in real estate, Prologis is at the forefront of technology, making it an exciting place to work and grow. Highly recommend!","Prologis is a Fortune 100 company with 2,500+ employees, so to thrive here, you need to be dedicated and think like a service owner. The environment is fast-paced and demanding, which can be challenging if you’re not ready to take ownership and drive results.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The C-level leadership, including our CEO, CTO, CFO, CLO, and President, are visionary and supportive, cultivating a culture of excellence. As a founder-owned and managed company, Prologis remains deeply aligned with its core values. There is also a strong culture of giving back to our communities, which adds to the sense of purpose and fulfillment. As a global leader in real estate, Prologis is at the forefront of technology, making it an exciting place to work and grow. Highly recommend!",level includ visionari cultiv cultur founder own manag prolog remain deepli align core strong cultur give back add sens purpos global leader real prolog forefront make excit place highli,"Prologis is a Fortune 100 company with 2,500+ employees, so to thrive here, you need to be dedicated and think like a service owner. The environment is fast-paced and demanding, which can be challenging if you’re not ready to take ownership and drive results.",prolog fortun thrive need dedic think servic environ fast pace challeng readi take ownership drive,Ahead of the pack,ahead pack
"Great place to work, awesome culture, and innovative company",5.0,2024-09-04,"Prologis is a great place to work and leader in the industry. Our leadership team drives a thriving, focused culture to perform and meet / exceed market expectations","As with any company, remote and spread out working makes community harder but Prologis seeks to pull together virtually as best possible with initiatives like our IMPACT days.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is a great place to work and leader in the industry. Our leadership team drives a thriving, focused culture to perform and meet / exceed market expectations",prolog great place leader leadership team drive focus cultur perform meet exceed market expect,"As with any company, remote and spread out working makes community harder but Prologis seeks to pull together virtually as best possible with initiatives like our IMPACT days.",remot spread make commun harder prolog seek pull togeth virtual best possibl initi impact,"Great place to work, awesome culture, and innovative company",great place awesom innov
Takes great care of employees,5.0,2024-09-05,"Lots of perks including great benefits, team building events, culture, etc","Since it is a global company, policies sometimes seem politically driven","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Lots of perks including great benefits, team building events, culture, etc",lot perk includ great team build etc,"Since it is a global company, policies sometimes seem politically driven",sinc global polici sometim seem polit driven,Takes great care of employees,take great care employe
"Great company, people and culture",5.0,2024-09-06,* Work is interesting and makes an impact on the world * People are great * Leadership is accessible and engaged * Strong culture * World-class offices,"Work/life balance can be a challenge but given the pace of our world and how technology has blurred the lines between work and home, I think this is the case for most corp jobs. The modern way of working means it can be tough to unplug and keep the work moving forward.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,* Work is interesting and makes an impact on the world * People are great * Leadership is accessible and engaged * Strong culture * World-class offices,interest make impact world great leadership access engag strong cultur world class offic,"Work/life balance can be a challenge but given the pace of our world and how technology has blurred the lines between work and home, I think this is the case for most corp jobs. The modern way of working means it can be tough to unplug and keep the work moving forward.",life balanc challeng given pace world technolog blur line think case corp modern way mean tough unplug keep move,"Great company, people and culture",great cultur
Great Place to Work,5.0,2024-09-09,"Great people and culture, willingness to invest in innovation/new ideas, and strong focus on sustainability.",Relatively small workforce size can mean slower career progression in some functions.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Great people and culture, willingness to invest in innovation/new ideas, and strong focus on sustainability.",great willing invest innov new strong focu,Relatively small workforce size can mean slower career progression in some functions.,rel small workforc size mean slower career progress,Great Place to Work,great place
