ticker,year,review_count,rating,POST_CHATGPT,word_count_pros,word_count_cons
AAT,2014,1,3.5,0,20,40
AAT,2015,1,3.0,0,11,17
AAT,2016,3,3.3333333333333335,0,101,45
AAT,2017,2,1.0,0,15,69
AAT,2018,2,1.0,0,13,55
AAT,2019,2,2.5,0,37,45
AAT,2020,3,2.6666666666666665,0,30,89
AAT,2021,4,3.2,0,22,22
AAT,2022,2,5.0,0,10,12
AAT,2023,3,4.0,1,37,33
AAT,2024,1,1.0,1,3,81
AAT,2025,3,2.6666666666666665,1,89,24
ABR,2016,4,4.75,0,55,29
ABR,2017,4,2.5,0,47,53
ABR,2018,5,3.4,0,27,47
ABR,2019,5,3.0,0,58,107
ABR,2020,11,3.5833333333333335,0,112,141
ABR,2021,20,3.380952380952381,0,189,260
ABR,2022,27,3.074074074074074,0,193,217
ABR,2023,30,3.1333333333333333,1,341,414
ABR,2024,45,4.044444444444444,1,590,398
ABR,2025,26,3.8214285714285716,1,425,335
ADC,2018,1,2.0,0,9,9
ADC,2019,1,4.0,0,26,26
ADC,2021,2,3.0,0,10,33
ADC,2022,2,1.5,0,23,150
ADC,2023,1,4.0,1,7,13
ADC,2024,1,5.0,1,3,4
ADC,2025,1,5.0,1,44,5
AHH,2016,2,4.0,0,24,30
AHH,2017,3,3.6666666666666665,0,45,33
AHH,2018,1,1.0,0,3,25
AHH,2019,1,5.0,0,6,7
AHH,2020,1,2.0,0,4,56
AHH,2021,2,3.0,0,31,6
AHH,2022,4,4.75,0,63,13
AHH,2023,8,3.5,1,50,106
AHH,2024,7,4.375,1,47,30
AHR,2022,2,4.5,0,7,9
AHR,2023,1,5.0,1,5,4
AHR,2024,2,4.0,1,13,14
AHR,2025,2,5.0,1,118,20
AHT,2015,2,4.5,0,30,30
AHT,2016,2,3.0,0,9,10
AHT,2017,1,3.0,0,8,8
AHT,2020,1,3.0,0,5,4
AHT,2021,6,4.0,0,29,40
AHT,2022,3,4.333333333333333,0,25,16
AHT,2023,1,4.0,1,3,5
AHT,2024,4,4.0,1,25,194
AHT,2025,1,4.0,1,3,4
ALEX,2014,1,2.0,0,14,8
ALEX,2015,1,5.0,0,10,4
ALEX,2020,1,5.0,0,42,13
ALEX,2021,2,3.5,0,20,13
ALEX,2023,1,5.0,1,10,6
ALX,2020,1,5.0,0,3,2
ALX,2021,4,4.0,0,15,14
ALX,2024,4,4.0,1,31,24
AMH,2014,16,1.9375,0,192,377
AMH,2015,60,2.6721311475409837,0,913,1840
AMH,2016,39,2.75,0,657,1686
AMH,2017,54,3.3703703703703702,0,782,881
AMH,2018,72,4.013698630136986,0,1174,934
AMH,2019,46,3.5531914893617023,0,726,624
AMH,2020,41,3.3658536585365852,0,552,492
AMH,2021,57,3.542372881355932,0,642,978
AMH,2022,88,3.6363636363636362,0,973,1131
AMH,2023,71,3.219178082191781,1,601,1060
AMH,2024,58,3.1724137931034484,1,403,774
AMH,2025,34,2.8055555555555554,1,230,593
AMT,2014,23,2.8260869565217392,0,271,1254
AMT,2015,57,2.9649122807017543,0,713,1421
AMT,2016,60,3.096774193548387,0,643,818
AMT,2017,53,3.4444444444444446,0,507,618
AMT,2018,52,3.0576923076923075,0,538,822
AMT,2019,53,3.1296296296296298,0,1055,1378
AMT,2020,52,3.5660377358490565,0,381,888
AMT,2021,98,3.588235294117647,0,771,985
AMT,2022,88,3.763440860215054,0,573,985
AMT,2023,77,3.7468354430379747,1,643,1113
AMT,2024,58,3.6885245901639343,1,399,521
AMT,2025,36,3.5135135135135136,1,258,546
AOMR,2020,3,3.3333333333333335,0,23,51
AOMR,2021,9,3.5555555555555554,0,58,58
AOMR,2022,14,3.2857142857142856,0,80,189
AOMR,2023,2,2.3333333333333335,1,37,206
AOMR,2024,3,4.0,1,26,27
AOMR,2025,1,3.0,1,4,6
APLE,2015,3,4.666666666666667,0,24,22
APLE,2016,1,3.0,0,2,2
APLE,2017,1,3.0,0,9,11
APLE,2020,1,3.0,0,4,10
APLE,2021,3,4.666666666666667,0,21,11
APLE,2022,1,3.0,0,7,8
APLE,2023,2,3.0,1,20,13
APLE,2024,1,5.0,1,12,3
ARE,2014,1,4.0,0,6,6
ARE,2015,2,4.5,0,23,13
ARE,2016,7,4.125,0,338,125
ARE,2017,4,4.5,0,81,19
ARE,2018,8,4.125,0,382,102
ARE,2019,6,3.1666666666666665,0,333,384
ARE,2020,2,3.0,0,22,35
ARE,2021,8,3.75,0,141,285
ARE,2022,12,4.333333333333333,0,251,153
ARE,2023,2,4.0,1,10,11
ARE,2024,5,4.8,1,73,50
ARE,2025,1,1.0,1,4,3
BDN,2014,3,3.6666666666666665,0,26,21
BDN,2015,6,4.666666666666667,0,71,55
BDN,2016,2,4.0,0,15,11
BDN,2017,5,4.4,0,48,39
BDN,2018,3,4.0,0,23,61
BDN,2019,3,4.333333333333333,0,23,16
BDN,2020,4,3.5,0,44,77
BDN,2021,3,4.666666666666667,0,13,13
BDN,2022,6,3.5,0,55,72
BDN,2023,5,3.8,1,43,155
BDN,2024,8,4.25,1,39,51
BDN,2025,3,2.3333333333333335,1,18,61
BFS,2016,1,1.0,0,6,20
BFS,2022,1,3.0,0,13,8
BFS,2025,1,5.0,1,3,6
BNL,2019,1,5.0,0,7,5
BNL,2022,3,5.0,0,16,9
BNL,2024,3,3.6666666666666665,1,25,9
BNL,2025,1,5.0,1,4,3
BRG,2021,3,4.333333333333333,0,46,22
BRG,2022,1,2.0,0,7,23
BRSP,2025,1,5.0,1,26,10
BRX,2014,7,2.7142857142857144,0,51,47
BRX,2015,6,4.166666666666667,0,76,54
BRX,2016,9,3.2222222222222223,0,68,48
BRX,2017,11,3.0,0,105,188
BRX,2018,10,2.4,0,105,187
BRX,2019,5,4.4,0,67,53
BRX,2020,11,3.272727272727273,0,95,104
BRX,2021,12,4.0,0,91,54
BRX,2022,17,3.8823529411764706,0,140,175
BRX,2023,14,3.7142857142857144,1,129,146
BRX,2024,19,4.2631578947368425,1,155,121
BRX,2025,6,3.875,1,51,31
BXP,2014,12,3.5,0,151,212
BXP,2015,9,3.5,0,95,121
BXP,2016,9,4.222222222222222,0,86,73
BXP,2017,12,3.857142857142857,0,126,190
BXP,2018,8,3.5,0,110,327
BXP,2019,9,3.888888888888889,0,109,98
BXP,2020,9,4.111111111111111,0,68,49
BXP,2021,26,3.925925925925926,0,267,268
BXP,2022,16,3.6842105263157894,0,120,158
BXP,2023,13,3.6153846153846154,1,127,149
BXP,2024,18,4.05,1,204,310
BXP,2025,12,4.153846153846154,1,94,142
CBL,2014,6,2.5,0,60,219
CBL,2015,3,2.6666666666666665,0,19,79
CBL,2016,8,3.25,0,48,82
