title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Good company to work for,5.0,"Aug 5, 2024",Great company to work for.,No negative or cons to share.,"Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
AHCC,5.0,"Jul 18, 2024","Great people, great core values and great experience",A common theme in construction and not just AHCC is the long hours and stressful work.,"Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
Good Company,4.0,"Jul 11, 2024","Great co-workers, interesting projects, high level of professionalism and a company you can be proud to work for.",Sometimes too corporate and raises/promotions are few and far between.,"Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
"Work, Work balance",3.0,"Aug 28, 2023",You will learn volumes and the pay is pretty good*,"*The pay is pretty good if you were to only work 40-50 hours a week*The teams are not put together well and they are severely understaffed. Some individuals doing the bare minimum, with no consequences. At the same time, others are expected to review work at home and remain on site longer than they already are. While this is a typical story, it is extreme here. The teams should be staffed with twice the personnel, possibly more. If you plan on leaving, make sure to burn up your PTO because they will NOT pay more than 40 hours of accrued time. (It’s buried in the handbook and legal)","Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
Good,5.0,"Jun 7, 2024",I am happy happy happy,Can not think of any ro add,"Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
,3.0,"Jun 6, 2024",Good PTO Flexibility even during busy season,"Underestimated, undervalued, overworked, and no growth.","Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
Team,5.0,"Feb 16, 2024",The IT team is great and always eager to learn from each other.,There is no unlimited PTO.,"Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
LOVE Armada Hoffler,5.0,"Feb 5, 2024",Amazing leadership and awesome benefits. It is a wonderful place to work!,I don't have any cons or complaints.,"Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
Amazing company,5.0,"Dec 4, 2023","Great upper management, manageable workload, friendly fun environment",Long hours during quarter end,"Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
No work-life balance,2.0,"Apr 3, 2023",Coworkers were wonderful Benefits were good,Blatant favoritism Perpetually increasing workload with no increase in pay Expected to work minimum 50 hours a week,"Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
"Ok place to be, great place to learn",3.0,"Sep 7, 2023","CEO is great, other execs are new and still developing","will be over worked, wont be compensated","Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
Potential is here,2.0,"Jun 12, 2023","Fun people, interesting projects, growth potential if you apply yourself. Fantastic HR department.","Zero training, while there is potential for growth - everyone higher up is pretty miserable. No flexibility in my position. You must be self driven or you won’t make it.","Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
Highly Recommend,5.0,"Aug 28, 2023",Amazing place to work-people are so friendly and fun to work with.,I don’t have any cons,"Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
Awesome People,5.0,"May 24, 2023",The work environment is great! Lots of company-wide events and employee appreciation.,"As a graphic designer, I felt that I wasn't pushed creatively, but I learned a lot about project management and workflow in programs I wouldn't normally use. Not a serious con.","Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
Depends on what you need,3.0,"May 23, 2023",They give you all the tools for success initially,Everyone is fair game no matter how long you’ve been there,"Armada Hoffler Properties, Inc.",AHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Armada-Hoffler-Properties-Reviews-E342533.htm
