title,rating,date,pros,cons,company,ticker,scrape_date,glassdoor_url
Great place to work,5.0,"Apr 29, 2024","Free lunch, wellness activities including trivia, massages, yoga, diversity and inclusion opportunities and volunteer work.",Cross departmental communication can use some work,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Lack of Leadership and Overworked Employees,2.0,"Apr 15, 2025",Pros: Some genuinely talented and hardworking team members Opportunities to gain experience in a fast-paced environment Exposure to interesting projects within the real estate space Free lunches,"Cons: Serious lack of strong, consistent leadership Poor communication from upper management Employees are regularly overworked and under-supported Little to no recognition for extra effort or long hours Burnout is common and often goes unaddressed",Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Review,4.0,"Mar 18, 2025",Good working environment that provides wfh on Fridays,Top down culture with senior management,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Details,3.0,"Jul 28, 2024",Manage day to day as needed,Certain senior managers run the show and make decisions that may not be the best holistic approach,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Good to place to get your feet wet.,3.0,"Jun 1, 2023",multi-hat role exposes you to various aspects of IT.,less room for growth in technlogy,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Great place to work!,5.0,"Mar 10, 2023","Free lunch daily, monthly massages, yoga and boot camp classes, DEI and ESG focused. Friendly environment. WFH Fridays",4 days in the office but management is flexible,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Rumor mill & Clicky. It' s who you know,2.0,"Mar 7, 2023","Parking, benefits, wellness, commute, option to work remotely",Too many favoritism and unwarranted promotions just off of who you're friends with.,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Good pay bad leadership,2.0,"Mar 23, 2023",Company has good pay that’s about it,management is horrible. Little to no support,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Great pay,3.0,"Mar 24, 2023",Pay was great plus bonus.,Management is horrible. No support.,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Horrible Senior Management,2.0,"Mar 3, 2023",Friendly staff/great office environment/wellness perks,No work/life balance Horrible senior management,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Dysfunction at the highest levels,2.0,"Dec 14, 2018",Contemporary office space- investment in technology,Senior Management is very dysfunctional. There is a tremendous amount of back biting among the Senior leadership team that trickles down to the general population. It is almost encouraged by the CEO and CAO. While they give a half hearted attempt at a collegial and collaborative environment it couldn't be any more divisive. Morale is low and the office environment has a very heavy negative energy. Absolutely no room for growth. It's as if the CEO is intimidated by furthering the careers of very talented professionals. HR support is weak and/or non is existent.,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
I truly enjoy working for this company!,5.0,"Jan 11, 2018",This was my third full-time job out of college in 16 months and I have currently been with the company for 2 years now. I not only enjoy the work but I work with some of the best people I know! The company takes care of their employees which is why we have a low turnover rate.,"I cannot think of anything I would want them to change. Everyone has their days when they don't want to go to work but in the last two years, I have really only had about 3 of those days total!",Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
"Solid Company, Organizational Changes Required",3.0,"Dec 16, 2019","Experienced C-Level Team, Broad Mandate within Retail",C-Level oversight and decision making on certain issues required,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
