title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great,5.0,"Apr 1, 2024",Great job never want to leave,Horrible job can’t do it anymore,"Alexander's, Inc.",ALX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-s-Reviews-E24.htm
Family restaurant,4.0,"Jul 17, 2024",Everyone got along. Fun environment.,No benefits and low wages,"Alexander's, Inc.",ALX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-s-Reviews-E24.htm
Just oK,2.0,"Jul 18, 2010",The employee discount was descent.,The hours were inflexible and management not very understanding.,"Alexander's, Inc.",ALX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-s-Reviews-E24.htm
Customer Service,5.0,"Sep 8, 2020",very good customer at this job,sometimes can be very stressful,"Alexander's, Inc.",ALX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-s-Reviews-E24.htm
processor,4.0,"Dec 29, 2021",good customer service and working enviroment,time consuming and energy for me,"Alexander's, Inc.",ALX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-s-Reviews-E24.htm
....,4.0,"Feb 18, 2021",Good manager and always clean,Not knowledgeable enough to report,"Alexander's, Inc.",ALX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-s-Reviews-E24.htm
Man and Van Hire London,5.0,"Apr 3, 2024",Looking for efficient Man and Van hire services in London? Let our professional Man and Van Hire London movers handle your relocation with care.,"As a man and van hire service in London, you prioritize customer satisfaction by delivering efficient, reliable, and cost-effective solutions.","Alexander's, Inc.",ALX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-s-Reviews-E24.htm
Not special,2.0,"Jan 27, 2024","Has Cheap food
Flexible hours",Toxic administration and pay problems,"Alexander's, Inc.",ALX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-s-Reviews-E24.htm
Technical,5.0,"Jan 14, 2021",Goood for time being work,Not bad for working conditions,"Alexander's, Inc.",ALX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-s-Reviews-E24.htm
Good,3.0,"Apr 20, 2021",Very friendly people working there,Very small company and little room for growth,"Alexander's, Inc.",ALX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-s-Reviews-E24.htm
