title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Good company low pay,5.0,"Aug 28, 2025",It’s a good company to work for,The pay could be better,AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Pay is good but the good ends there,2.0,"Aug 19, 2025","Good or above standard pay which is great, decent insurance, and my coworkers were nice.","Lack of good leadership. Managers pass the stress on to their employees instead of fixing the issues. Lack of accountability as a whole. Working with HR was a nightmare. One coworker had to have painful injections and couldn’t get the time off approved to recover correctly. Others I heard of were working remotely for mental health reasons and they were later fired. Personally, when I had cancer, working with hr was awful. I wasn’t given any helpful information about my benefits that I found out much later could have helped me financially. When speaking to members of hr they come off uncaring, and extremely rude. The jobs they have shouldn’t carry as much stress as they do considering its normal office work (except for field workers). Over all, I wouldn’t recommend the company.",AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Find something else!,1.0,"Sep 2, 2025",Own office Pleasant co workers,Management Lack of accountability Retaliation Fraud No work/home balance Lack of empathy No bonuses No opportunities to move up in company,AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Glorified Customer Service Rep,2.0,"Oct 29, 2025",Hybrid schedule was nice prior to them making office mandatory 5 days.,You are on phones 7 hrs out of the day dealing with resident complaints - mostly about maintenance issues that are not within your control.,AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Better leadership in IT division will lead to better success,3.0,"Oct 16, 2025","Surrounded by lots of good, hard working people","High rate of turnover, leadership is lacking, You'll spend more time chasing approvals and accounting for every minute of a very fractured daily life there will prevent you from developing quality solutions. Test/development systems lag far behind the production systems you will be developing for.",AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Could be better,3.0,"Sep 23, 2025",- organized - pay - job security,"I was hired for a hybrid position, and at the time, there was no indication that the role would transition to a full on-site schedule. Unfortunately, when the position later required full-time on-site presence, I had to step away due to prior scheduling conflicts. I do wish the possibility of the drastic change was communicated during the hiring process.",AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Good job,4.0,"Oct 28, 2025","Good pay, good coworkers, and flexible schedules.","Over worked, and not enough workers.",AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Not the best place to work,2.0,"Oct 15, 2025",Work from home was great! Until it wasnt5,"They tout a Great Place to Work award. Not in the Las Vegas office, maybe just positions in the communities. That place ok until work from home was over and they layed us off.",AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
One of the worst companies,1.0,"Oct 17, 2025",Vacation time but good luck using it.,"5 hours of inbound phone time , one hour lunch and getting your job duties done are not possible. You are on salary which means working late doesn't matter and they are aware of the issue. Terrible company, run or be micromanaged",AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Great company,4.0,"Oct 21, 2025",There’s many opportunities for growth.,The commute can vary depending on certain days.,AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Low pay,2.0,"Oct 13, 2025",,istent files Hybrid schedule Nice desks,AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
It was good until it wasn’t,1.0,"Sep 28, 2025","Wfh (not anymore), no more because it went downhill","RTO, low pay especially they want to be back to office and now more expenses. Lots of tenured people leaving. They don’t care about the employees",AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
They will never appreciate your work,3.0,"Feb 8, 2025","If an employee of your local office the people care about you a lot more. Don’t work for Corporate! The local people are great. The Company does have a good vision, a solid product, wonderful teams (local offices) and the residents are the best part of my job. I love my residents and I love my job!","The pay is horrible! I save the company THOUSANDS of dollars and it is not rewarded. I can’t afford to live in one of our properties, which I find ironic. I have used all of industry contacts from 20 years of Property Management experience because I want AMH to look good but, I get nothing in return. If you accept a job, make sure you are compensated because trust me, they don’t reward you for saving them money or doing a great job. I sent an email that was ignored and it turned out to be costly. So just know your input for the greater good is just sometimes ignored. Just try to do your best to clean up the train wreck afterward. I do love the job, the people and the Company. But, just know that your efforts and determination to do a good job, needs to be done for you, not the Company. They will not reward you.",AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
,2.0,"Sep 30, 2025",Flexibility in within the position,Work place culture overall and micromanage,AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
foot in the door type job,3.0,"Aug 29, 2025","if you’re looking to stepping into the corporate world, good place to start especially real estate.",No employee appreciation Holiday parties were thrown in the parking lot 2 years in a row,AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Good and Bad,3.0,"Jun 15, 2025",The pay is higher than most places at a similar level in the area. Immediate managers and supervisors genuinely care about the well being of their employees.,"Pay not always given based on merit. Several examples of non-white and females being paid more than their straight white male counter parts lead me think there's DEI motivated pay structures. In one case, a tenured male in a leadership position was being paid the same as multiple females in a lower position than him. Doesn't appear the pay is fair on its face. Long hours. Be prepared to regularly work 50+ hours to get the job done correctly.",AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Inadequate Leadership,1.0,"May 1, 2025",The only pro is I don’t have one,Chaotic. Irresponsible budgeting. Less than mediocre district leadership. The leaders are the people that actually do the work that are paid crumbs… majority of the “leaders” don’t even know how to properly read reports or understand what cross departmental collaboration means and the significance thereof. It is a absolute mess and I only see it going further downhill,AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
Interesting,3.0,"Aug 8, 2025","Base pay, relationships, rehireable, workday","Bonus eligibility, on site work for office jobs, department favorites, hard to advance",AMH,AMH,Residential,2025-11-20,https://www.glassdoor.com/Reviews/AMH-Reviews-E669975.htm
