title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Good opportunity,5.0,"May 20, 2024",Given resources to succeed here.,"industry has yet to go through tech innovation, lots of unknown. not many cons with company","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Not what they used to be,3.0,"Mar 26, 2025","Remote work, ability to earn $$$$","Turn times are not the best, cost of benefits and options","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Work is hard but pay is solid.,4.0,"May 21, 2024",The pay and benefits are decent.,Manual underwriter to AMOS guidelines is very different from Conventional.,"Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Its a job,3.0,"Jan 12, 2024","Very Busy, no shortage on deals to look at. Rates are higher then other lenders for conventional loans, makes them tough to land. They have great NON QM mortgages, but with the rate hikes, market has slowed to crawl.","Hired too many people. Success rate diminished as more people brought on, not enough good leads to go around.","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
,1.0,"Sep 3, 2023","None. Wait, the building is nice and in a nice area.","This company doesn't care about its employees, AT ALL. However if you like free lunches over sustainable compensation, or the billionaire owners come to the company to visit tell you the company is in great financial condition and don't worry about your jobs to then lay off over 50% of the company a week later w/ no notice or severance package then this is the company for you!","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Things Could Have Been Better!,3.0,"Feb 12, 2023",They take a chance on those with no mortgage background. Everyone is very helpful when they can be. Some departments had the flexibility to work from home. It was typically very easy to take time off when you needed it.,"Hard to get promoted. There's a lack of transparency with what is going on with the company behind closed doors. it's hard to get promoted, especially if your are good in your roll. Can be extremely over-worked. HR isn't very helpful when it comes to employee concerns. There aren't any people of color in Executive Level Management, actually there wasn't but a couple of POC in management at all. There's no diversity & inclusion team, no team building - many of us worked in the office together but had no idea who one-another was as me only sat in one section over from one another.","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Perpetually Toxic Environment,1.0,"Apr 11, 2022",Some employees (Mostly sales) gets bonuses.,A perpetually toxic work environment with constant back stabbing and finger pointing between teams. Management is oblivious to this festering culture and in some areas contribute to its continuation. There is no upward mobility in the company. Most of the time you will just be moved into an equal paying job with no bonus structure and they will call it a promotion. CEO only cares about his sales reps. Every other member of the company could leave and be replaced (Which he has made happen before) and he would never notice anyone was missing.,"Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
This Company Laid-Off Staff w/No Notice - Employees were Blindsided,1.0,"Mar 27, 2020",The leadership provided lunch for employees on the last 2-business days of the month.,"Angel Oak Mortgage Solutions laid-off most of it's workforce in Atlanta on March 24, 2020, in the middle of the Coronavirus COVD-19 global pandemic, with no advanced notice given to employees. Employees were told that they would only be paid through that day, March 24, 2020. I was completely blind-sided by the insensitivity and lack of concern for employees and their families by the Angel Oak leadership team.","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Very disorganized organization but good experience,3.0,"Jan 27, 2023",Got good experience in manual /Non QM underwriting (valued when going to other positions) Lunch paid for twice a month Was lucky I had a great manager,Where to start lol - can be very stressful. Loans are complicated and can take hours to underwrite. I am lucky I an a naturally fast learner and can teach myself because they kind of throw you to the wolves and it is not the easiest learning how to manually do everything and with their system High stress enviornment - conditions could take as long as a new loan. You were constantly swamped when it was busy. Also if you had a bad underwriting assistant then you work could double. Luckily i had great ones The AEs are brutal and most of them are cutthroat. Wont accept a no for an answer and will go over you to get a yes. The annoying part is - sometimes management caved to them and you would be put in uncomfortable position of approving something you would not sign your name to Hours could be long and even when you take time off you could almost not enjoy it because leading up to it you had to make sure all your loans were mostly taken care of - otherwise people would moan and whine about it when you came back. Also when i said that i liked to leave work for hour lunch ppl laughed and said you’ll quickly leanr you cant here. They were right - after training - i never left the office for lunch during my entire time there. I had lunch at my desk because it was the only way to finish your work Benefits were not great compared to what you had to pay and pto was nothing special either,"Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Lack Credible Training,1.0,"Sep 2, 2022",6 Month Ramp Up Allowance.,"- Subpar new hire training, - - told to figure out things out on your own - no sales training resources to refer back to - hostile work environment- sales managers & colleagues team up to intercept deals behind your back taking them for themselves instead of supporting/training the new AE's. - No regional team meetings, ever, further alienating employees.","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Solid company,4.0,"Aug 18, 2022","Competitive pay given the position and the industry. Good benefits package including medical, dental and 401K.",Extremely rigid guidelines with seemingly arbitrary loan decisions made at the elevated levels.,"Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
