title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Good work Environment,5.0,"Oct 7, 2024",Public company but small shop feel. Tight-knit group of individuals working towards common goals.,None to report at this time.,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
Great Place to Work,5.0,"Aug 28, 2023",Happy and relaxed work environment. It's a family run business and they treat you like you are one of the family. Free snacks. Personal development is encouraged and supported.,Vacation time and sick days are shared from the same pool.,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
Need more diversity,1.0,"Sep 11, 2023",Pay was amazing and so were the perks,No diverse culture and very old school despite modern look,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
excellent management,5.0,"Apr 16, 2015","Easy going, management actually cares about their employees and their growth within the company. Salary and compensation 0ackage are excellent also.","Work and life balance could use some work, repetition of assignments and answering questions can become a bit annoying. Huge workplace and amount of employees.","Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
Lead host,3.0,"Dec 4, 2017",It’s a great start to have your foot in the door If you show dedication they will let you pick up shifts,Inconsiderate No overtime No benefits Holidays are a requirement- no time and a half or special pay Management is not the best,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
A stress free environment,5.0,"Aug 4, 2021","A prevalent culture, that promoted growth and accountability. It was a stress free environment that had flexible working hours.","There were no cons for interning at Apple. Obviously, you have to be mindful that it is a smaller company.","Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
Not for everyone,3.0,"Nov 23, 2020",Entrepreneurial and team oriented environment.,No opportunities for advancement with little concern or interest in development for employees. Family run business.,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
A asset management intern,5.0,"Jul 20, 2021","Great culture, Inclusion, and environment to further your personal development.",I do not have any cons currently,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
Review,5.0,"May 26, 2015",Was a positive work enviroment,There are no cons what so ever.,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
it was ok,3.0,"Feb 4, 2016",it was good to work there then,None i can think of,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
Good place,4.0,"Dec 2, 2015","good people, management, food, caring, fun place","no growth, too many people","Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
hyatt place jacksonville airport,1.0,"Sep 26, 2022",There are no pros at the Hyatt Place Jacksonville,Upper management is the worst of the worst .,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
,5.0,"Nov 16, 2022",for a good experience and knowledge,hard word with study and out of home,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
Nice,4.0,"Mar 21, 2021","Nice place for work
No timepass",No cons of any kind,"Apple Hospitality REIT, Inc.",APLE,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Apple-Hospitality-REIT-Reviews-E677761.htm
