title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Company to Work For,5.0,"Sep 19, 2024",Alexandria really does prioritize it's employees. Everybody owns their piece and put in the best work possible. It's a sophisticated operation and run very smoothly. Input from employees is absolutely taken into consideration. You definitely have to be a self starter. Mostly everyone is a team player. Compensation is fantastic and benefits unmatched.,"The work is not always a walk in the park. There are a lot of moving parts and you have to love striving to be better everyday. There's a lot of hats to wear, that's exciting for some people and extremely overwhelming for others.","Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Doesn’t celebrate diversity,1.0,"Jun 18, 2025",None at all doesn’t celebrate Juneteenth,Doesn’t celebrate Juneteenth at all,"Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Coordinator - ARE,5.0,"Jul 26, 2024",Excellent Company to work for!,"ARE is an excellent company to work for, they do ask a lot but it is worth it in my experience.","Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Great company,5.0,"Jul 20, 2024","Salary
Benefits
Mentorship
Flexible Schedule
Culture",Do not have any cons,"Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Incredible benefits,4.0,"Feb 2, 2024","The company prioritizes its employees' well-being with unparalleled benefits, demonstrating a genuine commitment to both physical and mental health. Also, the organization is truly dedicated to life science innovation and fosters an optimal environment for researchers to advance their modalities. It’s an inspiring place to work.","As with many organizations at this point of time, turnover can lead to a drop in morale. They could also benefit from more gender diversity, particularly in mid-high level positions.","Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Holding high standards,5.0,"Jun 6, 2024","mentorship and development opportunities, supportive environment",Can be difficult if you do not like direct feedback,"Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
It’s good,4.0,"Nov 12, 2023",The location is nice and the people are cool.,They don’t have more opportunities for the employees.,"Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Salary,4.0,"Oct 16, 2023","great benefits, work environment, and competitive pay","heavy work load, lacks work culture and team bonding","Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Overcoming Status-Quo,5.0,"Aug 25, 2019","People/Culture: Slightly intimidating when I started because everyone is smart and driven. At the end of the day, you realize everyone is working towards the same goal of providing a good product to management and investors. Given all the stress that comes for working for award-winning company in the real estate industry, these are some of the nicest executives I've worked with. They're so passionate and so into the details that sometimes it comes down to the amount of clouds in a picture. For some it might seem like micromanaging and nitpicking, but it's almost silly how much they care about the disclosures. Benefits: Medical, dental, vision, new parent leave, volunteering time-off, anniversary bonuses, 401K, NYC marathon sponsorship, regional team building activities, the list goes on... Company sponsored opportunities: The company provides many workshops on specific areas including communication, presentation and writing skills. As well as mentor programs which allow for collaboration with other departments. Work-life balance: Management maintains a very detailed accounting calendar. It may seem daunting at first, but it allows you to plan ahead and work towards deadlines. After working for the company for a short period, my living situation changed and I thought I'd have to leave. However, they provided me with amazing flexible working situation, which they've offered to many others in different regions.","I could go on and on about the great things about this company. But no company is perfect. They have their problems. But when problems do arise, I feel that management makes the effort towards addressing the issues. I feel the motto is to avoid the status-quo and to continuously strive for improvement and that's a rarity to see in a company.","Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Everything always comes with a catch,1.0,"Jun 26, 2019",This company had the best benefits I have ever seen. Free food all the time. 70 a month fitness reimbursement. Stand up desks. Sponsorship into the NYC Marathon. 9% 401k contribution after your first year. All health care covered 100%. Great pay. They also pay overtime for those below supervisor.,"With all of those great pros, there has to be a catch. The catch is they don't really have realistic expectations. They expect you to drop everything to cater to the needs of others. Managers and above expect you to stay late to finish a project so they can review the next day and they don't review the next day. You never know when you are going to stay late because deadlines are pushed. There is no flexibility at this place. It is very cliquey. The rest of my team would go out to lunch together after messaging each other and then come back and ask me why I didn't join them. Probably because I was not invited. When I started, I already felt like an outsider looking in. The controller never acknowledged my presence or even looked my direction when she walked past me. She would talk to everyone else though. They are also very nitpicky over every little thing. If you don't use a certain word that someone likes, it needs to be fixed and go through the entire review process again.","Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Best career decision I've made. No regrets!,5.0,"Mar 11, 2018",At Alexandria everyone is committed to doing the best work possible. Everyone is very smart and focused. We are treated very well and we know top management cares about our professional development and overall well being. Therefore we always ensure that we are doing top quality work and show our appreciation through our work product. One of the things that really impresses me about Alexandria is their commitment to volunteerism and giving back. Being a good citizen is something that you don't always see in the workplace and knowing that here this is something that is encouraged by providing us with 16 hours of paid volunteer time off a year is quite impressive. Being successful is great but we should always remember that we must give back and help those in need and Alexandria places great emphasis on that. This is not common at other workplaces. Making the decision to work at Alexandria has been the best career decision I've made. No regrets!,I really can't think of any cons to write about!,"Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Best Professional Decision I've Ever Made,5.0,"Jun 26, 2018","There are too many to list without creeping into full-on gushing territory, so here are a few: *Career growth is encouraged, and there is a clear path upward *The company does a lot of philanthropy work and encourages its employees to do the same by providing 16 paid volunteer hours, and a donation to the non-profit of your choice if you volunteer 25 personal hours in a quarter *Top-of-the-line medical benefits *The work that this company does directly supports scientific and technological innovation *The culture is one of positivity and dedication to your work, and your colleagues *There is a lot of emphasis on and support for professional development *Fresh fruits and veggies every day, breakfast twice a week, and lunch once a week *Subsidized nutritious snacks and drinks *They make their employees feel appreciated by providing competitive compensation *There is a concerted effort to increase diversity and inclusion On a personal note, I feel insanely lucky that I got a job here. My team is compassionate, fun, understanding, smart, transparent, and creative, and my boss is genuinely interested in my professional development, and we have open communication and so much mutual trust and respect. I can't say enough good things about working here!",No cons that are worth mentioning!,"Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Having to pick between high pay and benefits or a better personal life,2.0,"Apr 3, 2022",The pros of working here would definitely be the above market pay. If you are below supervisor level you get paid overtime. Health benefits are 100% covered by the company. Started the position remotely and was able to adjust easily to the remote environment. The company is very strict on hiring. Employees must fit into the company environment. Everyone working there is very smart and helpful. The company provides yearly mentorship programs and despises to learn.Of course there are company politics that we will get into the next section,"With any company, there are always cons. Here the cons would be the super long working hours even when it’s not month end or quarter end. No work life balance at all. The processes are very manual and there is no willingness to change those to make them more efficient and with the modern times. Very stuck in their ways. Not much room to grow or move up the ladder. People mainly stay due to the above market pay and amazing healthy benefits.","Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
Never Been Apart Of A Better IT Group,5.0,"Jan 5, 2021",- Business understands the value of IT/Infosec. They will spend the money on the right solution - Great team environment - Stay busy but not overwhelmed - Management cares about you and will go to bat for you - Goals are clearly defined and your everyday work makes you feel like you are working towards those goals - Bi-weekly happy hours - Fitness reimbursement - Company takes into account the wellbeing of their employees - Benefits premiums are paid for by the company for employee + dependents - Company is looking to expand big time in the next year.,"- PTO could be better. From what I've heard they are working on it. - Very busy. Not really a con as I enjoy being busy, but just be prepared. - They haven't fully embraced the work from home/remote yet. (Pre/post covid). They would rather have people in an office. These days, this perk is becoming more prevalent in companies.","Alexandria Real Estate Equities, Inc.",ARE,Health Care,2025-11-21,https://www.glassdoor.com/Reviews/Alexandria-Real-Estate-Equities-Reviews-E6956.htm
