title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Awesome!,5.0,"Dec 6, 2024",The company is awesome and amazing!,There are no cons to report,Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Back to the Office,2.0,"Apr 22, 2025",There are none right now...not since the chance in policy.,"As of 4/21...this company is back to the office 4 days a week with ""no"" exceptions. ""No"" exceptions means there are always exception...but this is not what we were told. Oh...and after Labor Day...it's 5 days in the office....not WFH....of course unless one of the above is applicable.",Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Company Going Backwards,2.0,"Apr 30, 2025",good collaboration opportunities generally nice people,"The company recently announced 5 days back in the office because of ""culture."" Previous agreements, how managers manage, existing good productivity all don't matter. What matters is leadership being able to say ""we're back."" People are now starting to leave. Be aware. Too many old habits and old ways of thinking.",Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Rude and condescending management!,3.0,"Apr 18, 2025",-Well organized structure and operations -Good Benefits,-Poor management and leadership -Terrible salary -Limited opportunities for career advancement,Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Great,4.0,"Aug 20, 2024",Really good place to work,Not much room for advancement,Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Old fashion company culture,3.0,"Apr 9, 2024","Higher salaries, Hybrid (for some departments), Half days on Fridays in Summer",Old fashion work culture which can sometimes be extremely. Extremely toxic work environment on certain teams.,Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Full time,5.0,"May 2, 2024","Good environment
Engineer staff
Ceo",Commercial real estate is a dead end,Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Toxic Work Environment,2.0,"Jan 31, 2024",Opportunity to Learn Commercial Property Management 101.,Managers are permitted to treat staff poorly leading to low team moral and highly toxic work culture. Blame-heavy micromanagement leadership style is typical and seemingly encouraged.,Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Love it!,5.0,"Feb 2, 2024","Great people, highly recommend here",Can’t really thing of too much,Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Toxic corporate work environment,1.0,"Sep 29, 2023","Free snacks and drinks every day when in office, lots of Brandywine branded swag, good health benefits, some great people to work with, huge budget for projects.","The work environment at the company is characterized by a pervasive culture of competitiveness, where personal advancement often takes precedence over ethical conduct. Interactions with colleagues are marred by an ulterior motive to extract information that can be later used against individuals. Furthermore, the marketing department is overseen by managers lacking design expertise, leading to a lack of understanding regarding project complexities and time requirements for designers. Employees are unfortunately treated as expendable resources due to the abundance of job applications received. The marketing department witnesses a high turnover rate, except for upper management, who remain insulated from these changes. Attempts to address the excessive workload have been met with dismissive responses, fostering a tense atmosphere in the office. Interpersonal conflicts are rampant within the department, exacerbated by the exclusivity of decision-making among a select few individuals. Until the company acknowledges and acts upon the feedback provided, particularly concerning the need for a manager with a design background who can advocate for the designers, this cycle of high turnover is likely to persist. Unfortunately, the current project manager has not demonstrated the willingness or ability to fulfill this role. Additionally, the company does not prioritize the mental well-being of its employees, focusing primarily on meeting deadlines and discouraging expressions of concern. It is imperative for the company to reevaluate its management approach, fostering a supportive and inclusive environment that values the contributions and mental health of its workforce.",Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Great office environment,5.0,"Jan 24, 2024","-good pay
-nice employees
-involved C-suite employees",I don’t really have any cons,Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Love this company,5.0,"Sep 16, 2023","Culture, professionalism, benefits, work life balance, employee engagement.",None at the moment. Still learning…,Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Amazing,5.0,"Aug 23, 2023",Truly an amazing company to work for.,No cons here. I love it.,Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Brandywine Realty,5.0,"Jun 15, 2023","an overall wonderful company to be a part of, no complaints!","with 3 children, flexabiltiy is an issue",Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Assistant Property Manager,3.0,"Mar 8, 2023","Friendly community, potential growth opportunities. Strong values.","Workload, turnover, salary, processes / innovation needed",Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
Your Mileage May Vary,3.0,"Jan 23, 2018",- Free pretzels and soft drinks - Great Center City location - Decent benefits - Good salary - Stable,"- Little interest in professionally developing employees - Lack of career and advancement opportunities - Lack of direct, meaningful communication from senior leadership, disconnect between perceived state of company and actual state of company - Treatment by and perceived value in company dependent on leadership's understanding of your department's role in company and department head's ability to play politics - Abysmal communication between regional offices and HQ, lack of accountability leads to repeated breakdowns - Corporate culture stiff to the point of toxicity",Brandywine Realty Trust,BDN,Office,2025-11-21,https://www.glassdoor.com/Reviews/Brandywine-Realty-Reviews-E2532.htm
