title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great place to work!,5.0,"May 11, 2025",Great upper management! Great work life balance.,Work places are generally not close to home,Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
Nice environment to work in early career,4.0,"Sep 30, 2025","Supportive colleagues, people are nice",Lower salary than average in the market,Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
Horrible Management,2.0,"Sep 29, 2025","Friendly peers, nice space. Can leave early on Friday in summer",Management is horrible & will be rude to you.,Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
,4.0,"Jun 5, 2025",Words words words words words,More words the most words,Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
,2.0,"May 14, 2025",Decent benefits and work life balance depending on team,"Management, pay is not competitive at all",Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
Reputable Company,4.0,"Apr 7, 2025",Publicly traded company that does not have debt on their portfolio.,REITS chase short term quarterly results sometimes at the expense of the asset,Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
Brixmor,5.0,"Feb 18, 2025",Great management/coworkers and amazing work environment,"hohocken, PA",Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
Great Transactions experience,5.0,"Nov 21, 2024",I got a chance to get some really hands on experience with constant deal flow. Worked closely with the associate general counsel and gained a lot from the experience. Everyone at the company integrated me very quickly.,"Unfortunately, we changed offices towards the end of my summer so we went fully remote.",Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
Great Company,5.0,"Dec 24, 2024","Great Company and very good perks, gifts they send you, 401k and more","None that I can think of, most are very good",Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
"Great culture, great people",5.0,"Nov 20, 2024","Great culture, great people, and good time off benefits. Lots of ways to get involved and recognized for going the extra mile.","Administrative tasks and busy work. There can be a lot of red tape to cut through, but not atypical for a large organization.",Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
Amazing company,5.0,"Dec 23, 2024",Fair pay Great work life balance Great culture,talks of returning to office even thought performance has been outstanding since work from home was implemented,Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
love it,5.0,"Dec 5, 2024","great place to work
nice co workers
opportunity for growth","hohocken, PA",Brixmor Property Group Inc.,BRX,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Brixmor-Reviews-E482072.htm
