title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Culture,5.0,"Jan 28, 2025",Stable company with great people,Retail real estate industry is a tough industry.,CBL Properties,CBL,Retail,2025-11-21,https://www.glassdoor.com/Reviews/CBL-and-Associates-Properties-Reviews-E2378.htm
Specialty Leasing,4.0,"Sep 5, 2025",Mostly independent work without micromanagement.,Some reporting and data gathering is archaic.,CBL Properties,CBL,Retail,2025-11-21,https://www.glassdoor.com/Reviews/CBL-and-Associates-Properties-Reviews-E2378.htm
This is hands down the best company I have ever worked for.,5.0,"Jan 21, 2025","Here’s the updated review incorporating your new points: 5 Stars - The Best Employer I’ve Worked For Starting with CBL 9 months ago has been one of the best career decisions I’ve ever made. After 22 years in the industry and working with countless management companies (many of which left much to be desired), I was blown away by how different CBL truly is. Their vetting process was extensive and, though it was intense, you could tell they were on the right path and committed to finding the best fit for their team. From the very beginning, it was clear that they take the time to know their people and ensure they’re making the right decisions for both the company and the employee. From day one, CBL has exceeded my expectations. The interviews were engaging and professional, and it was apparent they do things the right way. Their commitment to excellence shines in every aspect of the organization, from onboarding to competitive pay and generous benefits. At the same time, CBL expects the same level of dedication and work ethic from its employees. But that’s easy to deliver when you work for a company that genuinely supports you, values your input, and stands behind your decisions. The work is challenging—this is not a company for slackers—but it’s rewarding. About a month ago, when the mall I worked at went on the market and was sold, I was initially devastated. Typically, when a mall changes ownership, the staff either transitions to the new owners or is left in a precarious position. After only 8 months in my role, I feared losing CBL as my employer. However, I reached out to HR to express my interest in staying with the company, and to my surprise and gratitude, they went above and beyond to retain me. Despite being new, they recognized my situation and offered to transfer me to a mall in another state. This level of care and support is something I’ve never experienced with a management company. The benefits CBL provides are incredible—almost entirely employer-paid, generous paid time off, and an exceptional work-life balance. The management team is phenomenal, with centuries of combined experience, and my boss is hands-down amazing. The pay is on the higher end of the spectrum, if not the highest, and everyone I’ve worked with LOVES this company. It’s no wonder employees stay for 20+ years. In fact, I’ve heard of many who left to try other companies, only to return months later because the grass is simply not greener on the other side. This review is completely unsolicited—I’m writing it because I feel compelled to share how great this company is. If you are top talent, this is a company you must work for. As long as you do your job, they will always show up with your check and have your back. CBL is, without a doubt, the best company I’ve worked for. I trust and value my coworkers implicitly—they’re not only great people but also immensely talented in their fields. I couldn’t ask for a better employer or a better team.",None-- and I love to complain,CBL Properties,CBL,Retail,2025-11-21,https://www.glassdoor.com/Reviews/CBL-and-Associates-Properties-Reviews-E2378.htm
Outdated HR Policies,3.0,"Feb 10, 2025","Opportunity to grow within the company, great co-workers","HR policies when I was there were terribly outdated. ALL employees received ZERO vacation days for their first year of employment (no, that is not a typo). I do hope that has changed since.",CBL Properties,CBL,Retail,2025-11-21,https://www.glassdoor.com/Reviews/CBL-and-Associates-Properties-Reviews-E2378.htm
Quality People Quality Company,4.0,"Dec 8, 2024","This company offers excellent opportunities for professional development and growth, supported by a team of great people in a public organization.","Some properties have considerable potential for growth, requiring attention.",CBL Properties,CBL,Retail,2025-11-21,https://www.glassdoor.com/Reviews/CBL-and-Associates-Properties-Reviews-E2378.htm
A company highly invested in its employees,5.0,"Sep 11, 2024",- You will be working with a team of supportive individuals - You will be encouraged to follow & build upon your strengths - CBL & Associates has a strong history of investing in its employees & their success - Excellent Work/Life Balance,- No cons have been encountered during my time here.,CBL Properties,CBL,Retail,2025-11-21,https://www.glassdoor.com/Reviews/CBL-and-Associates-Properties-Reviews-E2378.htm
Great company to work for!,5.0,"Aug 12, 2024",Overall amazing company to work for!,Working at a satelite office can have more variablility than the home office,CBL Properties,CBL,Retail,2025-11-21,https://www.glassdoor.com/Reviews/CBL-and-Associates-Properties-Reviews-E2378.htm
Disconnect,2.0,"Aug 3, 2024","Fun in the beginning, then too many layoffs",Home office does not understand or connect with the field,CBL Properties,CBL,Retail,2025-11-21,https://www.glassdoor.com/Reviews/CBL-and-Associates-Properties-Reviews-E2378.htm
Admin Assistant,5.0,"May 6, 2024","Great Team, work hours, and pay-including PTO.",No cons- I enjoyed my job.,CBL Properties,CBL,Retail,2025-11-21,https://www.glassdoor.com/Reviews/CBL-and-Associates-Properties-Reviews-E2378.htm
Great place to work,5.0,"May 23, 2024",Management in shared service was supportive and seemed to really care about employees. Fair pay as well as fair workload.,I don't have any cons to list.,CBL Properties,CBL,Retail,2025-11-21,https://www.glassdoor.com/Reviews/CBL-and-Associates-Properties-Reviews-E2378.htm
