title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Good to work at,5.0,"Nov 6, 2025",Bonus and RSUs are great,There are a lot of people that have been around for too long,Crown Castle Inc.,CCI,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm
Plenty of Opportunity,4.0,"Nov 7, 2025",I’ve not experienced any amount of micromanagement and am encouraged to readily seek out solutions to problems or areas for improvement.,"Tumultuous times given the transaction news. However, still positivity amongst the ranks on all sides.",Crown Castle Inc.,CCI,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm
,5.0,"Oct 30, 2025",coworkers are great and genrally good people,transaction creates uncertainty and people left,Crown Castle Inc.,CCI,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm
Not Worth It,2.0,"Sep 8, 2025","Really smart and good collaborators, good business knowledge, work life balance was good.","Leadership won’t stick to strategy so default to micromanaging. Tower BP is a mess, and seems to go out of their way to shoot themselves in the foot by listening to consultants. That was workable until EDM also got burdened with a consultant idiot as a director, that’s when I knew their data would never get better and time to hop.",Crown Castle Inc.,CCI,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm
Corporate,3.0,"Oct 21, 2025",Good Pay Benefits with Bonus,Decision Making across the enterprise,Crown Castle Inc.,CCI,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm
OSP CONSTRUCTION MANAGER,3.0,"Oct 8, 2025",Good employee working relationships with peers,To many unnecessary internal meetings,Crown Castle Inc.,CCI,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm
"Good people, bad management",3.0,"Aug 6, 2025",I enjoy the work I am doing and the coworkers I do it with. The pay is decent and the bonuses and benefits are great.,"Having worked here for 10+ years now I have seen what Crown used to be and what it is now. They used to actually care about the employees and the culture here was fantastic despite how big of a business it was. Ever since the CFO (JB) became the CEO its all been about the bottom line and it feels like the employees are just numbers now. On top of that, it feels like its been one re-org after another and it feels chaotic and overall not good.",Crown Castle Inc.,CCI,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm
Lots of change,4.0,"Sep 18, 2025",We have been through a lot of change over the last few years. A pro is the executive sentiment is positive and hopeful.,The change has been constant over the last couple of years. It is naturally tiring but the attitude is still positive.,Crown Castle Inc.,CCI,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm
Great culture,4.0,"Oct 2, 2025",Great culture and positive support from coworkers and management,Can’t think of any. I work for a great manager and team,Crown Castle Inc.,CCI,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm
Lots of uncertainty,2.0,"Oct 4, 2025",Lots of knowledgeable ppl to work with.,Pay raises don’t happened when asked.,Crown Castle Inc.,CCI,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm
