title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Company,5.0,"May 24, 2025","Benefits, people, management, training and location.",Not enough positions for development.,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
"Good people, old school mindset",4.0,"Oct 22, 2025",great culture with great team members,old school with limited flexibility for work life balance fully in office,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Cog in the machine,2.0,"Sep 13, 2025","Steady work, easy to be efficient within couple months","Poor work home balance, meetings upon meetings, lots of blackout days that they disapprove taking PTO",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Decent Company,3.0,"Aug 7, 2025","Good team members, benefits are okay but nothing to brag about.","Slow salary movement, cost of living adjustment not equivalent to actual inflation. Lots of turnover.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Stay away if you can...,2.0,"Jul 29, 2025",Great pay for salaried employees. Subpar pay for hourly admin folks.,HR does not care about you at all. High end management doesn't care either. Everything is very USA political at the top...I have seen folks get fired for reporting harassment...like come on.,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Good place to work.,4.0,"May 28, 2025",Learn a lot. Benefit package is very nice,Micromanaging of lower employees. Management doesn’t always listen to employees,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Great company,5.0,"Apr 1, 2025","I've been here 15 years, great company, great environment","Long drive, wish it was closer to my house",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Dream job but nightmare manager. Was never truly part of the team.,1.0,"Mar 12, 2023","The salary was good, but I had to play a lot of hardballs to get what I got. Looking back, I should have asked for more.","Management is a roll of the dice, and I got snake eyes. My manager constantly criticized me and never gave me anything productive to help me meet their expectations. Super stressful work environment and depending on your department you will be treated like an outsider. HQ is not a place for BIPOC unless you are older and prepared to do a bunch of brown-nosing. You must keep your head down, smile, and dance for your teams/ managers. I had a controlling manager that hindered me instead of helping with workflow. What I was promised in a manager and in my job description was not what the actual position entailed. The CEO walks around the office to check on employees constantly throughout the day and will comment if someone is out of the office or working remotely. When you are new, be prepared to have no work/life balance. And it still may not be enough to keep you there.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Arrogant Manager's Misogynistic Attitude: Creating Toxic Work Environment,1.0,"Mar 21, 2023","One of the things I appreciated most about working for this company is the level of flexibility it offers. As long as we deliver our work on time and to the required standards, we are trusted to manage our time and work at our own pace.","The Manager's behavior has been consistently displaying attributes of an individual who holds misogynistic views. Their arrogance and condescending behavior towards women in the workplace are not only unprofessional but also deeply problematic. Moreover, their management style appears to be unsustainable as it creates a toxic work environment that can lead to high turnover rates and low employee morale.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Strong company,4.0,"Oct 21, 2023","Good culture, and allows for growth","Value is king, and family feel has faded over time.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
"Good company, pay was not the greatest",4.0,"Oct 16, 2023",Employee oriented and good environment,Not so much money. Wish they’d offer more,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Good Job,4.0,"Mar 17, 2023",Director of the site does a good job at letting Building Technicians do their jobs. Like most of the people that work for my company. Pay for position and clearance bonusis a lot lower than other companies offer around the area; but have vested 12 yrs and accrue vac/sick leave at large rate.,"Director of South regions mi ro manages the site I work on, very annoying. The Director of the site is very smart and sometimes over analyze things. Expectations of the small amount of technicians to get all the PMs done in time is unrealistic. No training. Shifts rotate every 4 weeks",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Everyone from corporate to management is corrupt,1.0,"Apr 30, 2023",Low risk of losing your job because they are terrible at hiring new people.,"Everyone from corporate to management is corrupt. The compensation plan is changed at the drop of a hat to benefit the company and screw the employees. Some managers are incredibly inappropriate with employees. They care about their bottom line more than their employees and more than their customers. You work your butt off for pennies and are micromanaged by people who should not be in supervising roles. Overall, this is not the place to go if you are serious about just about anything long-term.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Work-Life Balance,3.0,"May 13, 2023",The people across departments are nice to work with.,They talk about work-life balance but for some departments it is only talk. They prefer you to constantly work to keep caught up. Even if this means you work evenings or weekends.,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
solid job,4.0,"May 16, 2023","corporate, lots of comfort there",truction manager,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Stepping stone,2.0,"May 4, 2023","Company benefits, most employees are competent",Communication from your management Career growth is non-existent unless you have connections,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Sad to see what it became,1.0,"May 5, 2020",I made long term friendships with the other techs and tenants. Vacation policy was good.,COPT was a unique employer when I started and heavily focused on customer service and providing to the tenant. Multiple CEOs later and it became a shell of itself on past reputation and instead become a paper company focused on hitting metrics and accounting at the expense of the tenant. Highly political company. Do more with less became the norm. No clear vision on moving forward and morale was at its lowest when I finally moved on. No defined training plan for the maintenance folks or opportunity for growth left at the mercy of your chief tech. Major disconnect between HQ and the field. Management operated in sillos.,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Run away from COPT!,1.0,"May 23, 2018","They do have excellent benefits, time off, and events.","They are NOT family friendly. Although they give you plenty of time off, they question every single time you take off and give you a hard time. The mentality is very ""corporate squared"" and they love to micro-manage. Specifically the marketing department is a ROYAL MESS. They lack project management, organizational strategies, they have 0 knowledge of what it takes to develop material for the company and the management hierarchy is completely off. It is a nest of gossip! They will rip apart a coworker for the stupidest things. If I would have known how awkward and unorganized, I would have never worked for them! They've had two people in a row walk out on them... that means something! Do yourself a favor and keep scrolling past their job postings.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Used to be a great company,1.0,"Aug 9, 2016",The long time employees who are still there are good people. Flexible work arrangements.,"3 CEO's in 6 years and numerous reorganizations have caused this company to lose its family feel. The customer, which used to be the number 1 priority, has been pushed behind the shareholders and stock price. Cost cutting and doing more with less is the new norm. Many of the ""old guard"" leadership has been purged and new management don't share original values.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
