title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
A Truly Exceptional Place to Work – Where Passion Meets Purpose,5.0,"Nov 14, 2025","- Supportive Leadership: Management genuinely cares about employee growth and well-being. Feedback is constructive, and leadership is approachable. - Collaborative Culture: Teamwork is at the heart of everything. Cross-functional collaboration feels natural and energizing. - Growth Opportunities: Clear career paths, regular upskilling sessions, and internal mobility make professional development exciting and achievable. - Innovation-Driven: The company encourages creativity and embraces new ideas. You’re empowered to experiment and contribute meaningfully. - Values That Matter: The mission and values aren’t just words—they’re lived daily. It’s inspiring to be part of something bigger.","- Honestly, it’s hard to find any. If I had to nitpick, maybe the coffee could be stronger—but the energy from the team more than makes up for it!",Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
Poor Senior Leadership and Lack of Strategic Direction,1.0,"Sep 24, 2025","Worked with a high-performing, mission-driven recruiting team that consistently delivered results in a high-volume environment. Gained valuable experience leading national initiatives and building programs that had real impact. Strong peer collaboration and camaraderie among frontline recruiters.","Senior leadership within Talent Acquisition lacks trust in their team and consistently fails to lead with strategy or vision. Decisions are reactive, not proactive, and often made without transparency or input from those closest to the work. There is a clear and persistent favoritism toward corporate recruiting teams, despite the high-volume team being responsible for filling the vast majority of roles across the company. Recognition, advancement, and compensation are not aligned with performance. Employees are expected to take on strategic initiatives or larger projects and scope of work with no end date in sight and without formal acknowledgment or pay equity. Concerns raised through appropriate channels were either ignored or met with vague responses, and in some cases, were followed by restructuring decisions that created unnecessary competition and instability. The recent return-to-office policy is rigid and outdated, with little regard for employee well-being or modern workforce expectations.",Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
WORST COMPANY EVER,1.0,"Nov 4, 2025",Payed me agreed upon salary.,"Told me to prepare for 80 hour work weeks, if I took a break I wasn’t “committed enough” I worked 65 hours during the week and demanded I come in Saturdays as well. But get ready for the busy season. Disorganized chaos. Antiquated WMS. Unhappy workers making 18hr to drive MHE who are punished for not coming in days they never agreed to work. In truth this place is a Logistical nightmare. RUN FAST! IT WONT GET BETTER! Your concerns are relegated to well it looks like HR “dropped the ball” No other answers to the fact you were told your working 40 hours a week and now are expected to double that. Slave culture!",Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
Order selector,2.0,"Jul 30, 2025",Different learning experience for sure. Decent pay for staying local.Acknowledging that this offers a different learning experience is important. It likely presents unique challenges and opportunities for growth. The chance to remain local while earning a living is also quite appealing. This could create a better work-life balance for many individuals. Perhaps the pay is enough to cover essential needs and even allow for some enjoyment. It is a great chance to build a career and learn the ropes. These factors might make this opportunity an interesting choice.,Seems that alot think negatively of the employer. And they expect alot to be accomplished in less then 5weeks it seems. If you don't from experience they'll terminate you.It appears that many individuals harbor negative perceptions of the employer. The expectations for productivity seem quite high. The timeframe for completing tasks is perceived as unreasonably short. This may be a significant source of stress. It is important for the employer to consider these concerns.,Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
Great Place to Work,5.0,"Oct 23, 2025","Strong Industry Leadership - Americold is a global leader in temperature-controlled warehousing and logistics, offering stability and growth opportunities. Career Development - There are clear paths for advancement, leadership training, and opportunities to move into different roles or locations. Team Oriented Culture - Collaboration is encouraged, and employees are supported by experienced leaders who care about safety and efficiency. Competitive Benefits - Health insurance, retirement plans, and employee assistance programs are solid compared to industry standards. Innovation & Technology - Automated facilities and advanced systems make work more efficient and future-focused.","From my view there are no cons, it has been a great place to work",Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
great place to work,5.0,"Oct 31, 2025",really friendly employees and management,its cold working in a cold storage,Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
Forklift,2.0,"Oct 29, 2025",Good benefits if u started before 2016,Mandatory overtime and cold. Negative 10 degrees.,Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
Great company,4.0,"Oct 27, 2025",Cold environment and great group of people to work with,If you don't produce numbers they well terminate you,Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
Very great place to work,5.0,"Oct 27, 2025","Great pay, Great management, and great coworkers.",None that I have seen.,Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
Could have been great,2.0,"Oct 3, 2025",Beautiful facility and equipment. Great people. Pretty good pay.,Local leadership changes over the last few years turned it from an exceptional place to work to chaotic. Executive automation leadership over promises and under delivers. HR out of control and not trustworthy.,Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
Bad decisions,3.0,"Sep 29, 2025","Good pay, good benefits. An attempt at a great work culture. Supervisors in the building.",The senior team in the building. Executive level staffing in the automation department. Ineffective HR. So many schedule changes. Kind of seems like senior leadership is just winging it. No real plan.,Americold Realty Trust,COLD,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Americold-Logistics-Reviews-E33145.htm
