title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Amazing Company one of the blessings of my life,5.0,"Nov 13, 2025","Working as a Regional Facilities Manager at Camden has been one of the most rewarding experiences of my career. The company truly lives up to its reputation as one of the best places to work. Here are the biggest pros from my experience: Camden really values its employees. Leaders celebrate your milestones, invest in your growth, and make you feel appreciated. You’re not just a number, you’re part of a family. My leaders are approachable, supportive, and truly committed to helping you succeed. You’re encouraged to grow, take on new challenges, and become a stronger leader. Camden provides continuous training, development programs, and exposure to major projects. If you’re driven and willing to learn, you can build an amazing career here. There’s a strong team mindset across communities, supervisors, and regional managers. You’re heard, respected, and trusted to make decisions that impact the business. As an RFM, you manage important assets, large budgets, vendor relationships, and community needs, without being micromanaged. Camden provides everything you need to be successful. You never feel like you’re doing this job alone. Despite the workload, the company respects your personal life and supports flexibility when you need it. Quality, safety, compliance, and professionalism truly matter here. Your knowledge grows fast and consistently. The people here are supportive, genuine, and fun to work with. Competitive pay, solid benefits, and the security of working for a well-established, financially strong company.","None, keep doing everything that you are doing behind the scenes for having all of us as happy that I am.",Camden Property Trust,CPT,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Camden-Property-Trust-Reviews-E2418.htm
Great Place to Work family like Atmosphere,5.0,"Oct 23, 2025","Great Atmosphere to work in , great benefits . Company keeps employees motivated . Company outings are awesome . All leader personal are top notch . Seems like company is heading in the right direction always this makes you want to stay with them and avoid moving else where . Top tier training year round . Comprehensive management . Work life balance is at its peak . Incredible support when employee is going trough life events . Amazing company Values !!","The competition seems to have better pay rate . Really hard to get promotion although you show determination and hard work . seems a little pre meditated on who gets promotions, seniority doesn't play a role . not much room for growth bonuses have been a bit disappointing in the last 2/3 years . some competitions offer every 3 months . moving from property to property just to get a better pay shouldn't have to be a thing .",Camden Property Trust,CPT,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Camden-Property-Trust-Reviews-E2418.htm
It could be better,2.0,"Nov 4, 2025",-Access to the Camden guest suite -Option to laterally transfer to another community -Steady flow of business and commission opportunities -Good healthcare benefits and sick time allowance,"-Upper leadership lacks proper training, empathy, and real leadership skills -Fake and disconnected attitudes from management make the environment feel insincere -Required to work Saturdays -Pay isn’t great, especially since commission is never guaranteed",Camden Property Trust,CPT,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Camden-Property-Trust-Reviews-E2418.htm
"Live, Laugh, Love Camden!",5.0,"Oct 6, 2025","The workplace culture here is truly exceptional. This company goes above and beyond to ensure that every individual feels genuinely seen, valued, and celebrated at every opportunity. It's woven into the daily experience. I've never felt so empowered, uplifted, and supported in a professional environment. Each day, I walk in with a sense of purpose and positivity, never weighed down by dread or burnout. Instead, I'm consistently inspired to grow, contribute more, and strive for excellence.","The base salary might not be the most competitive, but the company offers bonus opportunities and performance-based incentives that can help bridge the gap. It often comes down to how much effort you're willing to put in. Hard work tends to pay off here.",Camden Property Trust,CPT,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Camden-Property-Trust-Reviews-E2418.htm
Solid company,4.0,"Nov 6, 2025","benefits are good, pay is comparable",Job is frustrating and continually having to de-escalate situations becomes tiresome. Constant complaints that the local offices don’t answer their phones and clients easily become insulting,Camden Property Trust,CPT,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Camden-Property-Trust-Reviews-E2418.htm
Great Place to Work!,5.0,"Nov 12, 2025","Benefits
Team Dynamic
Bonus Potential
Company Events/Culture","Resident Issues/Stressful Situations
Long Days/Hours",Camden Property Trust,CPT,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Camden-Property-Trust-Reviews-E2418.htm
"Grateful for a Long Career, but Culture Shifted in Recent Years",4.0,"May 13, 2025","• Camden is very technology-forward; systems and processes are streamlined and efficient. • Professional, collaborative work environment with many dedicated and talented team members. • Over my 33-year career, I met so many wonderful people and built lasting relationships. • Communities in the Tampa area are well-maintained and reflect strong operational standards. • The employee guest suite perk is one of the best benefits—affordable and far better than a hotel stay.","• As a General Manager overseeing two communities in Tampa, it was difficult to consistently connect with all team members due to constantly moving between sites. • Compensation and benefits became less competitive. My new company offers more PTO in my first year than I received in 33 years with Camden, and a 40% rent discount compared to Camden’s 25%. • Since 2020, the company culture has shifted from personal and people-focused to more transactional. While Camden still promotes its “Have Fun” value through events, the underlying atmosphere has become tense, with a lack of genuine trust and connection. • I often felt like I could not rely on or trust my superiors, which made it difficult to feel supported or secure in decision-making. • Favoritism became more common—performance and experience were often overlooked in favor of those who played politics. • In the Tampa area alone, three out of four General Managers left within the last year, which speaks volumes.",Camden Property Trust,CPT,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Camden-Property-Trust-Reviews-E2418.htm
The best career move I ever made,5.0,"Oct 7, 2025","Great people in all areas/levels of the company, family orientated, good work life balance, many opportunities for growth if you prioritize and put in the effort","Hard to think of any, but maternity leave benefits only improved (paywise, not in length) in very recent years. Parental leave (mostly applicable to fathers) was extended from 2 to 6 weeks in the last few years, but no similar increase/change from the 12 weeks federally mandated under FMLA for mothers.",Camden Property Trust,CPT,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Camden-Property-Trust-Reviews-E2418.htm
Love Camden,5.0,"Oct 28, 2025",Coworkers at every level are good people. Lots of support departments.,"Nothing really, very happy. Cap on employee renewal rate would be appreciated if you live at a Camden property.",Camden Property Trust,CPT,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Camden-Property-Trust-Reviews-E2418.htm
"Review of Managerial conduct-Tampa, FL",2.0,"Jul 7, 2025",Job stability Deep company knowledge Career growth and promotions Comfort and Culture Company loyalty,"It is deeply concerning to witness the impact that one managers actions at a district manager level have had on what was a strong and stable team for years in Tampa, Florida. Over a relatively short period 4 long term employees of which some had 30 years plus of service with the company choose to leave or were asked to leave citing a toxic and unsupportive work environment. These departures are not only a major loss of knowledge, but a clear red flag about the current leadership in Tampa, Fl. The district manager in question has demonstrated patterns of insecurity and favoritism, reportedly engaging in an inappropriate relationship with another individual within the company. Additionally, at least 2 of their employees have went on medical leave due to stress directly related to this individuals management style.",Camden Property Trust,CPT,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Camden-Property-Trust-Reviews-E2418.htm
