title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Supportive corporate family,5.0,"Sep 14, 2025",Centerspace is amongst the best property management company’s to work for. Team oriented with an amazing culture.,"In order to be promoted, you must take/attend certain courses to move further in your career.",Centerspace,CSR,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Centerspace-Reviews-E641383.htm
Would never recommend Centerspace to anyone - Run!,1.0,"Oct 21, 2025",Volunteer time off and holidays were paid.,"The culture is driven by micromanagement and fear. Favoritism and bullying are common, creating a toxic and unsupportive environment where employees feel undervalued and unsafe to speak up. Would never recommend Centerspace to anyone. Pay non-competitive and stingy with money even though goals were always highly surpassed.",Centerspace,CSR,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Centerspace-Reviews-E641383.htm
Better Every Days,5.0,"May 27, 2025","Starting a new job can be a little nerve-wracking, but my experience with Centerspace has been nothing short of incredible. From day one, I've felt supported, valued, and genuinely welcomed. One of the biggest pros has been the flexibility in working style—there’s a strong sense of trust here, and you’re encouraged to work in a way that brings out your best. What truly sets this company apart is its leadership team. They're not only accessible but also incredibly open to new ideas and different ways of doing things. It’s refreshing to be part of an organization where innovation is encouraged and your voice matters. You’re empowered to think boldly and “Dare to Win”—an approach that creates a dynamic and energizing work environment. I’ve also had the chance to challenge myself and grow in ways that are both exciting and rewarding. The work is engaging, and I’ve already learned so much in just a short time. On top of that, my co-workers have been amazing—friendly, genuine, and eager to build connections. There’s a shared commitment to getting “Better Every Days,” and that mindset shows up in both individual efforts and team collaboration. The culture is warm and welcoming, and that starts from the top. Even our CEO, Anne, took the time to personally reach out to see how my first few weeks were going. It’s clear that people come first here. The leadership team checks in regularly and truly wants to hear from us—not just in group settings but on a personal level too. Overall, I’m incredibly grateful to be part of such a thoughtful, forward-thinking company. It’s a place where people and progress go hand in hand, and where we’re all encouraged to grow, innovate, and make every day better.","As with any new role, there’s always a learning curve—and for me, the most significant one has been getting up to speed with the technology platforms used at Centerspace. While each system has its strengths, I’ve noticed that not all platforms fully integrate with one another, which can lead to some manual work to ensure consistency and alignment across different tools. This has been a great opportunity for me to better understand the current processes, and I appreciate the transparency and support from my team as I’ve navigated through it. At the same time, I see a real opportunity for process improvement, particularly in exploring how AI could be leveraged at a system level to streamline workflows, reduce manual tasks, and improve overall efficiency. I’m excited to see how technology can evolve here, and I’m confident that, given the company’s openness to innovation and continuous improvement, these enhancements are not only possible but well within reach.",Centerspace,CSR,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Centerspace-Reviews-E641383.htm
Good Property Management Company,4.0,"Nov 18, 2024","Progressive company with great pay, good benefits.",Lots of operational changes with little to no notice.,Centerspace,CSR,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Centerspace-Reviews-E641383.htm
Great place to work,5.0,"Sep 3, 2024",I have loved working for Centerspace. Probably the best company I have worked for. I love the work I do and the people I work with.,All other employees work until 5pm where I work until 6pm.,Centerspace,CSR,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Centerspace-Reviews-E641383.htm
Life,5.0,"Oct 10, 2024",Great people and fun company,It’s work but no notable downside,Centerspace,CSR,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Centerspace-Reviews-E641383.htm
Decent company,4.0,"Aug 15, 2024",great properties and benefits with their 401k,poor training and drama thriving enviorment,Centerspace,CSR,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Centerspace-Reviews-E641383.htm
Great company,5.0,"Jun 29, 2024","Good culture, strong leadership, good growth",Fast pace of change however that is common place in todays environment,Centerspace,CSR,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Centerspace-Reviews-E641383.htm
Top Notch Support & Culture,5.0,"Mar 9, 2023","Great work/life balance that is respected by leaders. Benefits are tough to beat. Culturally, having worked for multiple Multi-Family Housing Companies, CenterSpace talks the talk, and walks the walk. Support is amazing & every employee I've reached out to has been happy to lend a hand whenever necessary. One of their keys, is ""One Team"", which means that although we all work at our individual properties, we're one company and we are all on the same team. It's not just a key, or a hashtag, it's actually true.","Depending on the position, days can be heavy. We deal with the 4 most important things in peoples lives: their homes, pets, cars & money. That's not necessarily a con for the company but the industry. As managers, it's not a 24-hour job in reality, but it does feel like it. Only other item would be that due to the size of the teams, staffing is sometimes difficult without enough bodies to fill in. That is where the #oneteam comes in and help is recruited from other sites.",Centerspace,CSR,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Centerspace-Reviews-E641383.htm
Messy,1.0,"Mar 31, 2023","Endless funds to spend on the residents and staff, there's apparently no max to the party budget","Management doesn't care about Fair Housing or EEOC at all. There's a huge problem with fraternization. Lots of hooking up, drinking, and partying with the residents. Staff members get really cliquey with residents and are unable to impartially implement Fair Housing. One resident sexually harassed another resident at the pool, and when the victim complained, the manager said the victim was being sensitive and not understanding the perpetrator's humor (she was friends with perp). She refused to file an incident report. One teammate was regularly hooking up with a resident who was going through Eviction. It's unethical and convoluted. The exposure for a lawsuit is crazy high. It's like going back to high school in the worst way. If you don't go along with the status quo, you're told you're not a ""culture fit"" and your teammates will shun you like in The Crucible.",Centerspace,CSR,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Centerspace-Reviews-E641383.htm
