title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
A Great Place To Work,5.0,"Mar 20, 2025","Great hourly wage, full benefits including dental and vision, 401K match, earn paid time off. Great hours roughly 9:30 - 6PM. Great support system. Promotions are encouraged within the system.",Must be available to work Saturdays. Must have your own transportation.,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
No complains honestly,5.0,"Jun 18, 2025","Good work environment , laid back , relaxed","9-5 shift so day is gone , I really have nothing bad to say",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Poor upper management,3.0,"Oct 17, 2025","Stable hours, housing, sundays off","Poor upper management, severely understaffed to where I was running 3 sites (over 1200 units) for 6 months with driving between all 3 sites and competing all the daily operation's and only receiving 1$ pay increase stipend. Ran 2 sites for over 2 years (one owned one managed ) saving them over 100k a year and they offered me a dollar raise confirming that they still get paid that money. They just didn’t want to compensate their teammates for it. Upper management from san Diego lies, constant victim mentality. Attacks people verbally by blaming them for everything, then lies to her boss to get people fired. Worked there for 3 years with great reviews and raises and was even offered another site because “they needed someone with the experience I have to handle the volume of units and customers that location has” not 2 months later I was fired.",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Opaque Leadership,3.0,"Sep 24, 2025","Straightforward daily operations with very low to medium customer traffic depending on day and location. Often alone or with 1 other coworker, which lets you have more control over your daily operations and professional relationships with customers. Good insurance, paid per-mile for on-the-clock travel, holiday pay, plenty of PTO and sick days, plus weekly paychecks.","Working alone or with 1 other can be a lot of pressure for entry level hires. Scheduling can be inconsistent with low staff, and traveling to other stores for shifts or to assist others is common. Leadership was fewer than 5 people who worked from home/separate offices and were typically difficult to contact quickly, making connections with other local store managers crucial. Leadership often made decisions without key holder input and did not communicate changes effectively, leading to even further issues. Little opportunity for growth within the company, with two arguably ceremonial promotions of General Manager and Senior Manager being given to those who stick around for a few years with little pay or responsibility changes, and Field Training Specialist which is a parallel title to all Manager positions.",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Finally have control of my finances,4.0,"Aug 8, 2025",I have the best District Manager who cares about me. The free rent for an apartment have greatly improved my finances and qualify of life. My pay reflects the fact that I do not pay rent or any utilities. The job is not stressful and I can work at a relaxed speed if I want or need to. I was just informed yesterday that I have been given large bonus!Long story why but I definitely deserved it.,Living on property means I sneek away when I am outside on my day off and see a customer drive in. Lots of repetitive tasks that never end. I could really use some help keeping up my and CubeSmart's standards. No budget or help for landscapers to blow the property. CubeSmart gives regular and significant rent increase to customers.,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Good college job,3.0,"Aug 13, 2025","Good job if your in college, not rocket science just do what your suppose to do each day and it will be fine.",The hardest thing was auctions but after a while you get the hang of it. The pay is low and the benefits are not good. Not much support from corporate.,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
"""Under performing""",3.0,"Sep 4, 2024",Higher pay than other self storage facilities,"They will tell you how you are ""under performing"" as a manager in the same breath they ask you to climb onto the roof to scrape out wood rot and repair a gutter so they can save money and not hire a handy man because were in the last half of the fiscal year. They will overlook mediocrity and legal liabilities for the sake of employment security with someone who's been with the company for over 10 years. They will overlook unauthorized account changes, partial payments on delinquent accounts, and personalized emails telling the customers the specific amount they owe, but will berate you for the next 2 weeks for not having the flower bush outside your office trimmed to their standards. This is the type of company that will tell you you're not doing enough for them while you're experiencing heat stroke from drilling a metal cloth into a 50 year old rat hole that no one has bothered to cover up before you. Save yourself the trouble and go work for Amazon if you want to be apart of a company that will take advantage of you. At least you can you their employee discount for more than just 10% off am already overly priced storage unit.",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Yeah,3.0,"Aug 8, 2025","Not a bad job, helps to get you by",Low pay and can be very boring at times,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Underpaid,1.0,"Aug 28, 2025",Good office work and self discipline work,Underpaid and no help from management. More trouble than you expect,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
"CubeSmart Self Storage Sacramento, CA Market",3.0,"May 28, 2025","Decent pay, decent benefits, paid holidays off, good teammates, good work life balance, not micromanaged.","Dirty properties due to homeless Customers. Have to clean up some rather vile things (human waste, needles...etc) short staffed for several years now. They cut the hours at our stores. We all used to be a two person staffed store but most of the stores are single staffed which makes the job so much more difficult.",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Reality,2.0,"Apr 19, 2025",There is a lot of freedom in the position in the day to day side of things. It geels good to help the customers.,"Upper management can be a major issue when they are constantly shifting and years of service is swept under the rug because “I am your new supervisor and have not worked much with you yet” after the previous supervisor was forced to quit for timecard manipulation. Similar to any corporation. Performance reviews being manipulated in a way to justify not providing raises, but when a direct conversation is had rest assured the “I made a mistake in your evaluation” will not turn into the additional compensation.",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Typical corporate company,2.0,"Jul 25, 2025","Hours, ease, people, freedom, benefits",Doesn’t pay you a livable wage,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
"Was great to work for at first, changes are for the worse",3.0,"Oct 15, 2024","I lucked out and have great co-workers in my district, and for a time had a great district manager and DVP as well. Like having one weekday off in addition to Sundays off Health insurance is good","- The changes currently in progress are meant to cut staff and only have one manager per store, using virtual agents as “backup”. The long term tenants are frustrated that they can’t talk to us directly anymore when they call in. - Due to not wanting to hire more staff, store managers are expected to float at other stores. The mileage is not adequate compensation for the additional gas used to drive to these locations, and also affects work life balance due to getting home later than usual. - If you work at a location in a high crime area, you can’t carry anything on you for self defense, which is especially concerning for female staff.",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Low pay,3.0,"Mar 1, 2025",Cubesmart is very involved in every aspect of their business. The systems they use are pretty easy to learn.,"Being told during a performance review that the whole company gets a three percent raise, but they stick a handful of you with 1% Seems like management may get a bonus with how little they give out to their team. Management does not support when it's really needed",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
This is one organized company,5.0,"Oct 23, 2024","Training is intensive and all encompassing. CubeSmart really wants their business to succeed and they accomplish this in part by making sure their employees know what to do in every situation. Stores help each other to meet goals, and fellow workers will bend over backwards to help out. Weekly district meetings keep everyone on the same page, and provide a sense of cohesion and further team accomplishments. The District Manager for my location is one of the best retail managers I have ever encountered. She was a true captain, in that she could do every job that she oversaw. This company could run workshops on how to run a large business. Everything is streamlined, there is an answer to every question, and nothing falls between the cracks. CubeSmart runs a tight ship.","There is only one con I can think of: CubeSmart may not own the storage property that you work at, they may just manage it. This can translate to less than desirable facility conditions. CubeSmart can advise a slum lord, but in the end they can't make the owner take care of their property.",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Skip,1.0,"Aug 1, 2025",They paid us on time.,"The whole corporation, clueless senior management.",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Terrible work environment,1.0,"May 4, 2025",You make your schedule. Benefits were above average but expensive,A LOT of favoritism runs within that company. Hand out promotions you people that don't even deserve it especially DMT promotions. Constantly working alone as well. DVP and SDVP will come to your store to tell you to your face your doing good but then tell the DM that you're basically garbage. They acy like everyone is replaceable regardless if you are the best overall for that store and gave it your all.,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Not many pros at all,2.0,"May 9, 2025",Management experience is definitely a resume builder.,The pay the absolute minimum and expect the absolute most above and beyond work. Save your time,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Not bad,3.0,"Jun 9, 2025",Hours were good. Easy management,Lots of downtime and idle time,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Great company to work for,5.0,"Apr 20, 2025",Great company to work for!!,Some days can be challenging,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Only work here if needed,2.0,"Apr 7, 2025",Additional amount of money to pay for cash drop offs,Not many approved days off and pay is not the best,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Overall Good,4.0,"Apr 18, 2025","•Steady hours weekly
•manageable workload","•pay could be better
•sometimes working multiple locations",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Fun people sad company,2.0,"Nov 9, 2024",The people look out for each other from store to store we cover each other we build friendships that last!,The salary does not compare to other storage you feel like you are making less because you are. I got “promoted” with no extra pay and my next “promotion” would also have no extra pay but hey I’d get experience!,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Payrate,1.0,"Apr 30, 2025","I mean what can I say, It’s a job",They Hire just anybody to work with no experience or expectations,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Good company,4.0,"Mar 28, 2025",Was able to make own schedule and work alome,"Large corp, hard to get items completed in timely fashion",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
"Tiring, but Depending on Staff, Enjoyable",3.0,"Mar 14, 2025","Set hours, good coworkers, consistent","depending on where you live weather, can feel like some locations are forgotten",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Down Hill and Jump Ship Now,2.0,"Apr 5, 2024",You have a lot of great people in many departments to interact with and many help when needed even though so many are overworked. A pro used to be 3 days of working from home but that is no longer along with less flexibility.,"You have a lot of turnover for reason that most departments are overworked. Top executives refuse to see that the company is growing and won’t dip into their pockets to hire more people. Pay is also low and raises are subject to the whim of the CEO. Culture and employee values are not taken into consideration by the CEO or top officials. This includes forcing people to come back more into office, less flexibility, and more work for less pay.",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
It has declined,3.0,"Feb 26, 2025",- benefits - approved vacations - teams are helpful,- upper management allows discrimination of disabilities - there’s not much growth - low pay for the amount of work,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Manager,4.0,"Mar 4, 2025",The job is easy just manage and clean your store and sell boxes.,Pay could be more honestly,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
It's not what's inside that counts...,2.0,"Dec 21, 2024","Customers, teammates, closed on Sundays","Pay, upper management, communication, support.",CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Get a good manager and its smooth sailing,5.0,"Jan 1, 2025","The people really want you to succeed and give you the tools to do so. PTO and sick time Flexible schedules, easy to get days off for appointments/emergencies. Lots of down time Help pay for college in related field All full time positions",Kicking people out for rule breaking Auctioning off peoples units for missing payments Corporate oriented Mystery shoppers Lack of diversity,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Do not work here,1.0,"Mar 26, 2025",None do not work here,You have a wait 6 months before you can use pto They nitpick to find a reason to not give you a raise,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
Great Company to Work For,5.0,"Oct 17, 2024","Great benefits, competitive pay better than most storage facilities. Very flexible with scheduling. Great team in my district we all help each other out. DM and DVP are awesome to work for.",There's not many cons at all I really enjoy working for this company. I've seen some bad reviews but I'm happy to say those have not been my experience at all.,CubeSmart,CUBE,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/CubeSmart-Self-Storage-Reviews-E429776.htm
