title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Property Manager - great company to learn from,5.0,"May 6, 2025",Cousins is incredible. They teach you anything and everything you need to know to be successful.,None. They really are exceptional,Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
I like Cousins!,4.0,"Sep 22, 2025",The culture is great - the people who work at Cousins are so supportive and want to invest in your career and see you succeed.,Pay and benefits could be better!,Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Culture,4.0,"Apr 25, 2025",Culturally nice with descent management,No room for growth devotional,Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
decent pay,5.0,"Jun 24, 2024",pros are the people there you work with are great and it feels like a family once you get to know everyone,pay increases aren't that great,Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Cousins is great!,4.0,"Jul 5, 2024",The Austin team is great and everyone is very welcoming!,"Benefits could be a bit better (medical insurance, PTo, etc).",Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
,4.0,"Jun 21, 2024",Very stable company. Leadership seems to care about everyone.,No present growth opportunities at the upper level of engineering,Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Great Employer,5.0,"Mar 11, 2024","They care about their people, the buildings they own are top tier, they host many employee events",most of their positions are in-office 100% of time,Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Great job,5.0,"Mar 12, 2024",Work at your own pase,Can get a little slow at times,Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Lack of Communication,1.0,"Nov 17, 2023","Competitive salary, good accounting dept. and opportunities to volunteer","Poor benefits, minimal PTO, lack of communication and guidance",Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Great Place to Work,5.0,"Jun 19, 2023",Family oriented company. It didn't feel like you were just a number.,Pay need to go up with the market.,Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Best Life Work Balance culture,5.0,"Jun 1, 2023","Very flexible with Employees, good benefits, good pay.",I do not have any,Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Accounting,5.0,"Mar 8, 2023",environmental is very important and working for this company is a good fit for anyone in Accounting,remote is only 1 day per week,Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Exciting company for anyone in finance and development but accounting positions were not so great.,3.0,"Feb 4, 2020",Its an exciting company to work for if you're involved on the finance or development side of things. They show great promise and continued growth. They totally dominate most of the markets that they are in.,"Located in Buckhead, where traffic is a nightmare but they're right on the buckhead marta station. The employee review process was broken. Your bonus was not based on how well you performed. It was tied directly to the company's overall performance, which actually wasn't the worst thing since the company had done well while I was there. But the issue was that your performance review literally did not matter. We had the ability to work from home but were rarely allowed. I don't know if this has changed since I've left. Most people on the accounting side were unhappy and starting to look for other jobs by the time I had left. Lots of people spent their entire careers at the company and were overlooked for senior positions, which were given to outside hires. This had a large effect on the employee morale for people in accounting.",Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Company and culture have changed - not in a positive way,2.0,"Jun 15, 2020",Nice buildings with free soda and coffee.,"For the past three years - the company has become very political and a very cold environment. Everyone from the CEO to HR has become harsh and it appears that they have forgotten what previously made them a good company- their people. Benefits cost are becoming a burden on employees, employees seem to be set-up and fired, their is a lack of employee voices being heard, employees are treated harshly and expected to work more than 10 hours per day and weekends.",Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
"Horrible Culture-Unprofessional, Back-stabbing, Not inclusive",1.0,"Oct 11, 2022",Nice properties and nice offices,"The worst upper management I've ever seen. They may be a great company in Atlanta but Austin is a nightmare. There is so much turnover, favoritism, back-stabbing, verbal abuse and an overall lack of consistency or standards. The culture is non-existent, no meaningful interaction within or between offices. Maintenance, Admin and Customer Service have suffered as a result of constant turnover, no traction possible. HR doesn't care or get involved to solve any issues. Don't damage your career or reputation by being associated with this company. The worst place I have ever worked. Don't believe the positive reviews, they must be written by upper management or HR. Note-No hybrid or work from home, 100% on site, outdated paradigm. Benefits are just ok, high deductible.",Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Disconnect between Atlanta and other locations,3.0,"Feb 4, 2016",Lots of opportunities to learn and take classes; fairly generous PTO schedule.,"HR and Accounting are absolutely AWFUL!! The benefits packages is a joke - they pay your monthly premiums if you do medical screenings but they only have High Deductible plans and the single person annual deductible is $3250!! This totally discourages people from going to the doctor and is the exact opposite of what they are trying to accomplish wit the ""wellness"" program. Atlanta is the HQ and they do an awful job of communicating with the other markets. Management seems to have it's head in the sand!",Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
Building Engineer,4.0,"Apr 24, 2017",Good properties to work at. Mostly great people to work with. Very professional company with their $#!% together. Upper management relatively approachable. Notice hard work.,"Low pay for industry standard. They say its compensated by the benefits, which looses its luster after you hear that so often. Building Engineers are locked into very strict levels (ex. Level I, II, III). Management is too focused on keeping engineers in those boundaries.",Cousins Properties,CUZ,Office,2025-11-21,https://www.glassdoor.com/Reviews/Cousins-Properties-Reviews-E1307.htm
