title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Amazing Company,5.0,"Nov 13, 2025","Since joining this organization, the experience has been a breath of fresh air. The management team and colleagues within the Channel program are collaborative, approachable, and highly effective. The culture strikes the right balance, everyone is easygoing yet focused on delivering results. I feel valued as an individual rather than just a number, and the support provided enables me to perform at my best with minimal distractions. Unlike previous roles, I leave work feeling energized rather than drained, and I’m genuinely excited about the work I’m doing. It’s rare for me to share this level of enthusiasm before a one-year mark, but I find myself talking to friends and family about how positive this experience has been. The benefits are also STELLAR!",The only con I have is the disparate systems but they are already working on merging the SFDC instances.,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Great Benefits - Poor Leadership,1.0,"Oct 28, 2025",Benefits and Pay are top tier. Facilities are great. Very clean and safe. Corporate resources are very advanced.,"Leadership is poor quality at the Regional Level. Very toxic environment. Promoting from within without proper experience, education, qualifications. I had great experiences with the Global Teams and Leaders, but not in the Central US Region. Very wasteful and close-minded. Inefficient and Ineffective leadership caused silence and lack of collaboration, very toxic. No one (in the region) feels comfortable asking questions so things are not done consistently or thoroughly. It is symptomatic of a bad apple spoiling the whole bunch. If they cleaned house of the toxins, they would be absolutely perfect!",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Not Recommended,2.0,"Nov 15, 2025",Decent PTO. Lots of OT. Good pay & Benefits,Long hours. No growth opportunities. Kinda a an absolute mess of an organization.,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Salary,3.0,"Nov 12, 2025",Fair salary and a bonus,Favoritism is often at play,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Mixed Bag,4.0,"Oct 27, 2025","Good Benefits and Pay, easy job",Contracted work does not allow learning. Politics can get in the way of the safest practice. hard to move up,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
"Great company, but has room for improvement",4.0,"Aug 22, 2025","The PTO is generous, growing company with opportunities, local leadership cares and listens even at the director level. A lot of smart and highly technical employees that love talking your ear off! I feel like I learn something almost everyday.","Certain departments appeared to be favored over others, no good way of tracking and listening to employees ideas like a ticketing system- you have a lot of intelligent people working here that can vastly improve the business and a lot of them stopped pushing for change because it doesnt seem to go anywhere. The pay is below the market and unfortunately we lose employees to our customers often.",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Culture,5.0,"Oct 7, 2025","Great place to work, excellent leadership.",Increase headcount with more support roles.,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Great PTO and Health benefits,4.0,"Aug 20, 2025",Unlimited PTO (make sure to take it every month) and health benefits are great,"No RSU's, promotions don't come to you unless you ask them (common in most places, a lot of work to do with small team, communication.",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Overall Good Company,4.0,"Aug 30, 2025","Co-workers, inclusive work environment, good work-life balance","No clear communication during company changes, process before the supporting systems are in place",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Great Company,5.0,"Sep 1, 2025",Great Work Life Balance - good leadership,can't think of any cons,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
A lot of work to do as a firm,3.0,"Jul 23, 2025",Rapidly growing industry With potential,"Disorganized, chaotic, unclear vision. Too much of a bottleneck with legacy employees who silo information and don’t cross train.",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Great Company To Work For!,4.0,"Jul 7, 2025","Great people, interesting work, data centers are the best.",No RSUs (stock units) unless you exceed and even then it is not guaranteed. Growth is difficult and navigating where to find things tends to be difficult.,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Great Company,4.0,"Jul 31, 2025","Good perks, Laid back as long as you do your job",A lot of bureaucracy and redundant paperwork,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Generally Positive,4.0,"Jul 7, 2025",Flexible work culture. Autonomy and mission driven toward building data centers. Growing industry,"Large company, sometimes bureacratic. Not as much career mobility",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Entry Level Data Center,3.0,"May 7, 2025","- Simplistic - Good Pay - Friendly Environment - Rapidly Growing Overall a great place to work, but the con to this place is what can make it hard to retain employees when other data centers are willing to pay more.",- Career progression depends on who you know. - Backfilling employees is unhurried - New hire hopefuls may have to wait 2-6 months just for an interview,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Salaries not competitive,3.0,"Mar 12, 2025","Decent work life balance Nice people Solid industry Unlimited PTO, good benefits","Roles not clearly defined Salaries are a disaster and likely based on who you report to, I'd guess there is not much parity. I believe they do not compete well in the market and have removed all salary data from the internet. Got a job offer and structure of the offer was stretched out so that the full number would not be realized for <2 years Exec Management says jump and everyone does so, shifting priorities are tough, everything is a firedrill Extremely layered, matrixed, you will be put in your place Limited upward mobility, based on team",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
They don't care about you,1.0,"Jun 18, 2025",Some people are really nice,Leadership doesn't care for the little guys,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Great work environment,5.0,"May 4, 2025",Very wel trained and good company environment,No cons at Digital Realty,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
,4.0,"May 1, 2025",Great team Supportive Good place to learn about the basics,Schedule Short staff No room for growth,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Great Company,5.0,"Apr 2, 2025","World Class Training, competitive pay, on the edge of the DC/Cloud/AI space",Hardly any. Everyone works as a team and holds each other accountable.,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Worst comps,1.0,"Jun 3, 2025",None to mention. Very bad work culture,Lot of long hours and no recognition,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
"Overall, good company",3.0,"Mar 31, 2025",good company and good benefits,no work life balance with this job,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Great company to work for,5.0,"Feb 12, 2025",Digital realty is a great organization to work for. Senior Leadership is focused and on point. Excellent smart people to work with. Great benefits and plenty of room to grow.,I have encountered none to date,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
10/10 company to work for,5.0,"Mar 14, 2025","Easy onboarding process
Great team
Great culture 
Enjoyable work",no cons currently come to mind,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Review,4.0,"Jan 31, 2025","Very Comfortable, Low stress level, Very decent benefit package","In this facility, no breakroom for customer, no accommodations for emergency work requirements. during bad weather,",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Best company ever,5.0,"Dec 23, 2024","Good, well organized company Lots of growth and opportunities for advancement Great people Management actually cares Management actively works to improve you Laid back culture","A bit more corporate and HR heavy than a lot of my previous jobs. Overall, not bad",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Don't Work Here,1.0,"Mar 20, 2025",There are none to mention.,"terrible leadership, low pay, no promotion, no OT, no good company culture, bad HR.",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Great Culture,5.0,"Feb 13, 2025",Fast-paced environment with supportive upper management.,"A bit demanding. Very large company, sometimes difficult to keep track of what each department responsibilities.",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Large Company with Startup Processes,3.0,"Feb 21, 2025",Great people to work with.,High churn rate and people have to support multiple roles.,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Great Place to work,4.0,"Feb 19, 2025",Great place to learn the Data Center Industry,Too many levels of middle management,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Don’t do it!,1.0,"Mar 3, 2025",Salary is competitive depending on your role,"Unorganized, large company operating as a small start up, unrealistic role expectations, no real onboarding or metrics, unlimited pto is actually very limited, no processes in place, extremely long interview processes",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Dear Digital Realty Newcomers,5.0,"Oct 1, 2024","Great Opportunity for growth and learning. You can elevate fast in the company if you put the work in. Great Management, very supportive management team. Great Salary, Great work/life balance. Management cares about things you have going on in your life outside of work, they always do check ins with staff to see how we're feeling mentally and within the company. Very genuine energy that is not common these days in jobs.","Different personalities and attitudes within the team. Sometimes it is flat out hard to deal with and mentally draining. Clicky work environment, if you don't fit in you can feel left out.",Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
Product Manager Review,4.0,"Feb 11, 2025","Pros include: culture, compensation and benefits.",Organizational structure made it difficult to get things done.,Digital Realty,DLR,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Digital-Realty-Reviews-E36929.htm
