title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Company,5.0,"Jul 29, 2025",Great culture on our team,Not a lot of activity in terms of acquisitions.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Not a good company at all,2.0,"Oct 30, 2025","Pay is great, Benefits are good",Not a good company to be employed with,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Leasing Agent,2.0,"Mar 5, 2025",the commission was the only bonus,"no work life balance 
missing funds",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Lipstick on a pig,1.0,"Oct 19, 2024","Pay, PTO, hybrid schedule, as always, the people to the left and right are great.","C-suite— mainly the COO. The rest just fall inline and do as the master says. Since she joined, she brought a soulless approach to people mgmt., nepotism, and immaturity. Most companies mean what they say but all of the trending employment key words are just words to please the investors and board. Policies are not current and legacy culture is being torn apart. What Elme (spelled El Me but pronounced (Elm) was known as WASH REIT. That company brought a good company culture and since the transition to Elme — it’s quickly being changed to a mo yea first, people last, and cut throat business.",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Doesn’t Support Staff,2.0,"Nov 14, 2024",Salary higher than most companies,Doesn’t support staff in GA. Instead of brainstorming ways to improve the portfolio they find a reason to let you go,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
"Special team, Special time. Special players.",5.0,"Sep 9, 2024",Lots of flexibility around hours. Colleagues are great.,Office moved out of DC to Bethesda.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Fake “Leadership”,1.0,"Aug 2, 2024","their leadership is more like a small family run business. If you’re not a favorite or listen to them talk, you’re not “family.”",The titles most people have are not equivalent to the real world/normal professional businesses.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Great Company,5.0,"Jul 1, 2024",Small team with plenty of areas to help/gain experience in,none so far has been a con.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Good place to work,4.0,"May 2, 2024",Great benefits and people to work with.,Older demographic to work with.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Growing Company with lots of opportunity,4.0,"Feb 27, 2024",Great people to work with very collaborative,Fast paced environment with no processes in place but they are working towards streamlining things. Longer hours of work until then.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Don’t work here.,2.0,"Jan 15, 2024",There are none. Terrible company.,Unorganized. Insufferable. Many layoffs. This company bit off more than it could chew.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
"Good benefits, struggling company",5.0,"May 19, 2023","Family culture, flexible work schedule, good benefits","Employees rarely are promoted, executives do not push for results and rarely challenge the status quo.",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Regarding Aug 13 post clearly someone in marketing.,1.0,"Aug 15, 2014","None really, sorry. Unless your and executive with a contract that will pay you for years after they lay you off.","Trust is their last name, but it is the last thing you will get as an employee and the last thing you should do as an employee. So the facts, in the last year people who have spent a career of 20 plus years building the company have been let go. Then they start out-sourcing everything from leasing, architecture, and recently even management. Only the Executives with their golden parachutes are the priority at this company, read the SEC documents and if interviewing ask how many people have been laid off / let go in the last few years due to a new strategy! Soon all that will be left are a few executives with sweet compensation packages and third party service providers. Look at the quarterly reports, after dropping dividend they are still paying out more than they take in, not a winning formula! No growth in stock, stuck with perdominatly older office space that is struggling and can't compete agains all the new buildings, and selling off of divisions. Yeah ask questions and tread lightly.",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Positive & Energetic Work Environment w/ Endless Career Potential,5.0,"Aug 13, 2014","Washington REIT provides a fast paced work environment for motivated individuals who are passionate and excited about their work. I’ve found the leadership to be inspiring and I would consider the company to have a collaborative open door policy. As the oldest publicly traded REIT in the country, the firm had a reputation for taking on that persona - until recently. That being said, I firmly believe that both the new CEO and new COO have done an excellent job at reversing the firm’s reputation in the industry and delivering bottom line results to investors that are attributable to the firm’s strategic direction and growth.",None – it remains to be seen.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Best career choice I've ever made,5.0,"Nov 19, 2020","I've been at WashREIT for nearly a year. Everything from the interview process to the culture, to the teamwork and community have been outstanding. Even in this short time, I have learned so much and gained such incredible value from working with this dedicated team. WashREIT actually lives its core values - you have a voice, you're encouraged to lead, and you are motivated to excel. I am very blessed to be part of such an outstanding organization.","With the complexity of the industry, there are many applications and services to learn about when coming on board. I think expanding the onboarding experience to educate people about these various systems would be beneficial in the long term.",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Outstanding leadership,5.0,"Oct 29, 2020","The folks on the executive team are very thoughtful about the vision they have for the company and how they implement it. Transparent environment / lots of integrity from leadership. They're focused on doing what's right for the people. No hierarchy or bureaucracy, just a place where everyone collaborates and feels valued, and all ideas are welcomed and respected. HR dept. is incredible and unlike any I've seen, at other companies you'd need to spend $$$ externally to get the same level of professional coaching. Another huge plus is that the IT department is top notch and they constantly strive to make everyone's job easier and faster.",None that I've encountered so far.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
How many folks over 50 years of age are you going to let go?,1.0,"Sep 12, 2014",None really. Got paid on time and had a fair amount of vacation Very old boy like.,The last more than ten people let go have been over 50. Ceo is unapproachable. HR should be one director not two. Benefits good but health insurance ridiculously expensive. Stuffy atmosphere unlike when the former ceo was their. People scared about more layoffs.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Bad.,2.0,"Aug 2, 2014",For me none. Have been picked on and abuse...,"Race and orientation, Benefits have been good. Time off has been good. Policies need to be reviewed.",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Great Company,5.0,"Nov 12, 2020","A leadership team that cares about their employees, opportunities for hands-on learning, inclusive and collaborative culture, dynamic community service that supports our local community, a company that supports environmental sustainability","There are many opportunities to learn and grow, but at times you need to take the initiative to reach out and find them",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
"Solid organization with hardworking, dedicated employees.",5.0,"Jan 7, 2009","Repectful environment, execs are accessible and fair minded. The company owns a diverse portfolio which is unique to peers. Company benefits are excellent, friendly environment, fast-paced.","Since it's a public company, there is a fair amount of financial reporting required.",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
"Bureaucratic, indecisive and redundant work environment.",1.0,"Jul 3, 2016","Great employees to work with, people are kind.","Too much bureaucracy, paper pushing, and employee paranoia about job security within the company. Excessive and pointless reports required from all employees - too much redundant positions in the company.",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Chief Engineer,4.0,"Feb 20, 2018","Good Pay, growing company, good peers to work around","Top Heavy management, some facets of management are micro managed",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Director,5.0,"Feb 18, 2016","Great organization, collaborative environment, great co-workers.",Changes in company strategy was difficult for many long term team members.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
A great company to work .,4.0,"Oct 28, 2020",-Great co-workers -Training opportunity -Great leadership -Opportunity for personal development,not any that I can think of . Great Experience .,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Culture,4.0,"Dec 12, 2021",WashREIT is an innovative and forward thinking company. Leadership is smart and they make themselves accessible to all employees,The company lacks diversity within their line and senior staff levels.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Commercial Real Estate Management,3.0,"May 15, 2019","Good pay, benefits, location, work environment, holidays",Reorganization caused several job loss,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Worked for 4plus years,4.0,"Mar 23, 2022","Culture, great co workers, tenants are great, work is good, locations are in dc.","Company downsized, management, vision, and culture changed.",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
A great company to work for,5.0,"Jan 27, 2022",Accessible Executives Good pay Good benefits Positive culture,"Residential buildings only, now. Sold off office portfolio.",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Good for a short while,3.0,"Jul 10, 2015",Large Reit has properties centrally located,No growth potential - expensive benefits,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Nice company.,5.0,"Oct 5, 2013",team players job fun to work with .,It's none a very good place.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Good Overall Experience,4.0,"May 31, 2022","Good salary and benefits, exposure to higher ups","work load can get heavy at times, always transitioning",Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Assistant Property Manager,4.0,"May 28, 2019","Culture, vacation perks and flexibility.",Could be a bit more transparency.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
,2.0,"Aug 21, 2022",Nice people are there so there’s that,Not so. Ice people are there,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
Be Careful,1.0,"Sep 9, 2018",Engineers are friendly and reasonable.,They treat their employees terribly. Micromanagement is prevalent. A lot of favoritism happening as well.,Elme Communities,ELME,Residential,2025-11-21,https://www.glassdoor.com/Reviews/Elme-Communities-Reviews-E1059.htm
