title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
No Flavor of the Month here,5.0,"Nov 5, 2025","It's a breath of fresh air not to have to peruse the ""flavor of the month"". That makes for a well-balanced culture yet one that still expects quality work from its employees. The direction is clear, goals are well-defined and communicated and you are given support to achieve those. I really enjoy working for an organization that has outperformed its peer group for 40+ years. There is a comfortable feeling here that as long as you achieve your goals and are a good team player you will be rewarded.","If you are wanting to work for an organization with a ""start up"" culture, this is not the one for you. No crazy long hours or chasing the ""next big thing"".","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
"Toxic, micro-managed, culture that prioritizes conformity over everything",1.0,"Nov 13, 2025",-Most of senior management team is open to new ideas -Great visibility with execs -Talented and passionate co-workers and teams across the business -Lots of pride among the Property Managers,"-Toxic and/or lazy leadership especially in Asset Management, Operations, IT, and HR -Office Hybrid schedule is not really hybrid - very much butts in seats 4 days a week 8 hours a day with minimal flexibility -Low trust in HR especially leadership team -Would rather micro manage than let employees take lead -Most leaders are not receptive to feedback -Stop promoting the same people and bad leaders/managers -Awful healthcare and poor benefits","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
"Solid, transparent workplace",4.0,"Nov 7, 2025","Strong onboarding, clear communication and expectations, engaging work, good team.",Benefits (specifically health insurance) are not great--expensive and limited coverage.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
5 Stars,5.0,"Oct 14, 2025","Working with ELS has been a great experience overall! The company truly values both its employees and customers, with a strong focus on communication, teamwork, and delivering quality results. Leadership is supportive, and the culture encourages growth and balance.",I would love to see more investment put back into the properties and a bigger focus given to amenities and activities.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
ELS currently employee in corporate,3.0,"Oct 29, 2025",Opportunity to be promoted Opportunity for internal transfer Opportunity to learn new skills Good for new graduates,4 days in office Low salary,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great Place To Work,5.0,"Oct 30, 2025",Work life balance and supportive environment,Communication could use some improvement,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Overworked and underpaid,2.0,"Oct 7, 2025",Exposure to management team is excellent,Pay and work life balance,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Horrrible company,1.0,"Sep 18, 2025","flexible hours, ample time off","The pay is awful. If you have benefits, you must pay alot extra just for basic coverage. The management has excellent benefits. Too bad they don't do the same for the regular employees. Mis managed, hardly any staff because they let everyone go before the season is even over. DO NOT WORK HERE!","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Corporate,2.0,"Sep 25, 2025","Benefits are nationally based, still expensive","Too many layers of management, Typical REIT, people come last","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Recommend as a place to work!,5.0,"Sep 2, 2025",Excellent senior leadership Collaboration is encouraged Your opinions matter Challenging and rewarding work,Demanding workload at times Complex industry to learn,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great work/life balance,3.0,"Sep 2, 2025","Flexible, good people, balance of personal life challenges with company goals",High amount of work pressure,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Was not great,3.0,"Aug 4, 2025",The property was nice to walk,Too many to count really. No training. Expected to know everything. Didn’t have support from any level of management until it was a rush to finish something,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Slum lords,1.0,"Jul 2, 2025",Nothing good to say here.,Slum lords. I deal with multiple properties that they have. They refuse to fix serious issues in many of these locations. Ranging from plumbing issues to water and even electrical issues. Not to mention that several of the trailer parks have people living in tents and on top of that they are charging then the full price of a lot. Some of these locations literally need to be condemned.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Good,3.0,"Aug 4, 2025",Upward mobility across different departments,Short staffed and high turnover,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great job,3.0,"Jun 10, 2025",You feel like you are family here.,Definitely high pressure sales. Lots of cold calling.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
No amount of money is worth the toxic environment,1.0,"May 6, 2025",Matching 401K Time Off Benefits,"Company preaches Communication, Enthusiasm, Empathy and Ownership-but gives 0 of that to their employee's OR customers. Give great benefits but you are not able to take with due to staff shortages Their policies have created a toxic work environment Do any of the decision makers camp?","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Zero Accountability in MHVillage Management Acquisition,1.0,"Nov 21, 2024","Nothing positive to say. Worked in a separate, neglected division with no HR support; toxic environment issues went unnoticed.","Avoid this company at all costs. ELS acquired MHVillage with zero responsibility for management. The marketing department is a nightmare, with fear-based tactics that drain your energy, disrupt your sleep, and erode your sanity from day one. HR’s 30, 60, and 90-day check-ins were useless, ignoring every concern I raised. Employees are treated as expendable, not valued. Two colleagues escaped to different departments to avoid the toxicity, and my predecessor faced the same issues. The blame lies squarely with specific leaders known for creating a toxic work environment. If this review helps one person avoid the misery of working here, it’s worth it. In today’s job market, red flags are easy to overlook, but trust me—if I’d seen this review, I would have run the other way. Steer clear of this company until Equity Lifestyle Properties steps up to address these issues. MHVillage feels like the Wild West, and it’s time ELS brought order.","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great place to work,5.0,"Jun 8, 2025","Wonderful people, great place to grow",Occasional communication disconnect between departments,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
It’s okay,3.0,"May 29, 2025","Decent PTO
Decent hours
Quiet office","Bad health benefits
Poor management support
Inflexible hours","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Would not recommend,1.0,"Mar 2, 2025",They offer excellent wages and bonuses,"The salary is not worth the drain on your mental and physical well being. My experience working for this company was horrible, I was bullied and disrespected by direct supervisors to corporate department heads. There is absolutely no training. They state they have a collaborative environment but it’s just property mangers put out that they have to take time away from their duties to teach you company procedures, often you are given wrong information. Training at the corporate office is a sham.","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Employee Review,2.0,"Apr 25, 2025","Great benefits PTO, pet bereavement, time off",Pay is only good if you can see earn commissions,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Overall okay,4.0,"Mar 20, 2025","Straight forward pay, benefits, and responsibilities. Company gives good time off accruals + mental health benefits and resources","Els owns both marinas and campground and focuses on the campgrounds. Marina side, corporate is hands off. No overtime pay when salaried","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
The staff is great to work with,3.0,"Apr 10, 2025","Managers are down to earth, very accomodating.","Very heavy workload, expectations and procedures are unclear and change constantly, outdated technology and systems","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great place to learn,4.0,"Mar 26, 2025",Can be a great place to learn the high level dynamics of a position and get face time with company management,Pay can be below market,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
"Not bad,",3.0,"Mar 31, 2025","Nice coworkers, decent work life balance",strict policies around office attendance (min of 4 days each week),"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Senior Financial Analyst,4.0,"Mar 25, 2025","Work-life balance
Dynamic work environment","Managers style of management can dictate your success.
In office 4 days/week","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Could be much better!,3.0,"Feb 24, 2025",The way was pretty decent compared to what other employees made,"Very unorganized, if you live on property you are expected to drop everything on days off if something comes up, no accountability for unengaged workers.","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great company with even better people,5.0,"Feb 14, 2025","This is a stable company with a great real estate portfolio and solid financial outlook. However, the people here are even more impactful. Fantastic leaders and a culture that values collaboration.",Change can be slow at times.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Pay could be better,3.0,"Mar 5, 2025",Camping and meeting people in a certain network,Pay and lack of help,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Good stable job,4.0,"Mar 2, 2025","Decent pay 
Steady hours
Good team","Raises aren’t great 
Some residents aren’t nice","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Good company to start,5.0,"Jan 6, 2025","The interview process at Equity Lifestyle Properties typically involves an initial phone screening, followed by one or more in-person interviews. Candidates may be asked about their experience, skills, and fit for the company culture, with a focus on teamwork and problem-solving abilities.",you will love work than ever,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great place to work,5.0,"Feb 19, 2025",A lot of opportunity for collaboration,Benefits are not that great,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Ever Seen Mean Girls? Welcome to the HR Leadership Team,2.0,"Dec 9, 2024",Any pros I must have blocked out bc I didn't have a great experience.,"HR leadership team is toxic, was hired in as remote, then once hired after a few months we went ""hybrid"" which was 4 days a week - that is full time in the office. Benefits were not great.","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
"Encore, Thousand Trails. You will make more money in fast food.",2.0,"Jul 28, 2024",Immediate supervisors are amazing and you can work remotely at an agent level. Great for people looking for extra income and need to work from home.,"Pay is not great and the only hope for a decent raise is to be promoted to another job, but you cannot work other roles remotely. Upper management is out of touch with it's employees' needs. You do receive incentives for some departments but you are not able to track and calculate them. Most employees second guess their incentive pay.","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Customer Service Representative,4.0,"Dec 30, 2024",Family style work environment and new equipment.,The pay is low and promotions are rare from within.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Typical Corporate,2.0,"Sep 16, 2024",Great office manager and for the most part my few staff members,"Typical corporate job. They want top work for little money. They cut many positions and expected employees to pick up the slack for no more pay. Residents and weekend visitors expressed concerns about the bare bones staff that affects their needs and customer service. Store manager did little other than milk her hours, treat employees like crap, gossip about guests and residents and went unchecked destroying the staff","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Just Okay,3.0,"Nov 11, 2024",The people at the local level are great to work with.,Corporate oversight is excessive. They make it very difficult to contribute in a positive way. The crush innovation.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
"Great Benefits, Unhealthy Work Environment",2.0,"Jul 8, 2024","Great benefits, and fair pay from my experience.","Unhealthy work environment. A culture that you should be working all day because you are salary. I received work calls and actions on days off. I'm typically use to working on multiple projects at once, but this particular company has no limits to how many projects you should be working on at once. I found myself overwhelmed with the only offer of help being ""this is just how it operates.""","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great,5.0,"Dec 9, 2024",Great place to work at,I don’t have much to say,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Fine,3.0,"Dec 7, 2024",Good support from upper level managers,Customer base at some locations Make this challenging,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
One of the best!,5.0,"Jul 25, 2024","Great office location next to the Metra and union station. The office is also recently renovated making it a very comfortable place to work. They even have a huge outside desk they encourage employees to use to have meetings or just respond to emails on. In addition and more importantly, ELS is a very stable company where as long as you effectively perform and collaborate with others your work will get recognized and you’ll be rewarded.",It is 4-days in office but that does help people collaborate with others easier.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Good Entry Level/Career,4.0,"Oct 23, 2024",They promote from within and are very good about training. Pay raise every year,"Not always professional, not open line of communication with corporate decisions down to individual properties.","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Experience is Dependent on Team,2.0,"Sep 30, 2024",Decent WLB depending on the team. Lots of smart and motivated people.,"Experience is highly dependent on your manager/ department. If you are a strong performer, you may get extra responsibilities but not the resources to be effective.","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Equity Lifestyle Properties Employee Experience,5.0,"Aug 14, 2024","Growth and Development comes to mind and with Equity Lifestyle Properties. Luckily, we are positioned across the United States and allows for growth and professional development.","I would say that there isn't much that Equity Lifestyle Properties does wrong, but one avenue of improvement could be communication and the sense of urgency to complete tasks.","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Stay Away,1.0,"Oct 5, 2024",No Pros for this company,"They do not care for their residents or employees, mobile home parks are a disgrace and all they look at is the bottom line, cannot get anything done then they blame employees - horrible upper management no support I worked there for 10+ years, favoritism was the worst - stay away","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
I like ELS,5.0,"Jul 9, 2024",I like working for ELS because the company is willing to give you all the resources for you to succeed. Everyone is nice. I could see myself here for a while..,Having to work weekends. It takes a toll on you at times. Not having family times and using your PTO for that is probably the only thing I disagree with.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great Extra Benefits,4.0,"Aug 14, 2024","Camping, RV, and cabins at different properties around the country allow for more affordable vacations for either free or $50 a night.",Pay does not meet what other companies offer for seasoned managers.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
I DON'T KNOW WHERE THIS COMPANY IS GOING.,2.0,"Jan 17, 2024",The teams you build in the community you work. Easy enough to take off your ETO.,The hiring of unskilled workers in upper management positions is ruining this company. Terrible and expensive benefits.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Little to no support from upper management,1.0,"Jul 20, 2024",Ability to travel the properties if you can take the time off,Little to support from upper management. You will spend your days defending upper management to very upset members. You will be cussed and yelled at on the daily. You are expected to be on call 24/7. The favoritism is blatantly obvious. Male equivalent co-workers are paid better. The lack of corporate support to invest in the properties they own makes it very hard to do your job.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
No Support Lack of Training,3.0,"Aug 30, 2024",Work life balance is Ok. Easy Hiring Process,Not enough training Lack of leadership and support,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great environment,5.0,"Jul 30, 2024",Great team at the location I worked at - very knowledgeable General Manager and well seasoned office staff and dockhand,Years of service to the company play a larger role than qualified candidates,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Typical for large disconnected corporation,3.0,"Apr 11, 2024",Company is stable. Have a lot of levels of authorization to get stuff done. Due to it’s size it has the cash-flow to get work done.,While the platform it there to run great parks & communities the execution is contridictory. There is a lot of turn-over at the corporate office & mid-level leadership.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Run Down Tired Old Properties Should Be The Warning!,1.0,"Jun 11, 2024","All in all a fairly robust offering of personal paid days off including vacation, personal days, holidays, mental health days, community volunteer day of your choice, etc. Scheduling to use those paid days off was not a problem in any way in the off season. And the Team with which I had the pleasure to work with at the local level and at my property were wonderful. Those of us working hand in hand on a daily basis to help each other (even other property mgrs in my local group) were supportive and fun, and among us felt like a working family environment. And hearing from others, I think this culture is true at the property level as long as no corporate interference occurs at many of the locations' in the company.","Terrible senior management that introduces big system-wide changes irresponsibly and quickly without providing any end goal statements or reasoning or scope of the intended processes so that the entire company is lost. And those big projects with lots of changes were often done without setting up the proper training initiatives or resources to learn the material prior to being live with that program or systems. Then those senior directors start blaming property managers or are used as scapegoats when various teams throughout the company are confused and uncertain how to proceed and mistakes and errors become overwhelmingly apparent. And then these same senior directors turn around and use threats of discipline and termination or simply lay off staff when it's their poor planning and execution of these big projects inevitably begin failing. Turning to the H/R team for any assistance when it's apparent you have been targeted for speaking up about any of this was essentially like jumping out of the frying pan and right into the fire. Metaphorically, a huge bulls eye target was placed on my back where trumped-up allegations were raised against me. Allegations that, when common sense is applied, were all nonsense and may have more to do with me as an individual person than my job performance. Undoubtedly, the worst company I have ever worked for, as what they say they stand for or believe in is far from how they act or what they do. The shabby state of the property where I worked should have been my warning sign while interviewing for this job, as it was indicative of the shabby way in which I was treated as an employee.","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Corporate Office Sucks,3.0,"Aug 14, 2024",Great people to work with at my property,The corporate office has horrible communication and often makes negative decisions that only impact the employees at the property.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great Company to work for,5.0,"Jul 25, 2024",The company has a great culture. Many people strive to bring great value to customers. There are few workplace silos.,Managing so many different properties come with wide variety of risks.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Great Company,4.0,"Aug 19, 2024",Stable company with consistent growth,"1 day work from home, 4 days in the office","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Assist with expanding our portfolio,5.0,"Jul 25, 2024",- Great culture - Work life balance - Teamwork/Collaboration - Many growth opportunities - Good compensation,There are no cons to working at ELS,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Marketing Review,2.0,"Apr 23, 2024",Flexibility with hybrid days/work from home days. The people are great to work with and the team dynamics are good.,The company does not value employees enough to pay them a livable wage. Under paid and over worked. Preaches “company culture” but rarely does anything to change it.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Pretty solid,4.0,"Jul 25, 2024","Good management, friendly peers. Company makes you feel valued.",Not the most captivating work. Pay is a bit low but not too bad.,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
Just a number,1.0,"Jul 29, 2024","They have plenty of paid time off, and good benifits.","You will only be a number to them. Poor training, upper management is out of touch and can be hard to get guidance from. All about the money, and I don't mean your paycheck. Little to no support from corporate office.","Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
worst management,1.0,"Oct 2, 2024",There are no pros with this company,total disregard for employees and residents,"Equity LifeStyle Properties, Inc.",ELS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-LifeStyle-Properties-Reviews-E2281.htm
