title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great place to work!,5.0,"Oct 30, 2025","-Supportive management -Interesting career path opportunities -Intelligent, hard-working, and fun employees -Challenging work",We are in a period of growth so there is a lot of change and lots of work related to the change.,"Equinix, Inc.",EQIX,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
Toxic Male Politics,1.0,"Nov 7, 2025",Salary and equity used to be the biggest pro. This has changed last 3 years.,"High performing women beware. You are essentially entering a dysfunctional and archaic top-heavy male dominated leadership department that victimizes high performers to help justify their existence behind their excessive work travel, that effectively brings no Impact or CHANGE. Not even read-outs from their week long “workshops”. Frankly It feels like daycare for dads escaping their wives and children (that they openly complain about ad nauseam). “Leadership” is nowhere to be found. Professional development…no longer an annual GPS metric/conversation.They will use you and celebrate you and then cut your bonus in half and play mind games when it comes to pay. Truly the worst Legal department I’ve encountered in 20 years. HR is corrupt and hides behind the bullying and nonstop complaints. The last five years have been a downward spiral. Most women have complained and now shrug their shoulders and have become toxic just to survive. Not a happy, self respecting, innovative person to be found at this point,","Equinix, Inc.",EQIX,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
Great place to work if you have a time machine that takes you back 15 years ago,1.0,"Oct 11, 2025","Most of the people (minus V.P. level leadership on up). Stock price, Stock options, the industry","1.More layers of useless leadership than needed. the phrase ""I have no idea what that person does"" is uttered at least once a week 2. The leadership team is never held accountable for poor performance, We are never asked for feedback on them while our annual reviews are very detailed and truly affect our $$$ raises (if you want to call it that) each year. 3. The silos are made of metal and non movable. It takes more signatures and approvals than a mortgage application to get something day. ""better to leave i the say it is....."" is the motto, 4. The company values are just words with no meaning. 5. Narcissism is the #1 quality of the majority of the leaders of the company. Give thema stage and they'll do great, but speak with them 1 X 1 and its like talking to a statue. 5. ""why"" is a four letter word there. don't ask why we do something that way in the hopes of changing things. lay low and watch the show","Equinix, Inc.",EQIX,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
Game of Thrones,3.0,"Oct 20, 2025","Good work-life balance. Solid pay with significant RSU awards. There are pockets where you get to work with good, smart people.","We all had high hopes for Adaire. We all were rooting for her. Look, the culture before Adaire wasn’t perfect. There were a lot politics at play and there definitely was some cleaning up to do, but we still felt like we were working for a winning company that continued to deliver results and didn’t treat us like a number. In the last year, that has all changed. The strategy seems to be simple. Cut as many headcount as possible without impacting the revenue. We now are all a number and worry weekly that we could be on the chopping block next. The most vulnerable are SVP’s and above. They all have a target on their back since so many have been shown the door and replaced. When you have every executive in the company running scared, it just cascades down the ranks.","Equinix, Inc.",EQIX,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
Incompetent middle management let capable people go,2.0,"Nov 11, 2025","Large footprint, a big international company","Never-ending reorgs, layers of middle management—VPs, Senior Directors, and Directors—are busy managing up and securing their jobs. They have no idea about the teams that were brought together under them, so solid performers have been laid off over the past three years.","Equinix, Inc.",EQIX,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
Inherent bias & culture that rewards popularity over performance.,2.0,"Jun 6, 2025","-Truly international exposure. I worked daily with colleagues across the Americas, EMEA, and APAC, which broadened my perspective and network. -Strong product portfolio. Supporting Equinix’s interconnection and colocation services lets you stand behind offerings that customers genuinely value. -Smart peers at all levels. When the company hires from top-tier firms, you meet talented people and learn modern practices—at least initially.","Nepotism and favoritism overshadow merit. Recognition often hinges more on how well you “fit in” socially (or how many drinks you can handle at the annual sales summit) than on the results you deliver. -Risk-averse leadership. Executives who’ve spent decades rising internally sometimes derail months of work because they get cold feet or feel threatened by fresh ideas. -Micromanagement as self-preservation. Rather than empowering high performers, some leaders over-control projects to signal their own importance. -Empty promises to experienced hires. New talent from FAANGs is courted with talk of big impact, only to see initiatives scrapped or redirected when real change becomes uncomfortable. -Lack of diversity and unconscious bias. The workforce and leadership are relatively homogeneous; decisions that disproportionately affect employees of color often go unexamined, and bias awareness is minimal.","Equinix, Inc.",EQIX,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
poorly executed change,1.0,"Oct 26, 2025","Long term employees who want the company success, market opportunity.","E-team leadership changes have crushed team collaboration, trust and psychological safety for those below ELT+ levels. People are constantly working in fear of layoffs and role changes. Also leaders hiring own people from previous gigs, even though poorly qualified and sycophants. The company's growth and transformation will slow down, and they are going to layoff hundreds to cut costs every year when their bad plans fail. Talented people are looking to move on","Equinix, Inc.",EQIX,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
"Less talk, more action",2.0,"Jul 21, 2025","If you can work your way into a leadership role and establish a decent knowledge base, you will be rewarded. RTO for 2 days isn’t bad. Time will tell if policy doesn’t eventually creep back up. The freedom to work remotely is a good selling point in attracting talent and keeping it. There is a renewed sense of energy under new leadership, although the feeling amongst the revenue-generating roles is that we still need to move faster and with greater clarity. Still, optimism is there.","There is little collaboration and too much kingdom-building. The layers of leaders tend to manage upwards, leaving front-line managers in the lurch with little to no direction. More restrictions are being put around performance management despite the lack of direction, and new training and rules are handed down weekly to tighten the ropes. It’s highly demotivating.","Equinix, Inc.",EQIX,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
What can happen in 12 months......,1.0,"Oct 3, 2025",To be honest at the point it's hard to tell. It used to be the people but not anymore.,"The culture is down the drain. The few leaders left that have survived the leadership cleanup are now pretending like they were not a part of the past leadership. It's sad to see what can go wrong with a great company after a change in leadership. The thing they know to do best now is layoffs without any proper planning. HR is the worst, don't even get me started. Sad thing is this current leadership will sink the company, and by the time the Board wakes up to its responsibility it might be too late.","Equinix, Inc.",EQIX,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
Uncertain,3.0,"Aug 24, 2025","Fair pay, great medical benefits, amazing coworkers","Constant reminder uncertainty with layoffs, role clarity is ambiguous, inability to trust management’s transparency as it differs with each employee and words do not frequently align with actions and/or intentions. These result in a dedicated, above par, loyal employee’s confidence level, creating much uncertainty and security of their role; although ‘told’ that they are performing exceptionally well and have ‘nothing’ to worry about!","Equinix, Inc.",EQIX,Data Center,2025-11-20,https://www.glassdoor.com/Reviews/Equinix-Reviews-E11296.htm
