title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Fantastic place to work!,5.0,"Oct 29, 2025","-Healthy, collaborative environment -Work-life balance is better than most -Fun people to work with -Growth opportunities come often if you want to move up","Pay is less than stellar, but the work is rewarding and they allow a lot of opportunities to grow.",Equity Residential,EQR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-Residential-Reviews-E3635.htm
From Candidate to Team Member — A Seamless Journey,5.0,"Sep 24, 2025","From the application to the interview stage, Equity Residential moves impressively fast. As a candidate, I truly appreciated the efficiency — no endless interview rounds or long periods of silence. The background check was quick and straightforward, and the entire hiring process felt streamlined and respectful of my time. Equity Residential also offers a very generous benefits package, which shows they genuinely prioritize employee wellbeing. From day one, I felt welcomed, supported, and set up for success. My onboarding experience has been nothing short of exceptional.","The only slight hiccup during my onboarding was with the preboarding team’s communication. I had a few questions but didn’t receive a response when reaching out from my external email, which made it a bit challenging to get the information I needed. That said, I was able to quickly resolve everything by calling directly. It’s a very minor issue in what was otherwise an exceptionally smooth and positive onboarding experience.",Equity Residential,EQR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-Residential-Reviews-E3635.htm
Great place to start and complete a career,5.0,"Oct 9, 2025",Benefits are great Training is always available at your fingertips Great teams You make a difference to many families giving them a place to call home,We don't have properties in all areas Give me another 5 years and see what I can come up with.,Equity Residential,EQR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-Residential-Reviews-E3635.htm
Positive Experience,4.0,"Oct 10, 2025",Overall good culture and benefits. There is a clear progression track for onsite sales employees.,Experience will be heavily dependent on who your managers are. Onsite office hours are 9hrs/day (8 paid hours),Equity Residential,EQR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-Residential-Reviews-E3635.htm
Good place to learn,5.0,"Oct 12, 2025",All of the staff are very kind,I don't have any cons,Equity Residential,EQR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-Residential-Reviews-E3635.htm
Great company,4.0,"Oct 6, 2025","Great company, decent pay and very good perks",Had to leave after 3 years because I was moving,Equity Residential,EQR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-Residential-Reviews-E3635.htm
Very Early Insights,5.0,"Jul 25, 2025",- Very responsive hiring staff / Fair and reasonable interview process - Culture and friendly coworkers - Well compensated compared to the market - Lax dress code,"- Confusing/Conflicting policies at times, e.g. I have heard 3-4 different remote work policies",Equity Residential,EQR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-Residential-Reviews-E3635.htm
Great Company,4.0,"Sep 24, 2025",Great teams at the onsite properties.,Pay is not the best. Working the weekend.,Equity Residential,EQR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-Residential-Reviews-E3635.htm
"Career Advancement, Leadership Development",5.0,"May 1, 2025","Equity provides the training, the coaching and opportunity to grow your career and develop as a leader. I started with Equity as a Leasing","ultant and took advantage of every opportunity to learn from my experienced managers. There’s just this thing about Equity people… they are always sharing the knowledge and pouring into others to see them achieve their goals and dreams. That said, I have been able to advance successfully into the Regional Manager role and give back to others what I received. Another huge positive for me is Equity’s continuous commitment to creating a work environment where ALL are welcome, belong and are given opportunities to succeed and lead.",Equity Residential,EQR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-Residential-Reviews-E3635.htm
Do not work here,1.0,"Oct 2, 2025","Low rent discount, free parking (unless you're a resident)","No bonus structure, micromanager culture, clueless leaders",Equity Residential,EQR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Equity-Residential-Reviews-E3635.htm
