title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Place To Work,5.0,"Nov 11, 2025",Great environment. Interesting projects. I look forward to coming to work.,None that I can think of.,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Smoke and Mirrors... be careful,1.0,"Oct 28, 2025",There weren't too many things I liked about the organization other than meeting some cool people. The bright minds tended to be younger and most often would leave eventually. The salary was competitive... but benefits were pretty meh.,"Probably the most bizarre place I've ever worked. The constant stress of project deadlines that were deemed urgent, micro-managers and directors, executives being extremely toxic and overall just a weird sense of everyone being on edge at all times. They say they care about employee well being, but in the end most of the people that stay for more than a few years are just 'yes' people who play the corporate game. Most of the bright young minds leave after a few years (rightfully so) I often had to bite my tongue in response to how my manager and director would speak to me when something wasn't working as expected. The WFH is a joke.. they say 6 days a month but that comes with caveats... no 2 days in a row, has to have manager approval, can't come before a holiday or after a weekend... it wasn't flexible at all. Additionally, every team is extremely under-staffed... the amount of project requests that would come in.. the team I worked within never had enough time to complete anything with real quality, as it was a mad rush to get it out the door. The firm was extremely wary of hiring more people, yet executive level salaries were insane... just food for thought. Unless you are unemployed or have no other job prospects, I'd carefully consider other opportunities. Obviously everyone's experience is different.. but in a nutshell this was the worst place I ever worked at (my perspective)",Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Good Entry Level Job,2.0,"Mar 12, 2025","Benefits are (were) the best I've experienced in the industry. Plus it's cool to say you work for the company that owns the ""world's most famous building"".","So, I've had the privilege of working at a worse company and a company on par with (or a little better than) ESRT. If you're right out of college, looking for an entry level property management job to spend a couple of years at to get your resume going (because you will not get promoted, not matter how good you are. Rewarding good work or hiring from within is not their jam) you could do worse. The benefits are really good, actually. Although, they changed their bonus structure in order to deny or lower bonuses arbitrarily and they switched their insurance to a lower quality one right as I left, so I can't speak to how the benefits are now. Bottom line--you have to remember that this is a corporation in AMERICA, of all places. They don't care about you beyond if you're losing or making them money, no matter how many free bagel days or lunches they give you. At the end of the day, they will sell your building to make a buck and kick you to the curb with a backdated termination letter (so that they don't have to pay for your insurance, of course), a callous denial of severance (even though they gave all other buildings severance before you), and not even a thank you or goodbye meal (upper management didn't even email the people whose lives they were upending despite knowing them for 10+ years), whether you've worked there for 2 years or 20. In fact, you're probably treated better if you've only been there for 2 years because the CEO or whatever his nepo baby title is has some kind of obsession with Gen Z and doesn't respect lifers. And everyone is TERRIFIED of him so no one will fight on your behalf if they risk going against him. So, yeah. It's a fine place to work if you don't expect to get a lot out of it. You get good experience and meet good people but you'll most likely get stuck in your position with no hope of upward mobility.",Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Great Place to work,4.0,"Apr 9, 2025",Has been a great experience since the day I started. Team was always very welcoming and willing to help where needed.,Nothing at this time to write on.,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Toxic Manager,1.0,"Feb 18, 2025",Good Company benefits and salary,bad management and no room for learning,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Avoid,1.0,"Feb 15, 2025",You will never be fired.,Idiots and sexist idiots. Kickbacks.,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Great Culture,5.0,"Dec 9, 2024",progressive culture that is ahead of the curve in the real estate industry,competing priorities are at times difficult to manage,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Great place to work,5.0,"Nov 13, 2024",Great place to work at,Sometimes there's alot of projects to work on,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Been a while since I’ve liked where I’ve worked,5.0,"Aug 20, 2024",Team is incredible to work with and they all work incredibly hard. Happy to wake up and come in daily.,Very busy. Delays in process seem fairly common. They are working towards fixing from what I’ve seen,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Toxic,2.0,"Oct 9, 2024",WFH once a week is a plus here.,"Toxic, no good managers lazy employees.",Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Love all aspects of working here,5.0,"Sep 1, 2024","Colleagues, meaningful work, engaging/positive culture",Sometimes it can be fast paced,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Don't Work Here,1.0,"Jun 20, 2024",A lot of great people. Progressive in a few areas.,A bad experience. Many unhappy employees both past and present. Staff sees how some are treated and know it could be them some day. They really don't care about you and will use you until they are done with you. Don't be fooled by their facade.,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Good company culture,5.0,"Mar 21, 2024","Competitive salary
Good company culture","Very “corporate” structure system. 
Very busy",Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Not Great,2.0,"Dec 7, 2023",Good benefits and salary/compensation. Hybrid work schedule.,Very strict. Micromanaged. Felt like there was a lack of trust between employees and managers. Some employees were hourly when they should be salary.,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
"Great Company, Bad Management",3.0,"Sep 29, 2023",Great work benefits. Met a lot of excellent people here.,IT Management was terrible. Constantly heard upper management screaming on the phone. Unreasonable deadlines for employees. Consistently expect you to work unpaid overtime or else face consequences. Saw multiple people quit while I was here.,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Good,5.0,"Dec 21, 2023",Good good good good good,Hours all over the place,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
A good place to work,4.0,"Sep 19, 2023","great culture, progressive environment, good pay, good growth opportunity","work life balance, hours, flexibility",Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Smoke and Mirrors,2.0,"Sep 3, 2023",Salary was better than other companies,Not a diverse workplace or psychologically safe workplace.,Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Employee Review,1.0,"May 4, 2023",Landmark building. Great for a resume.,"No boundaries, no work/life balance, time is not respected, hard work is not appreciated, lots of blaming/finger pointing, zero support. Some teams have a big turnover for these reasons. You may have events and work 14+ days in a row. They do not give any additional time off in return. They offer a work from home policy, but working from home is frowned upon and not allowed on all teams.",Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
"Great Team, Great Leadership, Great Company",5.0,"Jul 9, 2019","The top level executives here listen to the employees and their concerns. Since joining the company about 4 years ago, I have watched our culture continuously improve. We are getting better and better and headed for great things. The core team here has some of the best individuals I have met over the course of my entire career- kind, loyal, dedicated and hard-working. We genuinely care about one another and help each other succeed.","The environment can be fast- paced and stressful but this is not particular to the company- this is the real estate industry in general. We have many policies and protocols in place which can sometimes bog us down but overtime, I have watched us streamline our processes and consistently look for ways to improve. This is merely part of being a relatively new company establishing its best practices. The pro here is that management constantly seeks feedback and we all have a voice in shaping these policies.",Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Onward and Upward and Right Off The Top of the Rock,1.0,"Aug 5, 2015",Beautiful Historical Building Awesome part of Manhattan to spend the pre and post work hours Close numerous happy hours that help forget the mickey mouse operation that is ESRT (If they even let you out on time),"Working here is like riding a bicycle. Except the bicycle is on fire, and you're on fire, and you're in hell. If you should be so fortunate to prove your worth on the job, prepare for the higher ups to serve you a buffet of inefficiency, incompetence, and ineffective management skills. If you can handle that, management may further ask you to unhinge your jaw and swallow a heaping plateful of responsibilities that you will get 0 credit for (but 100% of the blame if failed) and an all day special of empty promises. If I knew what I was getting myself into, I would've just thrown my body into traffic knowing that NYPD and the DoT would be able to take care of my corpse better than ESRT with my career.",Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
Not worth the space on my resume.,1.0,"Feb 5, 2016","Basically, it sounds great to colleagues and ex-coworkers when you mention you work at the Empire State Building. There are tons of great retail stores and places to eat in the area.","They have unrealistic expectations of the work to be performed. Management sets double standards for certain employees. All the executives do what they want when they want and you may get two different conflicting orders from two different executives. Even as a salary based paid employee, we are required to be tracked using a fingerprint scanner. Some departments are no help and you are blamed for work not completing on time or incorrectly done. The benefits are the worst I have ever had the ""pleasure"" of using. Asking for time off, you may be talked down to as if you are a 2 year old child be scolded for not going to the potty. When you mention this to someone in HR that you thought would help, nothing happens. Management and HR seems to ignore the problem because to them the issue is always with the lower level employees. No wonder a lot of people come and go through my department.",Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
The Worst of the Worst,1.0,"May 30, 2016",It's almost over and I am finally moving on after 7 long years...,"Everything! Senior Management is horrible. They treat employees like pawns in a chess game, play favorites, if you are not a part of the inner circle, good luck getting a fair and decent pay increase or bonus. Stock options are not give to all employees but rather only those deemed by senior management to be ""worth the investment"". When employees ask “who qualifies for stock options?”, no one can give a straight answer. The HR department is the most unprofessional I have experienced in my 10+ career in real-estate industry. Incompetent, incapable, and completely useless. The HR department experienced nearly 100% turnover since 2015. Everyone with talent in that department left. Pay increases, bonuses and payroll is horrendous and run by an incompetent manager. There is a huge lack of union and employee knowledge within the HR department. As for the Operations and Finance Departments, they will work you 90+ hours a week and it’s still never good enough. Increases and bonuses are laughable in comparison to the hours worked. This has to be the worst REIT to work for. If I could rate them negative stars I would.",Empire State Realty Trust,ESRT,Office,2025-11-21,https://www.glassdoor.com/Reviews/Empire-State-Realty-Trust-Reviews-E980580.htm
