title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Good Company,5.0,"Oct 10, 2025",Good company & a good team.,No complaints at this time.,"Essex Property Trust, Inc.",ESS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Essex-Property-Trust-Reviews-E3630.htm
Short-Term Thinking at the Top,1.0,"Nov 16, 2025",Kind people working in Property Operations,"My experience at this organization was defined by instability and constant disruption. Strategic direction shifted so frequently that it was difficult to understand what the company truly wanted to achieve. Major structural decisions were rolled out with confidence and then reversed not long after, leaving employees feeling like they were constantly rebuilding their foundation. Department changes, role reshuffling, and reorganizations happened so often that they began to feel like the norm rather than a response to actual business needs. These shifts rarely seemed to solve the challenges employees were facing, and instead added new layers of uncertainty and frustration. A strong push for positivity made it hard to have honest conversations about the impact of all this change. When concerns were raised, the response often emphasized personal resilience rather than addressing the underlying issues causing employee burnout and confusion. Over time, this approach felt more dismissive than supportive. The company talked a lot about growth, but the focus seemed to be on expanding the business rather than building the internal capacity required to support that expansion. In my experience, this led to heavier workloads, diminished work/life balance, and a noticeable strain on the quality of service employees were able to provide. Culturally, there was a clear disconnect between different parts of the organization. Corporate and Property Operations teams didn’t always feel aligned, and feedback from senior leaders often centered more on optics or messaging than on meaningful improvements to work quality. This created an environment that felt polished on the surface but lacked the genuine support employees needed day-to-day to grow and develop. Leadership frequently spoke about continuous improvement, but the endless cycle of restructuring and shifting priorities made it difficult to see any sustained progress. Instead, it created persistent change fatigue that made it hard to stay motivated or feel invested in the direction of the company. Overall, my time there left me feeling worn down and unsupported. The organization’s emphasis on rapid movement and financial outcomes seemed to outweigh the need for clarity, stability, and a healthy culture. Ultimately, the environment became too chaotic and discouraging for me to stay.","Essex Property Trust, Inc.",ESS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Essex-Property-Trust-Reviews-E3630.htm
Bait and Switch,1.0,"Oct 4, 2025",Cultivating a company in line with Essex’s true company culture and motivations.,"Essex Property Trust presents itself as a place of values and opportunity, but once inside, you quickly realize it is only a carefully crafted illusion. What feels like a promise of growth and community turns into a culture built on fear, silence, and betrayal. Leaders see mistreatment and refuse to act. HR and executives enable toxic behaviors instead of protecting employees. Disciplinary actions are handed out to silence voices rather than to fix real problems. Speaking up comes at the cost of your career, so most people learn to stay quiet and walk on eggshells every day. The focus is not on people but on numbers. Your loyalty, your effort, even years of service mean nothing if it does not serve the bottom line. Watching long-time, dedicated employees walk away is heartbreaking, yet leadership remains unmoved. This is not a company that values its people. It is a place where you are overworked, undervalued, and ultimately sacrificed for appearances. JUST TAKE TIME TO READ ALL THE PAST EMPLOYEE GLASSDOOR REVIEWS. If trust, respect, and culture matter to you, do not make the mistake of joining Essex.","Essex Property Trust, Inc.",ESS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Essex-Property-Trust-Reviews-E3630.htm
Solid company with great benefits,4.0,"Nov 13, 2025",401k match Fair pay for management positions Housing discounts Medical insurance Promotion possibilities Leadership programs,Non-management wages not great Frequent changes in SOP (in response to post-covid issues),"Essex Property Trust, Inc.",ESS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Essex-Property-Trust-Reviews-E3630.htm
Beyond draining,2.0,"Nov 6, 2025",fun coworkers and majority amazing managers (not sales),"you’re drained & sitting in front of a computer for 8+ hours, expected to get yelled at w no issue and no form of resolution as we’re not on site to truly assist","Essex Property Trust, Inc.",ESS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Essex-Property-Trust-Reviews-E3630.htm
RUN! ESSEX HATES THIER EMPLOYEES,1.0,"Jun 4, 2025","I would say the benefits, but as I shop other companies in the industry they offer the same IF NOT BETTER!","Let me start off by saying only work for this company if you hate yourself, You love to be over worked, underappreciated and work in a constant state of fear that you won’t have a job because upper management has no idea what they are doing but are so quick to write up people and fire them. You are more of a call center agent than a “leasing agent”. They evaluate you based on inaccurate reports and numbers. They do not care about the customer experience. You have 3 other departments that handle and/or have an impact on your applicants and when things go wrong within those departments and a lease cancel only the leasing agent is held accountable. When brought to management their response is “get more applications to make up for the canceled applicants” Every employee in every department is OVER WORKED AND STRESSED! Essex has “Core values” but really the only thing they stand by is running good employees into the ground and retaliating on those who speak up and call out the favoritism that happens ON ALL LEVELS! Essex is known for letting the higher ups hirer friends from former companies WHO HAVE NO IDEA WHAT THIS INDUSTRY IS AND HOW IT WORKS. UPPER MANAGEMENT DOESN’T HAVE THE SLIGHTEST IDEA WHAT THEY ARE DOING.","Essex Property Trust, Inc.",ESS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Essex-Property-Trust-Reviews-E3630.htm
Horrible Management,1.0,"Jun 30, 2025",Benefits package included in role,"Absolutely no support or empathy from managers. Other employees had to train new hires without extra pay. Managers took PTO whenever they wanted, came in late, left early, but had a problem with anyone else taking a day off, even with emergencies, they have zero empathy. Rules of the company are not explained but expected to be followed and you will be publicly shamed for it as a “reminder” even after one private talk, they’ll bring it up again. Absolutely zero training due to managers’ lack of knowledge themselves — even if you ask them a question, they’ll tell you to ask someone else but have performative proactive “teamwork” in front of their own higher ups. Managers play favorites and create a major toxic environment with the way they gossip nonstop about everyone instead of working, extremely unprofessional. HIGHLY discourage anyone from applying here, they will literally look for issues in you without doing any work themselves. Manager intentionally excludes others and doesn’t maintain professionalism with favorites.","Essex Property Trust, Inc.",ESS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Essex-Property-Trust-Reviews-E3630.htm
"Middle of the pack, not amazing, but not bad either. Also please don't remove my review this time",3.0,"Oct 16, 2025","- Good place to begin career
- Flexible work location","- Turnover seems high
- Industry is not exactly cutting edge","Essex Property Trust, Inc.",ESS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Essex-Property-Trust-Reviews-E3630.htm
Toxic toxic toxic,1.0,"Jul 4, 2025",Time off. Sick time. Housing discount.,"Where do I even begin? During my time there, I witnessed and experienced so much that I ultimately felt I had no choice but to leave. The environment was extremely toxic—riddled with favoritism and internal politics. Leadership was controlling, and it often felt like decisions were made unilaterally, with no room for collaboration or dissent. If you weren’t in the inner circle, your chances for advancement were slim to none. There were serious instances of unprofessional behavior that went completely unaddressed. One employee, visibly intoxicated at a public event, made an inappropriate comment to a senior team member—and faced no consequences. That same individual continues to receive benefits, including designated housing, despite not holding a position that qualifies for it. Additionally, there were troubling claims about a family member of leadership being fast-tracked for low-income housing. If the City of Santa Clara were made aware, it would raise serious concerns. In the end, I chose to walk away—even from a bonus—because staying simply wasn’t worth the toll it was taking. That should speak volumes.","Essex Property Trust, Inc.",ESS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Essex-Property-Trust-Reviews-E3630.htm
Company no longer cares about their employees,1.0,"Jul 24, 2025",Not many but there's healthcare and paycheck comes on time,"•Laying off lots of people but they keep buying new buildings •Overworking employees and piling on more work without increase pay •Work is added that is outside your position/role and they do not care and will not compensate •Management sucks •Petty incompetent managers that lack leadership skills or even basic human skills •Higher ups and managers allow workplace bullying •You cannot get a hold of HR through an email or phone call. You have to submit a ""service ticket"" and wait days or longer for a response. They avoid answering questions. The response will be a generic cold unhelpful response. If you ask them to elaborate or paraphrase in simpler words they will not. •Company culture rapidly declined after new CEO took over Angela Kleiman •Cheap, less raises, bonuses paid late, less company events •Terrible business practices for both employees and external parties •The list is endless","Essex Property Trust, Inc.",ESS,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Essex-Property-Trust-Reviews-E3630.htm
