title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Celebrating 10 fantastic Years of Service!,5.0,"Nov 12, 2025","I came to work for Extra Space because of the phenomenal culture and strong business platform. Even after 10 years, the culture remains strong, and our growth strategy healthy. The leadership genuinely cares about the people both employees and customers. Our #1 goal is to ""Help people to a better tomorrow"". We provide our tenants the support they need to help them through their transition to storage.",No cons worth mentioning at this time.,"Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
One of the easiest jobs you could have,4.0,"Nov 11, 2025","One of the easiest, if not, stressless jobs you can probably have as an Assistant Store Manager anywhere. No hard sales, no cold calls and no pressure that keeps you awake at night. If you can talk to people without an attitude and aren't completely lazy, you have a shot at a job that makes a bit more than minimum wage and keeps you away from the high stress of retail stores. Hours are basic with Sundays plus one (non-busy) weekday off every week.","The National Sales Center just straight up does not tell anyone who rents about how pricing works, rental increases and advance payments work. 90% of the time, we are relaying information that the NSC should have provided the day of rental over the phone but the customers are always baffled by the lack of information and training the NSC was given when presented at the store. NSC needs to know how thin the line is between lying and just not telling the customer information at the sake of a sale.","Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Extra Space is a great place to work,4.0,"Nov 13, 2025",IT department has an amazing culture. They put high evidence on work life balance. They try to be competitive in compensation. When hiring managers and engineers they really try to make sure that the candidates will be a good fit culturally and that they share the company values. Most of the managers I have had take a pro-active interest in my career path and goals,Sometimes promotions haven't been given on equal criteria. Some managers have been very liberal in giving promotions while others have followed a very strict set of criteria. (This is getting much better though),"Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Review after Promotion,5.0,"Oct 30, 2025","I truly enjoy this job. Yes, it can be challenging, but I do enjoy a good challenge. I believe the company as a whole is a great company. Yes, you have to have hard conversations with customers, but there is training to help you have those conversations. I think it is wonderful that the company looks within for top tier talent to promote. You make your own way with this company. If you want to move up the ladder, it is up to you to drive that development.","There are not many I can think of. Oh, working Saturdays.","Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
"Expectations High, Pay low",3.0,"Nov 12, 2025",- High pay for industry (for what it’s worth) - Not micro-managed - Trust in spur of the moment judgements,"- A lot of favoritism - Expected to do everything - Short staffed, always pulling help away or people quitting - No logical reasoning to reality of situations - Don’t appreciate you long - Forgetful of previous conversations and efforts and make rational decisions then deny prior knowledge - Very greedy with rent increases","Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Not a bad business,4.0,"Oct 31, 2025","you work alone most of the time, the live on site apartment, building customer relationships, the district meetings are amazing, the benefits are pretty good","Sometimes you hardly get coverage, your looked at as just a number, it’s actually really hard to get the correct help sometimes, pay is not enough for what they expect you to do and deal with, they will fire you without proof,","Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
One Year Down!,4.0,"Nov 11, 2025",The company is very focused on growth and that means more opportunities for people to move up and over. The insurance benefits are 4 star and the hours couldn't be better. Especially if you're a night owl. The management will work with you for PTO days and the support from co-workers is more than I could ask for.,"The pay rate could be a bit better and working your way up the ladder could take some time. Now that we are utilizing more self service feature to the facilities, I see hiring slowing down.","Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Field Operations Review,4.0,"Oct 26, 2025","Benefits, premiums not ideal but fair. Salary is better than a lot of competitors Great for employees who want minimal supervision, take ownership, and challenge themselves. Majority of time off request are granted if you have PTO","While there are numerous training resources, its driven to be self motivated. Use your senior course team to interact and uplift team members in all areas not only financial results. Very narrow room for advancement in current structure","Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Pleasant Work Experience,5.0,"Oct 7, 2025",My DM has BY FAR been the best manager I had out of all of the jobs I've had. It is refreshing to see a manager that cares for the employee first and will genuinely have our backs but is not afraid to correct us when we need.,"Just the normal confrontation you get with customers when they get a rate increase, but that is apart of our duty and it has taught me to stand up for myself and articulate in an empathetic way to the customer why they got an increase.","Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Benefits are decent,3.0,"Nov 4, 2025","Usually get left alone after hours. Property is usually easy to maintain. Some tenants are cool Offers decent insurance Once you've spent 10 years here, you roll up PTO pretty quick but they will cap you",New people get hired on at what you make after 10 years. Management cackled when I asked for a raise. Be prepared to be the verbal punching bag after your tenants recieved $100 rate increases. You will clean up more human fecal matter than you ever thought feasible.,"Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
My input to working for Extra Space,5.0,"Nov 3, 2025","If you love to work with people and satisfy to all their needs this is the place. Great pay, Excellent Team, Work hard and earn your bonuses. I have been here 5 years and love my job.","Trying to get delinquent tenants to pay. With hard times we are in, you have to be sympathetic yet provide excellent customer service when trying to collect debt. No one wants their personal items auctioned off.","Extra Space Storage, Inc.",EXR,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
