title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great place to work,5.0,"Aug 18, 2025",Management and staff are very professional and helpful. Management is mindful staff needs,Nothing I can this of at this time,Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
Good people,4.0,"Mar 2, 2025",Enjoyed working with talented people.,Assets need more capital reinvestment. High turnover.,Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
overall good company to work for,5.0,"Nov 8, 2024",Flexible schedule and great supervisors.,Sometimes lack of communication between departments,Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
"great culture, welcoming people",4.0,"Jun 17, 2024","reasonable work life balance, opportunities to try different things",known for paying lower salaries than peers,Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
Failed to live up to “familial” expectation,3.0,"Jan 7, 2024","Great employees, interdepartmental support, training investment","Lack of recognition for performance (favor seniority), inefficient software suite, stale senior leadership, lack of job security",Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
Big Presence with Family Feel,5.0,"Aug 8, 2023","Federal's assets are something to behold and make you feel proud to support. Lead by an enthusiastic CEO, the culture of FRIT is a family feel, which leaves you excited to come to work each day and feel good about the work you're doing; that your work is making a difference. Raises and promotions are regularly celebrated across the company. It feels good to be recognized for the work you contribute.","At times the different departments can feel a little too isolated and communication can fall short, however, this is something that has been discussed and is always trying to be improved. It's never difficult to reach someone in another department to help workout an issue.",Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
Learn a lot-Work hard!,3.0,"Feb 27, 2024","Competitive salary, good benefits, nice people",Understaffed and difficult to meet deadlines,Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
FRIT,4.0,"Feb 13, 2024","Great work experience, nice team.",They do not onboard very well.,Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
Review,1.0,"Feb 19, 2024",This office was Family Oriented,The management in this office needs help.,Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
Federal has a great working environment!,3.0,"Aug 7, 2023",The people at Federal are amazing. I truly enjoy everyone that I work with. Benefits are really good. Corporate office is beautiful and in a great location.,"Not the most diverse executive team, though they are truly engaging and brilliant. High turnover in the past few years making it challenging.",Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
Good company,5.0,"Jun 1, 2023",Supportive coworkers and managers. Benefits Dress code Free goodies,Minimal contact with higher-ups if in a smaller position Less recognized compared to other workers.,Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
FRIT Review,4.0,"Apr 22, 2023",-people -well capitalized -variety of assets -high profile assets,-publicly traded -limited growth -departmentalized -simple business plans and corporate growth strategy,Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
Great Company,5.0,"Apr 28, 2023",Company values its employees. They create a chance to make a difference,None that I can think of,Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
"The Good, the Bad and the Ugly",3.0,"Nov 27, 2017","There is no better place to learn real estate. You will be working with dynamic real estate professionals who know and love what they do. Free gym onsite, free parking, kitchen with free coffee and sodas. Free breakfast weekly. Many parties and other activities with coworkers. Truly casual dress from the top down.","No telecommuting even though most support staff positions are perfect candidates. Unless you are upper management you will work in an 80's era cubicle. Consultants and auditors work crammed together in windowless conference rooms. So-so benefits and a three year vesting cliff for 401k matches. Antiquated technology and a host of manual, labor-intensive processes. High rate of turnover.",Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
Outstanding Leaders,4.0,"Apr 17, 2017","Federal hasn't gained its reputation for no reason. It is a company that challenges the status quo, makes sound decisions with the long-term vision always in mind and excellence can be seen in everything we do. I attribute all this to upper management; we are truly surrounded by industry superstars that you can learn a lot from. You just have to make it a point to do this. Also, the sense of pride in belonging to FRIT is a huge plus.","Although it is admirable that we are technically small in size for all we do, that has its downsides. In my opinion, systems and technology are in desperate need for improvement (investing in efficiency will pay off in the long run), middle management needs to be carefully chosen (ability to manage needs to be looked at vs. years of service) and we must invest in more personnel (most departments seem to be spread too thin which makes it difficult for talented employees to think outside the box, shine and grow)",Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
"Most people are great, Benefits are awesome, Still give bonuses in this economic climate",4.0,"Mar 5, 2015","I really liked the personalities of most of the people I worked with. The work load was doable and there was minimal supervision, and when questions arose, they were answered promptly. The benefits are second to none. I was impressed that employees still received bonuses and raises, given the economic climate.","When there are people underperforming, they are not reprimanded. At times, it seems like mediocrity is tolerated or sometimes encouraged. There was not any cross-department transitions, however much they emphasize it. While there are annual raises, the initial salary is low compared to similar positions at other companies.",Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
"An already excellent company, continuously striving to be better.",4.0,"Apr 12, 2017","What initially drew me to FRIT were its local properties, which change, grow and change again. It seemed that improvement was a priority, and after working here, I still believe that is so. This is a place people come and often stay. It is the least gossipy atmosphere I have ever worked in; friendly and real. FRIT mgmt. tries to listen, promote from within and to assist those who show interest in advancing.","Probably the biggest ""con"" is also a big ""pro"" - longevity. Some people who've been here for years are eager and willing to change as needed, others forget to listen to those who have outside experience. Newer employees may be leery of consequences of rocking the boat.",Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
"Great introduction to real estate, but no one follows rules",2.0,"Sep 29, 2016","Great introduction, amazing benefits, good co workers","They use antiquated software systems, poor communication all the way around, high turnover (mostly people leaving), meh salary, everything always seemed like an uphill battle, no accountability whatsoever, long hours during monthly and quarter end, split company between two buildings and no one seems to know how to adjust, poor training, seems like guidance is frowned upon. Left on good terms only to find out that my manager has trashed me ever since.",Federal Realty Investment Trust,FRT,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Federal-Realty-Investment-Trust-Reviews-E248.htm
