title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great People,5.0,"Aug 22, 2022","Friendly coworkers
laid back but professional",I don't have anything but positive things to say.,"First Industrial Realty Trust, Inc.",FR,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/First-Industrial-Realty-Reviews-E2683.htm
Investment Analyst,4.0,"Oct 18, 2024",Good team. Hard to move up in Chicago office.,Need to relocate to other regions to move up in company,"First Industrial Realty Trust, Inc.",FR,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/First-Industrial-Realty-Reviews-E2683.htm
Don't work here,2.0,"Feb 12, 2016","The work life balance is good here for most departments. Once you get over the hump of the learning curve, leaving at 5pm will be standard. Summer hours are fun, vacation days are reasonable, and holiday time is average. FR has two company parties and people definitely take advantage of those and they are usually pretty fun. Location of the office is conducive for people commuting from the suburbs.","The cons definitely outweigh the pros. The company as a whole is resistant to change and is very much set in their ways. They always ask for new ideas and suggestions, but always shoot them down because “that’s not how we have always done it”. Inefficiencies are abundant as are redundancies. The procedures set in place are ancient and very paper/manual heavy. They need to move forward from the 80s into the 2000’s. There is not a single female in upper management and the company is a pure boys club. Woman need not apply because their skills will not be acknowledged, and even if they are, woman will never get invited to the boys golf outings and cigar room chats and career progression will be zero. Sexist comments are heard in conversation frequently. Basically you need to be a bro to move up in this company. Additionally, upper level positions are held by people who have been with the firm 15+ years and as such, there is zero movement for anyone above a senior/manager position. I’ve seen entire departments (below manager level) turn over completely in less than a year and a half. The lack of movement in upper positions, has led the firm to be very stagnant and to have a culture that is accepting the status quo. Outside of the box thinkers and people who aspire to do more should refrain from applying. Morale is low in the office as a whole, and I think management is totally unaware of this. The office itself is very drab. During their downsizing, FR leased their nice floors and kept the ugly one for themselves. Views are good, but the office looks like it’s from the 80s.","First Industrial Realty Trust, Inc.",FR,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/First-Industrial-Realty-Reviews-E2683.htm
Some wonderful people to work with.,3.0,"Jun 2, 2014","My co-workers are great, we have a lot of fun while getting the work done. We are willing to help each other when needed. The company values are good.","The work/life balance is difficult to maintain, the company is not very flexible for ones personal/family time. The time-off policies are strict and they do not offer flex-time, which would be a boon if they did.","First Industrial Realty Trust, Inc.",FR,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/First-Industrial-Realty-Reviews-E2683.htm
"Good people, entrepreneurial environment, very uncertain future.",3.0,"Apr 23, 2009",There honestly aren't many right now. They are on very shaky financial ground and need to monetize a significant amount of assets to meet $125MM debt maturity in July 2009 and in a very sketchy sales market.,Ability to cover operating costs is very dependent on capital markets which are currently very unfavorable.,"First Industrial Realty Trust, Inc.",FR,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/First-Industrial-Realty-Reviews-E2683.htm
too much politics and trust issues,1.0,"May 26, 2015","Good platform, and some very loyal, hard working employees. Depending on your region, some great upper management.","Lack autonomy in regions, upper management is paranoid, unrealistic expectations if your boss doesn't like you, otherwise, you don't have to do much if they're not threatened and you suck up, unrealistic expectations in both disposition and acquisition. Lost a lot of talent over the last 10 years.","First Industrial Realty Trust, Inc.",FR,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/First-Industrial-Realty-Reviews-E2683.htm
It was poorly run when times were good... now a sinking ship.,4.0,"Aug 18, 2010","It was a great place to work in the boom, as the talent was great.... no one is left","Senior level management lacked innovation, and the way of doing things was ancient.","First Industrial Realty Trust, Inc.",FR,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/First-Industrial-Realty-Reviews-E2683.htm
"Lack of diversity, no room for advancement and very poor upper management",1.0,"Oct 22, 2014",There are really no pros to working for this company,"Salaries are not competitive, benefits are mediocre, upper management talks a good game, but does not follow through and there is absolutely no diversity and management likes it that way","First Industrial Realty Trust, Inc.",FR,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/First-Industrial-Realty-Reviews-E2683.htm
Quality company with great benefits.,5.0,"Sep 15, 2019",I’ve genuinely enjoyed my time at FR. They have gone out of their way to accommodate my requests and have been very responsive to my needs. Get your work done and they will take care of you!,No advice at this time.,"First Industrial Realty Trust, Inc.",FR,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/First-Industrial-Realty-Reviews-E2683.htm
"Could have been a great place to work, but it was hit hard by the economy, don't think it's coming back",3.0,"Feb 10, 2011","was a young culture, benefits were good when times were good",layoffs were a constant fear workload increased without pay increase or even title promotions,"First Industrial Realty Trust, Inc.",FR,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/First-Industrial-Realty-Reviews-E2683.htm
