title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Meaningful Work That Makes a Difference,5.0,"Mar 27, 2025","Working at Howard Hughes is rewarding because the company is deeply committed to making a positive impact in the communities it develops. There’s a strong emphasis on thoughtful, sustainable growth and giving back through philanthropic efforts, which makes the work feel purposeful. It’s inspiring to be part of projects that don’t just build properties but create lasting value for residents and businesses. The company takes stewardship seriously, investing in green space, cultural initiatives, and community programs. If you want to be part of a team that prioritizes impact over just development, this is a great place to be.","While the work itself is meaningful, there’s room for improvement when it comes to leadership and internal communication. At times, the company’s specific business objectives can feel unclear, and more transparency from leadership would help employees feel more aligned with long-term goals. Strengthening internal communications could also help reinforce the company culture, ensuring that employees across all teams feel connected and engaged in the bigger picture.",Howard Hughes Holdings Inc.,HHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Howard-Hughes-Communities-Reviews-E723909.htm
Great Company!,5.0,"Mar 21, 2025","A fantastic company to work for, offering competitive salaries and excellent benefits.",I don’t know of any cons.,Howard Hughes Holdings Inc.,HHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Howard-Hughes-Communities-Reviews-E723909.htm
Terrible and disappointing experience,1.0,"Aug 18, 2025",Beautiful office space and free lunch.,"Executive level leadership over the team I worked on was oblivious, This particular leader of my team was demanding and flat out rude and had zero leadership skills. They talk about their BRICK values with R standing for RESPECT. Yet, this particular person only had respect for herself using foul language and bully tactics. Had a lot to say but not a clue on how to run a successful and thriving team. C-Suite doesn't seem to care and just enables the behavior. There is a deep dysfunction in the workplace. I am impressed at how well they do financially when the actual work environment l worked in was extremely toxic. Most people are unhappy. A lot of broken promises and you will be over worked and underpaid. Don't bother giving feedback because the powers that be think they know everything even though their department is a revolving door and continues to crumble. A LOT of gossiping in HR amongst one another - no confidentiality. The list goes on and on. Such a toxic and disappointing experience.",Howard Hughes Holdings Inc.,HHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Howard-Hughes-Communities-Reviews-E723909.htm
,4.0,"Sep 8, 2025",The benefits and pay are good.,Work-life balance in some departments is hard due to the workload.,Howard Hughes Holdings Inc.,HHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Howard-Hughes-Communities-Reviews-E723909.htm
Bad company - needs change in leadership,1.0,"Jul 7, 2025",Nice office space and location,"The CFO displayed unprofessional behavior and made commitments during the interview process that were not fulfilled after joining. Leadership style tends to be overly aggressive, which affects team morale. The business struggles with direction and overall employee experience is below expectations.",Howard Hughes Holdings Inc.,HHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Howard-Hughes-Communities-Reviews-E723909.htm
Salary,2.0,"Apr 2, 2025",new york location is good.,low pay - horrible management,Howard Hughes Holdings Inc.,HHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Howard-Hughes-Communities-Reviews-E723909.htm
Great company,5.0,"Mar 17, 2025",Good pay and health insurance.,No cons that I'm aware of.,Howard Hughes Holdings Inc.,HHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Howard-Hughes-Communities-Reviews-E723909.htm
Great Company,4.0,"Jan 27, 2025","Great culture, and good involvement in deals and projects.",They need a better compensation package.,Howard Hughes Holdings Inc.,HHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Howard-Hughes-Communities-Reviews-E723909.htm
Culture inclusion company,4.0,"Jan 8, 2025","Great benefits, with culture inclusion","Health insurance can be cheaper, work from home more often",Howard Hughes Holdings Inc.,HHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Howard-Hughes-Communities-Reviews-E723909.htm
Freelance,1.0,"Feb 5, 2025","Friendly-ish team at least to face, mellow atmosphere at office","No support, no assistance, poor communication, lack of direction and vision to reach goals",Howard Hughes Holdings Inc.,HHH,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Howard-Hughes-Communities-Reviews-E723909.htm
