title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Place to Work,5.0,"Feb 4, 2025","Beautiful office, good people and benefits",Office market not performing as well as previous years. Could use additional staff in certain departments.,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Accounting,3.0,"Oct 29, 2025",Co workers are great to be around,Some benefits are lacking behind other employees,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Worst I've Experienced in 28 years! Been Heading in the Wrong Direction.,2.0,"Jul 28, 2025",Great core group of employees.,"Poor, biased, unprofessional managerial leadership.","Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
2021,4.0,"Aug 24, 2025",Enjoyable time with team members,Some offices require tasks to be competed before they open.,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Commercial Real Estate,3.0,"Mar 7, 2025",Can make big money but it’s been a struggle since covid,"Everyone wants to work remote when I got all these dope office spaces to sling. All of the return to office propaganda we push on LinkedIn isn’t working, yo.","Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
This Company is Not What it Used to Be,3.0,"Aug 5, 2024","Although there are some great people working here, others not so much and these are in the leadership/c-suite area. Overall benefit package is good with matching 401-K; $.75 per dollar on your first 6% invested. FSA on heath/child care/elder care. HSA and traditional health, dental, and vision programs. ESPP at discount, LTD and STD. Catastrophic health plans as well. The elephant in the room is that salary lags behind, especially if you've been there for some time. New hires will come in at higher salary amounts. Field personnel will receive an iPhone that can be used personally, and some receive laptops. Three weeks of vacation plus two personal holidays in addition to traditional holidays. Sick time is liberal right now.","Several years ago there was a fantastic CEO who was a servant leader. He knew everyone in the company, and worked his way up from just cutting the grass. Unfortunately now there is a different CEO who is more ego-centric. He has never held a position in operations having come out of the financial sector. The others in the c-suite are a mixed lot with some attempting to communicate with those outside of the c-suite while others are focused on their own country club life. This company has fully embraced DEI and ESG to the point of ignoring just why they are even in business. Navigating around this is like picking your way through a minefield! Too many of the great, seasoned employees have left due to the low pay, c-suite attitude, DEI and ESG b.s. and poor leadership in some of the divisions. One division had approximately 10 vacancies at the same time. Of course this affects the morale of others as they are forced to pick up the slack. The hiring process can be lengthy. Advancement can be non-existent depending on what position you hold.","Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Experience at Highwoods,4.0,"Sep 13, 2024","- additional work phone - work laptop - vendors take management out to lunch often - various class A buildings, you could possibly work at - prestigious name and reputable company","- work/life balance may come array as you move up the leadership change - leadership has a hard time wanting to pivot, and get adjusted to new times within employee culture and work/life balance culture. - no incentives like our competitors to retain employees","Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Great Company!,4.0,"Sep 2, 2024","Work-life balance, executive leadership, benefits","Pay scale, inter office politics","Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Maintenance tech,4.0,"Mar 13, 2024",Good company to work for,No growth opportunity in the company,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
"Overall, a decent company to work for",4.0,"Jan 22, 2024","Benefits, company culture and work/life balance",Inconclusive job description and poor management,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
"Good Company, No Leadership",2.0,"Dec 11, 2023",Great people and great benefits,"Local leadership was very disorganized, lacked communication skills, and left you feeling uninspired and unsure of the direction of the region.","Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Great culture and work life balance,5.0,"Dec 5, 2023",Highwoods has a great culture and work life balance,Being downtown is a con for some people,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Review,3.0,"Mar 29, 2023","Great benefits, friendly colleagues, nice amenities","Unable to work remote, time off is not always approved even with advance notice, favoritism in workplace, micromanaging, advancement takes a long time","Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Property Manager,4.0,"Sep 13, 2023",Working onsite and owner operator,No flexibility to work from home,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Awesome Family,5.0,"Aug 16, 2023",- continuous learning - great team with helpful colleagues,-unbalanced work load at times,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Total Circus,2.0,"Apr 10, 2019","Worked with many great individuals, made life-long friends and connections.","While I'm confident that many people have had and will continue to have a great experience at Highwoods, I did not. This was mostly due to intradepartmental chaos. In my particular situation, my leader seemed unequipped for the position and unable to properly lead our team - resulting in poorly managed projects, lack of time management and disregard for employees' time/work/needs. Perhaps not with intention, but through his/her actions, the head of our department showed more interest in pleasing his/her superior than trusting the expertise of his/her team. This, in conjunction with the arbitrary system of promotions/probation/lack of promotions within our department, often left me scratching my head.","Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
"Wonderful people to work; however, a very strong ""good-old-boy"" approach to leadership",2.0,"Dec 17, 2010","The benefits are excellent, the salary a little bit higher than competitive. For those who like hard work and challenge, it's there. Highwoods is a great ""people place"" with some of the best in the business on staff.",Question whether Highwoods' future is as rosy and bright as Management would convey. Massive layoffs (with a large percentage of older employees with tenure benefits) strongly suggest that this company may be in trouble. Be aware that there is risk involved with hitching your star to this company -- not all things are truly the way they are told..,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Great place to work with lots of flexibility!,5.0,"Mar 4, 2015",Awesome group of people to work with! Everyone is very pleasant and knowledgeable on accounting functions and processes pertaining to the job. Very open streams of communications are present which makes asking questions on unfamiliar tasks and assignments easier to grasp. Great compensation and benefits for the work required. Not a very stressful environment at all but you do have certain times where you might feel overwhelmed with assignments that are quarterly and annually outside the month to month tasks at hand.,Not much room for growth unless senior positions become available due to employees leaving. Work becomes a little redundant as you go along.,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
"Growth, Fun and Work/Life Balance all in one.",5.0,"Oct 18, 2017",Work/life balance is easy to achieve. This is a company that cares about their employees and it shows with the generous benefits and the amount of trust they show their staff. Plenty of room to grow and learn from some of the best. Employees are trusted and allowed to be creative. Ideas from all employees are encouraged.,"Getting your foot in the door may be a challenge, but once you're in give it your all and make yourself valuable.","Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Strong Financials,4.0,"Feb 15, 2015","Great benefits (company pays your portion of health insurance), solid company performance, strong financials. Good group of diverse individuals from all age ranges so it's easy to find people you can relate to. Executive management has very nice, approachable, intelligent people which helps you feel confident and integrated.","Corporate headquarters are not in a particularly exciting location. Only location to step away and take a break from work is downstairs in the cafe. Difficult to transition to a different position as the company is relatively small, have to wait for someone to leave to have the opportunity to move.","Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Company Management,2.0,"Oct 28, 2015",Executives are very kind and some office staff as well. Benefits are good.,Management in the Orlando office is lacking in many areas. Too many managers managing the assets and no central control. Micro managing seems to be the narrative where all of the managers are looking out for themselves and ready and willing to throw coworkers and subordinates under the bus. Not a fun work environment when you expect to get fired everyday you go to work. Assets are not looked over very well by management. Pay is very low.,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
A shame it's not what it used to be! :(,2.0,"Nov 29, 2021",The staff (fellow employees) are for the most part great to work with!,The upper management is a stodgy group of men that have a warped perception of what its like from the worker's perspective. They don't have a clue as to what workers really think of the company and the toxic culture that is the norm. Very sad as we used to all be so proud and felt respected.,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
Sugarcoated opportunity,3.0,"Feb 6, 2022","Most days easy laid back work, opportunity to meet new people, opportunities to learn new things, make coworker friends, work mostly in the air conditioned space.",Pay raises only comes with extra work. Weird and unconventional job position titles. Salaries numbers throughout the company are all over the place. One manager will make 45k the other 100k for the same position. Employee handbook does not match verbal rules from management. Miscommunication among managers.,"Highwoods Properties, Inc.",HIW,Office,2025-11-21,https://www.glassdoor.com/Reviews/Highwoods-Properties-Reviews-E2674.htm
