title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great culture,5.0,"Jun 6, 2025",Amazing people and work environment. Snack game is top notch,Real estate (office) is hard right now. It will get better!,"Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
Good way to get feet wet,3.0,"Apr 23, 2025",,istency with responsibilities. As a studio analyst you know what to expect on a day to day basis.,"Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
Don't Waste Your Time,2.0,"Feb 20, 2025",Sometimes you'll get lunch. They have snacks.,truction administrator,"Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
Not Stable and Disorganized,1.0,"Mar 24, 2025","Public company, has decent brand. Nice office space and free snacks.","100% Onsite, have to live near office otherwise commute is a nightmare in that area. Wages are low, can only live in the area via roommate. Highly disorganized with a startup feel. Business is not doing great and layoffs are occurring.","Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
"Get ready, set, go!",2.0,"Nov 25, 2024",Good company to work for overall.,team support that was talked about really isn't there with senior management. I'm not afraid of hard work but the amount of work was a lot.,"Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
great place to work,5.0,"Nov 20, 2024",everything is great here. They feed us.,No cons to think of,"Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
Low wages,2.0,"Sep 6, 2024",Great opportunity to learn new projects and capital improvements.,No accountability for managers and lack of empathy was harmful,"Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
Good Company,3.0,"Jun 30, 2024",Hard working bunch with positive mindset.,Dying industry that is being held onto by management.,"Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
"Great People, Little Flexibility",3.0,"Mar 4, 2024","Everyone in the office is truly amazing, and is what makes going to work so great!","Leadership is often inflexible and likes to change their mind without warning. They don't respond well to questions by those lower than them, and they like to promise a lot and not always deliver. They talk the talk, but don't always walk the walk.","Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
Great work life balance!,5.0,"Mar 13, 2024","I really appreciate my time at this region! I think every office is different, and I was so grateful for the leadership. The work is a good pace, and everyone is easy to work with.",no cons in my time at this company! It was great for the two years that I worked there!,"Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
Ghosted After Being Offered The Second Round Interview,1.0,"Mar 2, 2024",I wouldn't know; I didn't get the opportunity to work for the company.,"I was ghosted after being offered the second-round interview. I reached out three times to follow up but never received a response. I invested time in preparing for the interview, only to find that my efforts were ultimately in vain.","Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
Comp for Role,2.0,"Mar 19, 2024",Good work life balance at times,toxic work environment and practices,"Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
It had potential...,3.0,"Jan 15, 2024","food, paid holidays, team members","pay, micro management, lack of team building support and opportunities","Hudson Pacific Properties, Inc.",HPP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Hudson-Pacific-Properties-Reviews-E354494.htm
