title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Awesome place to work,5.0,"Jul 8, 2025","Great work life balance , Awesome place to work Great coworkers Expected salary Great benefit",I don't have anything to share,Healthcare Realty Trust,HR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Healthcare-Realty-Reviews-E1047.htm
Ok Company,3.0,"Nov 14, 2025","Great benefits. Depending on the office and management team, this can be a good opportunity.",There is some opportunity to learn and grow.,Healthcare Realty Trust,HR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Healthcare-Realty-Reviews-E1047.htm
The rat pack,3.0,"Nov 9, 2025","Great to see the foundations mean girls leaving at the end of the year from operations to leasing! This is a great move - however, they should of been gone long ago.",Not so much for cons-,Healthcare Realty Trust,HR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Healthcare-Realty-Reviews-E1047.htm
Unorganized,2.0,"Oct 5, 2025",The position was remote and the hour lunch,The management in the department was very unfair and treated employees poorly. The training was very poor,Healthcare Realty Trust,HR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Healthcare-Realty-Reviews-E1047.htm
Tyrannical Management in the Dallas Office,1.0,"Jul 29, 2025",Good pay and benefits package.,"Unhelpful, devious, envious, sabotaging, selfish, whiney, self-pitying, crediting-taking, story- twisting, lying, vindictive, miserable, plotting, immature, monotone, enabled. Does not allow names or positions. This is the Dallas office so do the math.",Healthcare Realty Trust,HR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Healthcare-Realty-Reviews-E1047.htm
"Good pay, nobody knows...",3.0,"Aug 26, 2025","Decent pay for the headache.. Easy job, once YOU teach yourself how to do it (that's a bit unfortunate).. This definitely falls under the ""fake job"" category.",Nobody knows what they're doing.. even the GMs & Regional & VP..,Healthcare Realty Trust,HR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Healthcare-Realty-Reviews-E1047.htm
Formerly great company,3.0,"May 13, 2025","Several experienced team leaders (legal, accounting)","Former CEO and CFO led the company on a foolish merger that cost dozens of people their jobs. Both of them eventually got fired for driving a formerly great company into the ditch. Bad balance sheet, bad direction, bad culture.",Healthcare Realty Trust,HR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Healthcare-Realty-Reviews-E1047.htm
Great company,5.0,"Jun 25, 2025",Good incentives and great management.,Some turnover is possible depending on the role.,Healthcare Realty Trust,HR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Healthcare-Realty-Reviews-E1047.htm
Great people working hard,5.0,"May 16, 2025","Collegial environment, high expectations of employees, people want to do good work, feel like I'm contributing to healthcare by helping physicians and patients",Sometimes micro-managed...I like having high expectations but sometimes it's very stressful.,Healthcare Realty Trust,HR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Healthcare-Realty-Reviews-E1047.htm
Job for Office Experience or Looking to Move into Property Management,4.0,"Jan 29, 2024","My internal team is very supportive and kind. There are repetitive everyday tasks, but not every day is the same. Always a new project to work on. You can work at your own pace as long as you can get things done by the deadline. You will learn new things daily, especially about property management and equipment. Pretty chill for a temporary job. I am told there are a lot of opportunities to move up. There are companywide fitness challenges and Chair Yoga on Thursdays to try and build community, as well as holiday dinners with staff.","You do not have access to everyone in the company. There is a chain of command you have to go through in order to get certain things done/answer questions. The company had a merge in 2023, and it has been very chaotic since. Lots of issues with rent statements and general system issues. They will throw things at you last minute and throw all the things property managers don't have time for at you. That's how it is being an admin assistant anywhere though. I don't think the wage is fair for the workload. I was told on interview that 60% of my time will be on the phone, but realistically it's more 25% or less. Majority of my time is spent looking at 3 monitors in an office with little interaction. Anyone outside of your office probably does not care about you. You are at the bottom of the ladder. They laid off 40 people at the end of 2023.",Healthcare Realty Trust,HR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Healthcare-Realty-Reviews-E1047.htm
