title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Excellent Place to Work,5.0,"Jun 25, 2025","Extremely bright colleagues, fantastically managed",small org so fewer career mobility opportunities,"Host Hotels & Resorts, Inc.",HST,Lodging/Resorts,2025-11-20,https://www.glassdoor.com/Reviews/Host-Hotels-and-Resorts-Reviews-E305.htm
"Great Benefits, Poor Culture",2.0,"Dec 6, 2024",Benefits are the best thing about this place,Poor culture starts from the top,"Host Hotels & Resorts, Inc.",HST,Lodging/Resorts,2025-11-20,https://www.glassdoor.com/Reviews/Host-Hotels-and-Resorts-Reviews-E305.htm
Lots of entitlement and charm; very little accountability and integrity,2.0,"Aug 27, 2014","Host Hotels & Resorts offers excellent salary packages and benefits. Their headquarters in Bethesda is centrally-located in the DC Metro area with adequate access to public transportation, restaurants and shopping.","Host Hotels & Resorts is all fluff and no substance. Top management lacks strong leadership skills. There is no accountability nor is honesty and integrity valued. Everything is centered on the bottom line and sealing the deal, regardless of associate sacrifices or complaints.","Host Hotels & Resorts, Inc.",HST,Lodging/Resorts,2025-11-20,https://www.glassdoor.com/Reviews/Host-Hotels-and-Resorts-Reviews-E305.htm
Host Hotes Values Its Associates,5.0,"Oct 6, 2008","Host Hotels & Resorts is the best job I've ever had in my nearly 20 years in the workforce. They have benefits above and beyond anything I've seen before, including excellent health benefits, hotel discounts, a wonderful 401K program with matching funds, and a stock purchase program, which allows employees to buy stock at a discounted price. The camaderie at Host is amazing. Senior management treats everyone as equal and valuable. I always feel valued. Host also makes the workplace fun with regular gatherings, called Connections, to allow associates in different departments a chance to interact and network. Host is all about respecting and valuing the employees/associates. I never felt so valued as an employee before.",I really can't think of any.,"Host Hotels & Resorts, Inc.",HST,Lodging/Resorts,2025-11-20,https://www.glassdoor.com/Reviews/Host-Hotels-and-Resorts-Reviews-E305.htm
Great benefits.... terrible management!,2.0,"Oct 19, 2017",Excellent health and hotel benefits. Some of the jobs can be pretty interesting too. Company looks good on a resume.,"Similar to other reviews, no transparency or growth. Only way to go up is if you're part of the good ol' boys club, and HR clearly knows this. Departments don't talk to each other and end up doing repetitive work. There are very few managers that I would consider that are good at managing people, that would give credit to their employees and support their growth. Zero transparency from management and leadership on long term plans.","Host Hotels & Resorts, Inc.",HST,Lodging/Resorts,2025-11-20,https://www.glassdoor.com/Reviews/Host-Hotels-and-Resorts-Reviews-E305.htm
Amazing Benefits,5.0,"Oct 7, 2013","Elizabeth Arden discount, Marriott hotels discount, annual bonus for for administrative assistants, Employee Stock Program, Discretionary ADDITIONAL 401K match (w/ board approval), $15K annual tuition reimbursement; annual company picnic geared towards children; denim Fridays; community service oriented",small company so growth is limited and turnover is low; promotions require Work/ Life imbalance (typical hours are 8 am to 6 pm);,"Host Hotels & Resorts, Inc.",HST,Lodging/Resorts,2025-11-20,https://www.glassdoor.com/Reviews/Host-Hotels-and-Resorts-Reviews-E305.htm
No room to grow,3.0,"Mar 10, 2022",Great Salary and Benefits. Loads of capable and smart co-workers.,Flat structure. Nearly zero turnover. No room to grow and advance unless one of the chosen few. Different rules for different people.,"Host Hotels & Resorts, Inc.",HST,Lodging/Resorts,2025-11-20,https://www.glassdoor.com/Reviews/Host-Hotels-and-Resorts-Reviews-E305.htm
"Benefits, yes. Management, NO.",1.0,"Jul 9, 2015","Great benefits, location and pay. Community service is big.",Leadership has little to no training when it comes to managing people. Takes forever for decisions to be made or processes to be implemented. Not an environment for young professionals. Lacks the automated processes most would expect of a Fortune 500 company.,"Host Hotels & Resorts, Inc.",HST,Lodging/Resorts,2025-11-20,https://www.glassdoor.com/Reviews/Host-Hotels-and-Resorts-Reviews-E305.htm
Amazing company to work,5.0,"Mar 18, 2021","wonderful benefit, amazing people, executive officers, perfect work/life balance",Hard to grow with the company,"Host Hotels & Resorts, Inc.",HST,Lodging/Resorts,2025-11-20,https://www.glassdoor.com/Reviews/Host-Hotels-and-Resorts-Reviews-E305.htm
Run away fast - No Pros at Host Hotels & Resorts,1.0,"Feb 14, 2019",at Host Hotels & Resorts,"No transparency, management lacks leadership skills, HR has their head in the sand, disgraceful office environment full of gossip which is perpetuated by management.","Host Hotels & Resorts, Inc.",HST,Lodging/Resorts,2025-11-20,https://www.glassdoor.com/Reviews/Host-Hotels-and-Resorts-Reviews-E305.htm
