title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great place to work!,5.0,"Oct 15, 2025","Good hours, Driving for work, Company vehicle, Overtime.",Other than lifting heavy boxes some days there's not much cons.,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Former Employee,5.0,"Oct 8, 2025",The company held a lot of appreciation days and provided meals.,In office requirements were changed from once a month to daily which took away from the pay.,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Turnover is due to Iron Mountain's lust to be a $5B company,2.0,"Jul 10, 2025",Individual teams work well together. Individual teams also work hard to reach goals presented to them. There are good people that work at Iron Mountain.,"Higher level management teams trickle down edicts from upper management to cut costs (at all costs) just to reach this $5B goal (publicly stated and released) and to satisfy the investors of Iron Mountain. We heard a lot from the CEO and CFO about where the company stands on EBDIT and where the company stands financially against the $5B goal and EBDIT. To achieve this, the company, along with their outsourced advisory company, have made changes to the company that make it very difficult to work at IRM. In sales, you do not know if you have a position on a month to month basis. Some sales cycles with clients can take months of relationship building before the sales close and used to be the understanding with management at Iron Mountain. Now management wants results monthly regardless of what the sales cycle is. With all other positions, you do not know if you will be employed on a month-to-month basis either as all positions are fair game.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Used until you break,2.0,"Aug 27, 2025",Other coworkers tend to be friendly Management team will at least respect you,"Inconsistent Hours Inconsistent Work Inconsistent Workload Extremely high expectations, low reward, low benefits Consistent misinformation from the company",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Good situation,4.0,"Nov 9, 2025","Growth opportunities, good culture and environment",Not too much to note at this time,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Inside Sales,4.0,"Oct 29, 2025","Product sells itself, With hardwork you can make great money","High turnover, disjointed senior leadership",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Data Entry,3.0,"Sep 17, 2025","Nice location, the warehouseman and supervisor always willing to give a helping hand when needed.","The coordinator for the Data Entry Department doesnt explain the job procedures to an understandable matter. Has an attitude and wants to be a supervisor which that person doesnt do well as a coordinator. So unorganized. And the pay, is underestimated to be such a billion dollar company.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Good Compensation,4.0,"Oct 29, 2025",Good Company with great progress,None to mention right now,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Great,3.0,"Oct 28, 2025",Good environment great place to work,"No cons really, great place to work",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Great place to work.,4.0,"Oct 22, 2025",Good people and great management,I honestly can’t think of anything to say right now.,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Good company,3.0,"Oct 12, 2025",Good company to work and grow,Low pay rate for certain positions,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Great place to work,3.0,"Aug 21, 2025","Professional development: There were opportunities to gain experience with compliance, records management, and secure data handling, which are valuable across industries. Supportive team environment: Many colleagues were collaborative and willing to share knowledge, which helped foster growth and efficiency. Good benefits package: Competitive healthcare, retirement contributions, and paid time off added to overall job security.","Slow pace of change: As a large, established company, new ideas and initiatives often took a long time to gain traction. Limited upward mobility: Career progression could feel constrained unless you were in specific tracks or willing to relocate.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Great Managers Horrible Strategy,1.0,"Jul 30, 2025",Remote Supportive teams Supportive Managers You will have many job functions that will help build your resume,"Will retroactively revoke bonuses if you're making too much. I earned 24k in renewal bonuses because I convinced customers to renew their contracts at a higher rate. After Iron Mountain realized were paying out alot of bonuses, they sent an email 2 months after the bonus paperwork was submitted and approved stating that they're retroactively ending the program for high earners. Changes Comp plans if you're making too much money. Changed Compensation plans to a structure that starves their Sales reps until they reach have of their yearly quota",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Great company,4.0,"Oct 7, 2025",Good leadership great culture. Happy environment,No cons listed for this job,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Upper Management disconnected,3.0,"Sep 11, 2025",95% of the Fortune 1000 work with Iron Mountain in some form or fashion and the products and services are plentiful,Upper Management is completely disconnected from sales and high level executive relationships with some of their biggest customers is non existent,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Pay is low,2.0,"Oct 7, 2025",Work life balance is nice,No opportunity to advance in company,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Laid off entire department without WARN filing.,1.0,"Oct 3, 2025",Immediate 2 levels of management were great.,"Higher levels of management were absolute crud. My entire department was laid off by someone who had never shown his face to us, and then offshored.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Solid Employer,4.0,"Sep 26, 2025",Competitive pay with advancement opportunities.,Higher than normal turn over.,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Toxic Work culture,1.0,"Apr 22, 2025","Global exposure, Remote work. Good Insurance benifits","Very toxic work culture. Stubborn managers and leadership with no recognition for any creative work or working overtime to get additional last minute tasks done. Managers are waiting for you to make 1 small mistake to play the blame game even if you do 9/10 things right. Feels like everyone has fit into this mold to keep their position and throw someone else under the bus. For a dinosaur company like iron mountain they sure hire and fire faster than a silicon valley start-up. Even though the company just started unlimited PTO, management makes it utterly difficult to approve even 2-3 day leave requests. Feels like company was forced to implement unlimited PTO to avoid paying a bulk of employees they constantly fire instead of actually benefitting the employee which is how it was presented, but sadly that is not the case. For any employee thinking of join IM, please do your due diligence before leaving your current job.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Poor leadership,3.0,"Sep 17, 2025",The employees are generally nice,Leadership is poor and the talent pool is bad. Poor performers are not held accountable,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Here's to Making it Work,3.0,"Mar 5, 2025","You can look forward to a stable schedule, plenty of overtime opportunities, flexible schedule changes, and leadership that is very accepting of time off when given enough notice. The PTO itself is very easy to track with an online system and onsite clock in device. The leadership is very transparent with company & HIPAA policies, and are easy to ask questions about any task. Additional training on something you do not understand is easy to get.","The starting pay is very low, barely minimum wage to keep up with how costly the times are. The workplace is very physically crowded which fosters gossip, and is probably unsafe for HIPAA policy honestly. The supervisors are transparent, but tend to over complicate tasks, focus on the odd parts of workplace solutions, or don't compromise well with staff making them feel unheard or misunderstood.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
"Great view from the outside, spoiled on the inside.",2.0,"May 25, 2025","Decent pay, fast paced, always learning new methods. I always enjoyed how diverse that specific location was.","Constant changes between management, went through 3 managers within the 3 years I was there. They have been laying off agents in the US since 2022 to hire and underpay agents in Colombia and India. Very contradicting, especially knowing the majority of client's have expressed difficulties regarding the extreme delay it takes to get to a US based agent due to the language barrier. It was also hard to explain client's billing concerns when we are able to see the price gauging ourselves as agents. I mean, we're talking about client's rates being increased twice within a 1 year period.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
,2.0,"Sep 14, 2025",You have a job. You have benefits,No advancement. Pay is not competitive with other companies that are similar,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
It's a job for now,2.0,"Sep 12, 2025","paycheck
Let's you request off freely
Provide lunches","Lack of proper training
Lack of communication
Must kiss up too get along",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Alright place,2.0,"Sep 10, 2025",Good hours (early in early out),"High demand, pretty dirty, management was kinda lacking and not great",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Horrible work environment,1.0,"Sep 25, 2025",You have a job atleast,"All of them. Hostile work environment. Bias, nepotism and favoritism.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Good place to work,5.0,"Sep 2, 2025",Good place to work with great internal mentors.,Low turnover may reduce long term career advancements.,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
"Decent environment, easy work",4.0,"Aug 20, 2025","Easy work, great supervisor, good pay and benefits","In a man made cave, no sunlight, no fresh air, sitting at desk all day with computer screen",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Do not work here,1.0,"May 1, 2025","The people are great, I really do like my teammates","Horrible pay and commission structure. Changes constantly, making it impossible to reach your quota. If you are at 75% or less to goal in the quarter, you're fired. Generates a culture of fear, everyone is afraid of that 1:1 on their calendar, thinking it is their last day. Management promotes sneaky tactics just so they can hit their goal to look good on the dashboard, but you will never be paid on it. Please, do not waste time here, there are other jobs out there that will pay you better and treat you with respect and have a better company culture. No room for promotions - people stuck in the same role for 6+ years with no promotion but management keeps promising them. Iron Mountain is slammed in the BBB, so you also have to deal with angry customers 24/7. Iron Mountain gouges their clients and locks them in contracts they have to pay six figures to get out of.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Iron Mountain Review,3.0,"Jul 23, 2025",Good culture among close teams Big company with opportunities to network with other teams and learn about their work,Not enough communication from the upper management Sudden structural changes Upper management does not think about employees Very bad experience during the layoff call - the manager who laid me off didn't even ask how I was feeling.,Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Sales,5.0,"Jul 5, 2025","People were so helpful and the job required lots of mental ""thinking on your feet:"" when talking with customers to position the company correctly.","Unfortunately a ""sales reorganization"" occured and apparently happens frequently which I didn't know when I went to work for them.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
Team Collaboration,5.0,"May 12, 2025","The leadership team is approachable and transparent, and they genuinely care about employee well-being. There’s a strong focus on work-life balance, and the flexibility offered—especially in today’s hybrid environment—is a huge plus. Collaboration is part of the culture here, and I’ve had the chance to work cross-functionally with incredibly smart, driven people who are passionate about what they do. The finance and accounting teams are highly respected within the business and play a key role in strategic decision-making, which makes the work feel meaningful.","As with many large organizations, navigating internal processes and layers of approval can be slow at times. It requires patience and persistence to drive change, but strong communication and a proactive mindset go a long way in getting things done.",Iron Mountain,IRM,Specialty,2025-11-21,https://www.glassdoor.com/Reviews/Iron-Mountain-Reviews-E6774.htm
