title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great place to work,5.0,"Oct 23, 2025",Great place to work. Highly recommend,No complaints- this is a great job.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Great place to work,5.0,"Nov 2, 2025","benefits, work life balance, culture",strict deadlines given it's a public company; limited growth potential without CPA.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Great place to learn!,4.0,"Aug 13, 2025",Institutional real estate shop with storied DC roots.,"Underpaid for many positions, particularly in finance / investing roles.",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Professional and Employee Oriented,5.0,"Dec 3, 2024","Great company with a positive work environment. I learned a lot during my time as a maintenance tech and really enjoyed the team I worked with. I was able to develop my skills and take on new challenges, which ultimately led to a promotion at another company. I'm grateful for the experience I gained at JBG Smith and look forward to potentially returning in the future.","While my overall experience at JBG Smith was positive, I did encounter a challenging situation with a new manager. Their behavior towards both myself and other employees was unprofessional and often disrespectful. Despite this, I appreciate that HR took action after I raised my concerns, even though it was during my departure. It's encouraging to hear that the situation improved for the remaining team members.",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Great benefits but..,1.0,"Jun 24, 2025",Benefits are unmatched and management is usually friendly,Opportunity for growth pretty much doesn't exist. Management would rather promote someone from outside your portfolio than those that work in the same office,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Accountant,2.0,"May 28, 2025",Opportunities for collaboration between departments.,Lots of office politics that are hard to navigate.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Strong Leader in DC Real Estate,5.0,"Mar 26, 2025","Very intelligent and talented employees/leadership, well-respected firm in DC/MD/VA and throughout the region, fantastic corporate office, high-quality and high-profile buildings/projects.","Along with many other real estate firms nationally and in the region, firm has struggled financially since COVID.",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Decent Company,4.0,"Feb 10, 2025","Regionally focused company
Opportunity for advancement","Slow promotion
Power being taken away from onsite staff",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Best Company to Work For,5.0,"Dec 20, 2024","I absolutely loved how work/life balance was huge part of the company. Pay was great, commission was good, they gave back to their employees with nice events.",Didn’t experience any…well other than they sold one of their properties & that can be a risk.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
"Good benefits, horrible management",2.0,"Sep 26, 2024","Loved employee benefits like our health insurance. Summer Fridays. Once you move up, you get work from home days, and flexibility with that.","The upper management hates the little guy. Common, but it's depressing and unnecessary, as well as my reason for quitting. Lots of shuffling as well. I had 3 managers in 18 months.",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
"Good company, Great benefits",5.0,"Oct 30, 2024",health insurance benefits and premiums were low. Lots of properties to choose from. Up to date on technology.,in 2015 I was making $100 per commission. Hopefully it is more now.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
"Fine Company, Supportive Team, Difficult Job",4.0,"Jul 24, 2024",The SVP who leads is talented and extremely smart. I enjoyed working with her and thought that she led the team in a professional manner.,"I did not have the experience to do this job properly and it showed as this is an extremely specialized area of tax. I can't blame JBG Smith, this was mostly on me. I'm glad I ended up leaving and finding a job that was more compatible with my skills.",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Good,3.0,"Nov 15, 2024",Good place to work and nice environment,no formal training to develop new hires,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Admin,2.0,"Oct 22, 2024","Great people, cool office, good benefits","Diversity, work culture in some departments",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Love the company,4.0,"Sep 30, 2024","Great benefits, leave accrual, and sense of community.",Difficult to move up without the right internal connections.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Great Place to Learn,4.0,"Jul 18, 2024","You will be challenged. Lots of very smart, motivated people in the department. Great learning experience as you advance in your career.","A bit stressful at times. Even with efficiencies gained in automating processes, there's always more work to do,",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Good Place To Work,4.0,"May 30, 2024",JBG Smith was a great social environment to work in - people were friendly. The office is beautiful.,The open office setup of the main office is tough for daily desk work. When I joined there was a lot of work from home flexibility which they started to roll back in 2023. Commuting was tough. They made employees pay for parking in a building that they owned and managed.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Just OK,3.0,"Aug 5, 2024",Pay is Ok and free bagels,No upward communications. Managers arent trained at all. Some lack people skills,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Great place to work,5.0,"Jun 26, 2024","Benefits, culture, pay, work life balance (unlimited PTO, Summer Fridays)",Company is going through a tough time due to office market. I’m sure it will be rebound.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
great culture,3.0,"Jul 1, 2024",it's a good place to work and offers great benefits and connections,can be a limiting place,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Good place to start,3.0,"Jun 1, 2024",JBG Smith is a great place to build your skillset as an analyst,Comp could be better and there seems to be some concerns about job security.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
No Interaction with Corporate,2.0,"Apr 30, 2024",The compensation and benefits offered are strong.,"The turnover is very very high. In my short time at a JBG property, there have been six firings on a staff of nine.",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Great place to develop your career,5.0,"Apr 25, 2024",Great learning experience and given a lot of autonomy,Very faced paced and need to be able to multitask,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Safe Place,3.0,"Apr 27, 2024","Great benefits, pay, and flexibility",Not totally sure where the company is headed,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Worst company I ever worked for,1.0,"Mar 14, 2024",Absolutely none. Nothing positive about this company to share!,"I left a 10 year carrier job, competed with over 500 qualified candidates for the position. Got the job, only to get laid off 6 months later. Very toxic work environment. Leadership is a disaster. HR is a disgrace.",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Would not recommend,1.0,"May 10, 2024",Nice office with amenities and benefits are decent.,"Poor management, micromanaging, underpaid for the work expected of you in the position.",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Overall good place to work,3.0,"Nov 27, 2023",The physical office has excellent perks and HR tries to make employees feel appreciated often.,"The ""streamlined"" approaches to some of the work are actually more cumbersome and can lead to an increased work load or the need to double check things.",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Its ok,4.0,"Feb 27, 2024",nice office and nice people,"commute, poor communication, too many meetings",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Great place to work,5.0,"Jan 30, 2024",Great culture and the best company I have worked at.,Inclusiveness within the departments. It could get clicky,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
cool,3.0,"Feb 9, 2024","Decent hours, good time off, benefits","bad management, no accountability, low bonus pay",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
It was great... until it wasn't,2.0,"Oct 31, 2023","Fun environment for the employees, young executives with open minds, diverse inclusive culture, breakfast, snacks and drinks provided daily.","Employees laid off or leaving and not replaced which leaves more work and stress on those left. Very worrisome for remaining staff, ""will I be the next one cut?""",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
A place to work,4.0,"Dec 29, 2023",Large portfolio of commercial buildings.,Impacted by commercial office vacancy due to hybrid and work from home policies brought on by Covid-19.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
JBG SMITH,4.0,"Nov 15, 2023","Jbg is a diverse, open and welcoming company. I hit the ground running with a team in place to help every step of the way.",knowledge before delegating . but that's most management companies.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Great Employer,5.0,"Dec 29, 2023",Great flexible schedule. Independent work.,More internal communication would be nice.,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Property Manager,4.0,"Nov 14, 2023","Benefits, paid leave, support from corporate.","Location of assets, work life balance",JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
Great team and great benefits,4.0,"Oct 2, 2023","A lot of support, great team and training opportunities",Compensation was low but fair was commission,JBG SMITH,JBGS,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/JBG-SMITH-Reviews-E1747097.htm
