title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Good,5.0,"May 27, 2025",⭐⭐ good so far as I've been working,Left the company much earlier,Kimco Realty Corporation,KIM,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Kimco-Realty-Reviews-E2116.htm
A Masterclass in Dysfunction — Enter at Your Own Risk,2.0,"Apr 14, 2025","If you're seeking a fast-track to burnout and a front-row seat to toxic leadership, this is the place for you. Micromanagement? Check. Gaslighting? Absolutely. Supervisors who double as textbook narcissists? Say no more. If being ignored when you ask for support and working with disengaged teammates sounds like your ideal environment, you’ll feel right at home. Also, if you're passionate about watching a company celebrate record profits while rewarding employees with the bare minimum — congratulations, you’ve found your match.","The work environment is deeply unsupportive. Requests for help or clarification are often met with silence or condescension. Communication is poor, and collaboration feels more like survival. Leadership is out of touch with employee realities, and concerns are routinely dismissed or downplayed. There is little to no career development, and burnout is treated as a badge of honor rather than a red flag. Raises and recognition are scarce, despite the company’s financial success.",Kimco Realty Corporation,KIM,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Kimco-Realty-Reviews-E2116.htm
Dishonest & Cowardly Organization,2.0,"Jul 4, 2025",Attempts at employee engagement were great to see.,Poor working conditions. Building was old and had dead animals in bathrooms that were never cleaned. Organization is too siloed and can’t function together. Any attempt to work inter-departmentaly was met with angst and resistance. Asked to perform tasks that were borderline illegal and manipulate legal documents to avoid “attention”. Leaders are making business decisions motivated by racial prejudice instead of business models. Was nervous to travel for business with others due to alcohol abuse while on company time.,Kimco Realty Corporation,KIM,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Kimco-Realty-Reviews-E2116.htm
,4.0,"Oct 8, 2025",Great collaborative team that works well together.,Very corporate. There are numerous hoops to jump through to complete tasks.,Kimco Realty Corporation,KIM,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Kimco-Realty-Reviews-E2116.htm
Accounting Department - Unrealistic work hours & expectations,2.0,"Mar 18, 2025",Good insurance Wellness perks Pizza parties,"Gradually phasing out WFH & back to predominantly in office. People are promoted with zero management, people skills or training. When questioned they state training is not in the budget. These promoted individuals then work around the clock 7 days a week making all work expectations ridiculous for others. You can not take off except when they feel it’s in line with their schedules. 2-3 weeks is are blacked out per quarter. The Accounting department is expected to work many weekends, Juneteenth, 4th of July, Christmas, New Years with no days given back as compensation. You are fortunate to take the vacation days you have due to workload & the fact no one does ANY work for you while you are out of the office. Spring break with your kids, you are not allowed to take off. It is also a blacked out time period. You also need to plan to be in the office as well, so then plan for childcare during that time. Great place to work if you have nothing else in your life outside of work. It is not a good place for anyone with a kids, because they really do not care.",Kimco Realty Corporation,KIM,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Kimco-Realty-Reviews-E2116.htm
Love this company,4.0,"Aug 11, 2025","-hybrid
-not micromanaged
-team culture
-company culture","-no room for growth
-complicated systems to learn",Kimco Realty Corporation,KIM,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Kimco-Realty-Reviews-E2116.htm
Overworked,3.0,"Jun 4, 2025",Great team to be a part of.,Management doesn’t provide much help,Kimco Realty Corporation,KIM,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Kimco-Realty-Reviews-E2116.htm
leasing,3.0,"Mar 19, 2025",Well run company and CEO,Making us come in three days opposed to 2 days,Kimco Realty Corporation,KIM,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Kimco-Realty-Reviews-E2116.htm
"Great Company, Amazing Company",5.0,"Feb 28, 2025","Balanced work life, Knowledgeable and great place to learn/work",None that come to mind,Kimco Realty Corporation,KIM,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Kimco-Realty-Reviews-E2116.htm
,4.0,"Oct 3, 2024","Good work environment, Helpful teammates & co-workers from other departments","Pay vs Economy, additional income is needed Hybrid should be reduced to 1day instead of 2 days",Kimco Realty Corporation,KIM,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Kimco-Realty-Reviews-E2116.htm
