title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Amazing company,5.0,"Sep 14, 2025","Kilroy is a collaborative, innovative, and supportive workplace that values growth, sustainability, and long-term vision.",None at all its a great company,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
A Dynamic Journey of Growth and Opportunity at Kilroy,5.0,"Jan 2, 2025","Culture and Environment: Kilroy promotes a friendly and creative workplace where everyone collaborates and shares ideas. The company value their employees, making it easy to communicate and build lasting friendships within the team. Career Development: One of the standout aspects of Kilroy is its commitment to employee growth. I was encouraged to pursue professional development opportunities. I’ve had the privilege of being promoted multiple times, and each step along the way was supported by my managers, who genuinely invested in my success. Work-Life Balance: Kilroy understands that life outside of work is just as important as the work we do. I appreciate that my well-being is a priority. Innovation and Impact: Kilroy is at the forefront of innovation and sustainable practices in our industry that positively impact our communities and the environment. It’s inspiring to be part of a team that prioritizes not just profitability, but also social responsibility.","While my experience at Kilroy has been overwhelmingly positive, there are a few areas that could use improvement: Workload Fluctuations: There are times when workload can get heavy. During these times, it is hard to balance work and life; and some team members may find it tough to keep up. Communication Gaps: While the open-door policy is great, there are times when departments don't communicate well. Keeping all teams updated on projects/tasks can help everyone work better together and improved efficiency.",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Great Company with Supportive Culture and Growth Opportunities,5.0,"Dec 27, 2024","I thoroughly enjoy my time working at Kilroy Realty. The company fosters a collaborative and inclusive culture where employees feel valued and supported. Leadership genuinely cares about employee well-being, which is evident through their transparent communication and commitment to professional development. What stands out the most is the emphasis on growth. The company provides ample opportunities for learning, whether through training programs, mentorship, or challenging projects that allow you to expand your skill set. Team members are approachable and always willing to help, creating an environment where you can thrive both personally and professionally. Work-life balance is respected, and the benefits are competitive, making this an even more attractive place to work. The management team encourages innovation and truly listens to employee feedback, which has made a significant difference in day-to-day work satisfaction. Overall, Kilroy Realty is a fantastic place to build a fulfilling career. I highly recommend it to anyone looking for a company that values its employees and encourages growth and collaboration!",No Cons at this time,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
"Not the worst, not the best",2.0,"Apr 7, 2025",Work life balance Snacks + lunches twice a week My team,"No flexibility to work remotely. Leadership doesn’t care about how employees feel about it. They have an annual survey asking employees what they like and don’t like, but when sharing the results they never go over the things that people noted that they disliked. Survey is pointless if they only highlight the good and don’t give as much as a mention of the bad.",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
it all depends on your department.,2.0,"Apr 4, 2025","if you have a good manager/department, they’ll protect you from corporate and HR’s mismanagement. good benefits.","if you have a manager/department head that fears upper management, you’ll be subjected to some of the most outdated conditions and regulations imaginable. Upper management is floundering with the way things are moving towards remote office work. all decisions are driven by emotion and temper at the top. no consideration for the morale of worker bees. HUGE boys club/sexism is rampant.",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Negative Work Environment,2.0,"Jul 26, 2024","As a former employee who dedicated many years with the company, the SD region doesn’t shine like it used to. I’ve seen the region in its glory days when we had talented leaderships who were competent at their jobs. They were professional, reasonable, supportive, and treated everyone like family. There was growth and clear directions for the team. It was the place where everyone wants to be.","The current upper management is selective about who they want to promote. In the last several years, promotion has been based on favoritism vs performance. Employees who are dedicated and show up are often overlooked with little to no recognition. Asset managers would talk badly about their own teammates in front of others. You can hear them outside the office complaining loudly and not even trying to be discreet about it. Instead of fixing known issues, bad behaviors are often ignored and rewarded with constant praises and promotions which greatly affects office morale. Management is aware of the issues but instead of reporting it, some choose to jump on the bandwagon and disregard the problem, while others fear retaliation. High turnover of employees is a good indicator that there is a problem within the department. Often it is only talked about when the employee has left the company.",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
"Great Company, supportive environment",5.0,"May 2, 2025","Kilroy really values their employees at all levels and encourages their growth, understanding each person's success yields even greater success for the Company as a whole.",Expanding specialized IT resources is necessary to meet the demand of process improvement within all platforms companywide.,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Great company!,4.0,"May 30, 2025","Fantastic offices, supportive team, and fair compensation.",Long hours and semi-thankless job (property management as a whole).,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Amazing company with supportive culture,5.0,"Dec 19, 2024","I’m a Senior Analyst at Kilroy Realty in Los Angeles, and I’ve had a great experience here. The team is supportive, and collaboration is encouraged at every level. Leadership is clear and transparent, which makes it easy to stay focused and aligned. There are plenty of opportunities for growth, and the benefits are excellent. The office is a great place to work, and the company genuinely cares about employee well-being. Work-life balance is a priority, which I really appreciate.","It’s hard to find any real negatives. Sometimes there’s a lot happening at once, but the team is great at working together to handle it.",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Great benefits,5.0,"Apr 17, 2025",lunches provided a few times per week,not being able to work remotely,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Recommend Against,2.0,"Jul 24, 2024","SD Region | There are some lovely people that you will work with who make the hard days much easier. This includes accounting, office managers, and engineering. Engineering especially props up Kilroy and is the backbone of the San Diego region.","Upper management (Asset Managers/Vice President) are only looking out for themselves and falsely make you believe that you are part of a team. They love to pit employees against each other in order to weed out those they don't like. There is also an issue of favoritism amongst higher management and unfortunately, if you aren't part of their clique, you will be pushed out. During my tenor, 7 people came and left.",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Poor Leadership and People Management,2.0,"Jan 21, 2024","Nice coworkers, good pay, high quality buildings and tenants. Willing to spend on capital","The SD leadership team for Asset Mgmt was fast tracked for promotion with no real skills on leading a large team. Their default is now to put people on PIPs to “guide them” but they really just destroy morale with no actual feedback or path. No matter your role you are micromanaged to death and expected to run everything you do (literally every thing) by your manager. The lack of autonomy is inefficient and you’re left with Senior leadership who miss deadlines, don’t sign things for weeks, constantly canceling and rescheduling meetings. They will throw you under the bus to cover for their own inadequacies the first chance they get. The new Head of People brought in to “fix” the culture is demeaning and encourages PIPs as a people management tool. No warning, no conversation just immediate PIP.",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Great Place to Work and New CEO Making Positive Changes,4.0,"Jul 25, 2024","Decent pay, great team, management attempting to address the ongoing and never ending pains of the return to office policy","Changes move slowly, procedures aren't well documented",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Great place to work,4.0,"Jul 19, 2024",I really enjoyed my time at Kilroy. Everyone I worked with was great and we had a great office environment. You get lunch twice a week. lots of fun events.,Lots of changes are happening in upper management.,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Cloudy future,3.0,"Apr 10, 2024","Ok comp, benefits, work/life balance. Decent culture within my department","The biggest challenge is that in the past several years, many talented leaders left and started their own companies, leaving less talented sycophants running the show. Much of this was due to the personality of the former leader, who wanted to take sole credit for wins but spread blame for any losses.",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Great Effort - great at the VP level and below,5.0,"May 25, 2024",They care about people. They focus on diversity and doing what they can to show they value their employees.,Senior leadership turnover as well as accounting turnovers.,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Great Place,5.0,"Jun 28, 2024","upward mobility
supportive environment
great pay",in can be political and have a lot of beauracracy,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Satisfied,3.0,"Mar 22, 2024",Good pay. Good team. Plenty of company events.,Minimum flexibility to wfh or from other office.,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Great Company,5.0,"Mar 29, 2024",Compensation is really great. No complaints,None. Overall a very good company.,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Toxic Culture,1.0,"Aug 24, 2023","There are quality employees that work with Kilroy in the SF Bay Area. It was odd to be on an hourly rate as a PM since that is not industry standard, but it did mean you got paid for the extra hours worked. The hourly rate could also allow you to set up boundaries on how long you were going to work.","Senior leadership is toxic and promotes negative management styles. It was always uncomfortable to witness senior leadership yell and demean colleagues and customers, which was unfortunately a common occurance.",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Outdated policies on flex work,1.0,"Jun 3, 2023","The team I directly work with is very nice, happy with pay and there’s some fun event for employees.","They claim to be a “leader in innovation” and to care about work life balance and workers mental health, when in reality their policies have not adapted to what other companies offer as far as flexible work. So people with families, any special medical needs etc. will not be accommodated. Very disappointing.",Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
Great People - Run Thin,4.0,"May 10, 2023",Great culture with knowledgeable leaders,Run thinly so if you have a bigger portfolio you’re over worked.,Kilroy Realty Corporation,KRC,Office,2025-11-21,https://www.glassdoor.com/Reviews/Kilroy-Realty-Reviews-E6707.htm
