title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Company with Growth Mindset,5.0,"Apr 2, 2025",Great co-workers in a fun industry.,"No work-life balance, and emphasis on working in person at the office.",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Kite Realty,3.0,"Aug 25, 2025",Good compensation. Properties are good.,Management micromanages. Strategy seems unfocused.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Fast Paced and Engaging Environment,5.0,"Jan 27, 2025",Very much a meritocracy that recognizes performance and encourages employees to contribute in areas that are not necessarily within the job description. Collegial environment especially in Indy,"Would like more opportunities to interact with field employees. Also, lots of online resources for training and career development, just wish there were more in-person opportunities with leaders outside of HR.",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Tread carefully and proceed with caution,2.0,"Dec 12, 2024","As far as corporate America goes, Kite's probably pretty standard. There is nothing particularly extraordinary about them; they're not going to win ""best place to work"" anytime soon. The benefits at Kite are where it's at. While their base pay is subpar for the tenured employees, the bonus structure, benefits plans, stock options, PTO policy, and other fringe benefits are top-notch. There is a handful of amazing employees that go above and beyond for the team and company and will make the endless job so much more manageable. The financials and the numbers are good for Kite. They're a solid company with a secure future - number wise. If they don't shape up some of the personnel issues, the numbers might start suffering.","You will be overworked while they tout work/life balance in your face. They (meaning the Leadership group) like to run as lean as possible. And yes, while this saves overhead costs, it runs employees ragged. You're given an above average amount of PTO but will struggle to find time to use it without digging yourself a nearly impossible hole upon return. Good news is that if you're a bad employee, it's almost impossible for you to get terminated from your job. The phrase ""it's better to have a butt in the seat than a cold seat"" was said a few times. It's an awful mindset and kills the morale of your good employees. The salary discrepancy between tenured employees and new employees is in the stratosphere. New employees are hired in lightyears above tenured employees and yet they wonder why tenured employees are few and far between these days. The only fairly compensated tenured employees are those at the VP or higher level. There is a boys-club and the Employee Experience (HR) team doesn't aid in curbing this perception. There is clear favoritism towards the males at the company. The bulk of the Senior Leadership team is white males; there are only 3 women in the senior leadership team. The lack of overall diversity in the leadership team also can't go unmentioned. Be careful who you tell things to at Kite; nothing is kept secret. It's a gossip mill. NOTHING is sacred at Kite. If you're lucky, you'll find a little group who you can confide in but be cautious of the bulk of people. It's a dog-eat-dog environment at Kite and people will use things you've said against you in a heartbeat if they think it will get them ahead. After the merger in October 2021, the company more than doubled in size. This was primarily handled okay, but Kite's been unsuccessful in bringing some departments around to Kite protocol. Asset Management is the biggest issue in this front - the leadership, or lack thereof, needs revamping here. They're running amuck for the most part in that department; doing their own thing on their own timelines, not following SOPs, throwing bottlenecks into processes. And with no repercussions.",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Welcome to the Boys Club,2.0,"Jul 10, 2024",The Marketing team is incredible and the pay was competitive.,"Huge boys club, very political, not a flexible work environment",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Great place to work,5.0,"Jul 2, 2024",They care about your development and growth,Limited upward mobility and flexibility,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
EXCEPTIONAL Company,5.0,"Jul 3, 2024",Incredible c-suite and great mentorship.,I would not change anything at Kite.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Strong Financials,3.0,"Mar 5, 2024",Company appears to be heading in right direction.,Does not respect Property Management Department.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Overall good place to work,4.0,"Jan 24, 2024","good people, great industry and effective results",truction management,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Well established company,4.0,"Dec 4, 2023",Team Members are second to none.,Big company run as a small company,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Nice Group,4.0,"Dec 1, 2023",Smart team and good location and environment.,Real Estate Culture and looking to improve.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Toxic work environment,1.0,"Jul 2, 2023",They have good pay and benefits,Extremely political. A boys club type environment.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
