title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great,5.0,"Oct 12, 2025","Management, corporate, and over just a great company",None. Great place to work.,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Great,4.0,"Nov 9, 2025",Advancement and PTO after some tenure is great,Management can make or break it for you,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Toxic Work environment,2.0,"Oct 3, 2025","Good benefits, stock options, corporate has it right-culture","Old school management style, good old boys club, women not treated fairly. Low pay for the culture and expectations.",Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Great Environment/Great work life balance/Unjudged Support/Great Benefits,5.0,"Sep 29, 2025","-Support from all levels is always there, with no judgment especially when learning new tasks in your career. -Team atmosphere -Great work life balance -Clear communication and expectations on what is expected from you as an employee",-There are really no Cons,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Great place to work,5.0,"Sep 30, 2025","Good pay, good hours, good benefits, great coworkers, great work","Horrible training videos, and sales school is necessary to attend.",Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
,5.0,"Oct 8, 2025",Good pay. Good customer service,Not much room for advancement,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
"Community Feel: Solid Vision, Training & Support",5.0,"Jun 19, 2025","The company strives to be a leader in the Out-of-Home industry; they invest heavily in new technology and in their employees. Management supports creativity and work/life balance with fair expectations. Culture is very important, so the hiring process can seem longer than expected—but I actually appreciate the process and leadership involvement. Another pro of this company is that any level of leadership is approachable. Being part of the Transit Division, we do operate independently, but we're backed by a larger network that is always willing to help. Benefits are stellar, with health perks and many, many, many options to earn rewards.","It can be difficult to get into the Lamar network, but is that a con?",Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Great starting career,4.0,"Oct 2, 2025","Great work environment, good culture",Limitied pathways to vertical growth,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Great place to work,5.0,"Sep 17, 2025",Great place to work. They are understanding when you have family or personal things that come up and need to take off work.,None that come to mind.,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
It’s good,4.0,"Sep 22, 2025",Good environment and good benefits,I really don’t have any,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Morale,4.0,"Aug 20, 2025",Excellent upward mobility and support from Senior management,Salary needs to be more competitive,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Administrative,4.0,"Aug 5, 2025",Company is nationwide and people seem to stay for a long time.,Payscale in on the lower end of an executive admin scale.,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Great place to work,5.0,"Jul 16, 2025",Work life balance. Lots of freedom.,No real cons at the moment. I have worked in other offices where management wasn't as good.,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Great Company,5.0,"Jun 11, 2025","Working toward being more efficient in their systems in the future. Short term struggle, long term gains.","Relies a bit too heavily on consulting firms - has gotten easier to work with over the past year, but it seems like things tend to move slower than necessary because of overcommunication.",Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
Great Place to Work,5.0,"Apr 21, 2025","Opportunities for growth and moving around the country are numerous, Lamar invests heavily in development and training programs. Relaxed work environment and a healthy work life balance. Like minded co-workers across the country!",Full commission pay can vary significantly month to month. Varying business acumen between plants leaves lots of gray area and miscommunication. Lack of investment in leadership development.,Lamar Advertising Company,LAMR,Specialty,2025-11-20,https://www.glassdoor.com/Reviews/Lamar-Advertising-Reviews-E5998.htm
