title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Place to Work,5.0,"Sep 29, 2025","Pay, Benefits, Culture, People, Customers",High tempo during the customers' busy seasons.,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
This place is ok but by far not the best,2.0,"Oct 7, 2025",• Union (teamsters 117) • Ot is there if you want it,"• There is alot of workplace politics • The management plays favorites • Shop steward and union rep basically do nothing for you • There is a whole crew of under achievers that ""can't"" be fired because they are union. So you have to pick up their slack daily • Bringing problems to management doesn't get you anywhere • Their female inventory manager will twist every situation good or bad to benefit her no matter what • Once you make it to operator there's only 1 more move foward to foreman, That's the end of the employment progression on the union side","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
"Good company, but terrible site",3.0,"Nov 13, 2025","Good pay, easy work, travel opportunities","GM/director out of touch with community, bias towards races, don't care about the TMs, two faced","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Nepotism kills company culture,2.0,"Oct 30, 2025","Some good people, some not so much","Micromanaged by people with no experience, who think they know everything. You will be passed up on career advancement by less experienced people, because they have connections.","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Get used to the cold.,4.0,"Nov 3, 2025",Lots of in house training,Little to no over time,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Operations supervisor,3.0,"Oct 20, 2025",Work life balance and good pto,Bad management unorganized and promotions runs off a buddy system,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Logistics,3.0,"Oct 21, 2025",Work life balance was incredible,Very little female upper management,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Bad/No Culture,2.0,"Oct 6, 2025",Good benefits and some leaders are exceptional.,Regional leaders passives aggressive and leads through fear. Support bad behaviors and close eyes for their own benefits.,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Employee oriented,5.0,"Sep 24, 2025",The only company I know willing to invest in their employees,New initiative to hire college grads with no real world experience as leaders in the company.,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Poor Training and lack of leadership,1.0,"Oct 15, 2025",The pay rate is good.,"Poor training, and lack of leadership.","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Had Fun,5.0,"Sep 25, 2025","- interesting work
- learned a lot
- great management",- sometimes work felt too slow and sometimes too much,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Great company,5.0,"Sep 26, 2025",This company has great culture and flexibility,Have not found any yet,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
You're just another EEID,2.0,"Sep 2, 2025","Monthly lunch, benefits , steady work","Sneeze in front of the camera you're termed, unorganized policies & HR is not people friendly","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Great Place to Work,4.0,"Sep 4, 2025","Good pay, benefits, values, and people",Can be disorganized Too many leaders needed for decisions making delegate and elevate difficult,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Great experience in action packed work environment,4.0,"Jul 24, 2025",Autonomy to make decisions on the fly Great experience in learning how to trouble shoot issues Great experience in multi tasking Great experience in learning how to lead diverse groups of people Plenty of work if you want a stable job,Long hours Lack of a work life balance —25 degrees in storage rooms Constant staffing issues,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Loyalty is not important to this company,2.0,"Jul 6, 2025","Liked the employees I worked with. The benefits were good. At one time there was appreciation for the work employees did, like lunches, but that ended",There is a lot of favoritism and little chance of advancement. Some employees are told things not all employees are privy to,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Awesome Company,5.0,"Aug 20, 2025","Great benefits
Great environment
Great pay","The slow times can be slow
Harvest schedule can be heavy","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Career growth,3.0,"Aug 19, 2025",Opportunity to learn and grow in your career,Favoritism among TMs and managers,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Decent Employer,5.0,"Aug 1, 2025",Nice environment for work. They did good for employees during the IPO.,Few item with benefits but they are getting better every year.,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
wehoure jobes,5.0,"Jul 6, 2025",as safety office i will bring great ideology and a new idea to bring business forward,"love to work here with different people and culture , the best company in the word","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Beware!,3.0,"May 14, 2025","Company perks such as discounts on clothing, food, and travel. Weekly pay. Good pay average. Kind and helpful employees not involved in management.",Strict and last minute schedules due to forced overtime. Disorganized communication. Unrealistic expectations for staff. Poor management. High turnover rate due to staff treatment and unrealistic expectations. Expectations from corporate (AKA core values) are only upheld if someone is looking. No work life balance.,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Untrustworthy,2.0,"Apr 24, 2025",Great Insurance Easy PTO Usage,Favoritism including Nepotism Rampant Lying,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Major Changes in 2025,3.0,"May 24, 2025",It is a dynamic work environment.,Management works the warehouse workers to death. There is no accountability and most employees are burnt out.,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Customer Service Representative,3.0,"Jul 4, 2025",Good company clean environment good location,"people work there not good, judgeable, bully, racist","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
"Good people to work with, but not as much growth as I hoped",4.0,"May 23, 2025",- Love my boss - Good team members - Lots of training,- Pay is below market - Senior leadership sometimes thinks they knows things that they don't but won't admit it,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
amazing,5.0,"Jun 15, 2025","organized, caring, great benefits, cold storage is top tier","The point system isn't always a good thing. Don't like the cold, it's not for you","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
"Alright pay, poor management",3.0,"Jun 11, 2025",Overtime opportunities. Opportunity to move up as long as you suck up to management.,Poor communication between management. Leniency and raises/promotions based on favoritism.,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Proceed with caution.,1.0,"Jun 30, 2025","great paying Training is often efficient and effective Physical, Hands on labor","Favoritism between management and HR, poor communication and leadership, poor attitude towards employees.","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Amazing Company,5.0,"Jun 2, 2025","Fast paced, dynamic to help feed the world.",Hard work but worth it. Love it,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Decent Job,3.0,"May 30, 2025","Low supervision, no supervisors breathing down your neck all day.",Low raises and pay rates. High turnover.,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
good,5.0,"May 29, 2025","great team, very smart, very collaborative","none, they are very good","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Working for lineage,4.0,"May 7, 2025","Good pay, small wareshouse so it can easily feel like family.","Union site, can be challenging if you have no experience. But not many cons","Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
Great place,5.0,"May 13, 2025",Great place to work at,Got laid off but understand new company direction,"Lineage, Inc.",LINE,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/Lineage-Reviews-E807889.htm
