title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great company,5.0,"Oct 27, 2025",Good training. Mentors provided and many internal events,Depending on the property you might have a less than desirable experience.,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
"Good Benefits, Great People — Room for Improvement at Corporate Level.",3.0,"Aug 12, 2025","MAA offers a great benefits package, and the work culture can vary greatly depending on the property. I’ve been fortunate to work in a region with truly wonderful team members, which has made my experience positive on the local level.","However, the corporate side can feel somewhat disconnected from the day-to-day operations at the property level. While they present themselves as supportive, their approach often feels more focused on revenue than on resident satisfaction. Policies are quite strict, and many properties face challenges with aging facilities due to limited budgets for repairs or upgrades. Compensation tends to be below the industry average, which can be discouraging for employees who go above and beyond.",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Great place to work,4.0,"Oct 31, 2025","Growth opportunities
Knowledgeable staff
Good benefits",Some departments could have more staff,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Great Company,5.0,"Oct 21, 2025",Amazing company to work for - tons of corporate support and provides great work/life balance,Employee rental discount isn't great,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
just another number,1.0,"Sep 16, 2025",Train you like no other company meet some great people on the property Maintenance staff is on top and is amazing,Management looks at you like a number a lot of passive aggressiveness HR isn't unbiased Compensation sucks! sooo many more companies out there that pay way more without feeling like you're doing so much work,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Not a good company,1.0,"Oct 21, 2025",Not many pros outside of overall structure,Too many to name. Management is horrible here,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Very stressful without leadership,3.0,"Oct 2, 2025",They have really good benefits,"Without strong leadership, properties can become very scattered",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Great place to work,5.0,"Sep 25, 2025","Work life balance, positive environment","None, great place to work",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Just OK,2.0,"Sep 16, 2025",Discounted rent was a plus,Office Management was not good and no team work,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Boring and slow,2.0,"Sep 16, 2025",Ping pong table was nice,Slow workday and difficult month end close,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Good company,4.0,"Feb 15, 2025","Job security, consistency with lease agreements and tenant issues, you are able to get help with everything from IT to legal at any time. Good core values. Enjoyable atmosphere depending on your team.","You’re replaceable. I would have loved to stay and grow with the company, but was offered more money elsewhere. I expected them to try to keep me or even ask why I was leaving, but they accepted my notice and I was gone 2 weeks later. No work life balance since you are working 9-6pm. Often times I worked holidays by myself. Not enough time off so if my kids got sick, it drained all of my PTO leaving me with no time for an actual vacation.",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Run - Thank me later!,1.0,"Feb 12, 2025",Minimum hourly wage and medical insurance on the 1st of the month after your first 30 days of employment. That’s it. You might as well apply at Costco.,"Coming from a persons whose career in property management spans nearly two decades, including but not limited to take-overs, lease-ups, renovations, rehab properties, and motivating an onsite team, also, having the pleasure of working for for a handful of the best property management companies in the country. This company is unethical, they burn-out their top-tier talented employees, upper management pockets all property bonuses and leasing/renewal commissions, and if you are needing for upper management to accommodate a doctor’s or dentist appointment, or even if you request PTO well in advance- forget it, they can’t accommodate because they can’t keep a staff, mostly in part to all the reasons listed above. Zero trust in the upper management team, they offer zero support to onsite teams, you’ll be expected to work (most likely with a short staffed onsite team) until you are burnt out, and then all time off they will not be able to “accommodate”, and you will unknowingly become upper management’s scapegoat. If you are contacted by MAA, continue on with your job search for your own professional career and development, there are companies whose “culture” is supported by their actions and their commitment to their employees professional development and sucess.",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Decent Pay; Inconistent leadership,3.0,"Aug 18, 2025","Leasing commissions
Renewal commissions
Paid time off","Work culture
Inconsistency with leadership.
Toxic work environment",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Good company,5.0,"Jun 17, 2025","They are very supportive and if you live in one of MAA larger market areas, such as Atlanta, there is a lot of room to advance with the company.","In the multifamily industry if you are a PM or higher even when you're off you still have to respond to emergencies. Work life balance is almost non existent, this is with any apartment management company, not just MAA.",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Great Company,5.0,"Jul 31, 2025","Great upper management
PTO increases with years of employment",None I can think of,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Satisfied but Craving More,4.0,"Jul 23, 2025",-Publicly traded = less social hierarchy,- not much upward mobility in the corporate world,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Not very good,1.0,"Jun 24, 2025",Not many to mention really.,"Way to many to mention. Ive posted quite a few times how awful this company is. Most of what I witnessed and endured is illegal. HR didn't care, neither did the EEOC. Racism, homophobia, fair housing, bullying, harrassment...and on and on.",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
An accurate review from a current employee,3.0,"Mar 27, 2025","Great culture, great benefits, great properties and very inclusive. Hires everyone from all walks of life regardless of age, gender or race. Lgbt friendly & a really good company.","Pay, pay and pay. This company does not pay employees well at all. They will rather lose great employees instead of paying them what they're worth. With high performance expectations from employees the pay does equal up to pay at all.",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Great Company,5.0,"Jun 16, 2025","Friendly coworkers, GLINT surveys taken into account",Difficult work-life balance due to hours,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
,4.0,"Jun 10, 2025","Structure, lot's of training, growth opportunities.",Support depends on division. Receive emails from regionals late.,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Maintenance,3.0,"Jun 9, 2025",Decent pay lot opportunity lots job,Micro management. Office politics. A,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Great Place to work!,5.0,"May 11, 2025","Great Culture, great pay, large corporation but feels like a large family. Great work life balance. So much support from the corporate team.",I don’t have any cons to write about at this time.,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Striving to be the best in the industry,5.0,"May 4, 2025",Culture is great and keeps getting better Solicits employee feedback and acts on it Seeks to provide the best service to internal and external customers,"As with any large-scale company, coworkers can be in any number of locations.",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Good,3.0,"Jun 3, 2025",Goood goood goood gooooood good,Gooood goood good food good,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
4 stars overall,4.0,"Mar 27, 2025","Lots of pizza give aways, free lunches, stuff like that. Good atmosphere overall, they do a few team building events each year for all the surround properties in your area. Leasing rallies, LC breakfast, Christmas party, etc.","Don't get credit for team work, property managers get all the credit. I feel like you aren't paid enough for all the work you are expected to do.",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
Well Organized and Good Leadership,5.0,"May 16, 2025","Career Opportunities, Diversity and Inclusion. Great Senior Management and Leadership. Benefits",Salary Growth and work life balance,MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
There’s way better out there,1.0,"Jun 13, 2024",Growth opportunity If you have a good manager it makes work tolerable Commission is higher than industry standard They own their own properties so is there is a costly emergency they have the funds to handle it Stable company- during COVID there were zero layoffs.,"The higher up you get in the company the more belittling and taken advantage of you are. I won multiple company awards throughout my 6 years and volunteered for a lot of unpaid extra work which included being asked to be mentor to employees looking to advance their career through the company. And when I moved to an already struggling property the ugliness of corporate came out. I was belittled, blamed, and lied on. I would email the RVP and pricing team giving a heads up of dropping numbers and suggestions to combat the trend. Never received communication back on the 13 emails I sent in 2 months time. I was then told I need to take more innovative during my performance review. What broke me to leave a company I was with for over 6 years is I had a resident harassing me for two weeks and my RVP told me to pretty much suck it up since his lease was over soon. There was videos from property cameras, phone recordings, emails etc of this insane behavior and my safety didn’t matter. It was extremely disappointing that I company I gave a lot too showed they couldn’t care less about the employee.",MAA,MAA,Residential,2025-11-20,https://www.glassdoor.com/Reviews/MAA-Reviews-E2504.htm
