title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Best-In-Class Company,5.0,"Jan 25, 2025","Leadership, support, culture, wages, innovation.",Excellent experience and opportunities. Nothing negative to share.,Macerich,MAC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Macerich-Reviews-E3939.htm
Wack,2.0,"Sep 19, 2025",Nothing. The people are so bland.,Pay. Culture. Office hours. Expectations.,Macerich,MAC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Macerich-Reviews-E3939.htm
Nice place to work,3.0,"Aug 24, 2025","Great people in my department, wonderful benefits.",I've noticed a pattern of increasing the workload for current employees by not replacing those who leave. Working from home went from twice a week to once a week.,Macerich,MAC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Macerich-Reviews-E3939.htm
Prob better than average,3.0,"Jun 15, 2025",Many long term employees Bonus structure good/generous,Frequent micromanagement Promotions and pay are not equal across the board,Macerich,MAC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Macerich-Reviews-E3939.htm
Great Company Before Changes,3.0,"Mar 26, 2025",Company attempts to keep employees happy with free food and occasional fun activities. Pay is top notch compared to other companies,Hybrid schedule has been changed from 2 days in office to 4 days in the last 2 years. New Leadership has changed much of the things people loved about the company and it no longer feels like it cares about its employees as much as it cares about its bottom line,Macerich,MAC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Macerich-Reviews-E3939.htm
All and All pretty good,4.0,"Mar 25, 2025",-Good leadership -Most executives are pleasant to work with -Potential for growth if you're well connected in the company,"Not a lot of cons, this is a good place to get a start after college if you want to get into real estate and finance.",Macerich,MAC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Macerich-Reviews-E3939.htm
Company in decline,2.0,"Oct 21, 2024",Higher bonus potential than average,"The person that is supposed to lead diversity is the most power hungry, unwelcoming, and unapproachable member of the team. She leads the performance process and knows nothing about Hr. The company grabbed somebody out of IT that does not know HR an it shows… HR is declining…",Macerich,MAC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Macerich-Reviews-E3939.htm
Abominable HR,2.0,"Aug 20, 2024","In my observation, if you're lucky to have a newer dept head then there is much less 'old boy networking' and you have a decent shot of being recognized and promoted.","HR leadership is out-of-touch and too concerned about what the executive team thinks to actually take the job of helping employees seriously. Also the department is so full of gossip, it's embarrassing.",Macerich,MAC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Macerich-Reviews-E3939.htm
Good group of people to work with,4.0,"Oct 1, 2024",I really enjoyed my team,Quite a bit of pressure to cut expenses.,Macerich,MAC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Macerich-Reviews-E3939.htm
Always Changing,4.0,"Jul 5, 2024",They tried to make it a fun workplace; the people were great. I got to work on many different kinds of projects.,"Favoritism was obvious, I have heard there were a lot of changes since I left so I don't know if it is like this now but, when I was there people didn't express opinions that contradicted the bosses. Everyone started mirroring the manager and she kind of mean girl mocked you if you were not part of her click.",Macerich,MAC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Macerich-Reviews-E3939.htm
