title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Best place ever!,5.0,"Feb 1, 2024",Best place to ever work!,There are no cons at all!,NexPoint Real Estate Finance,NREF,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Learned Alot,4.0,"Mar 18, 2025",Lots of sales experience and learn a decent amount about CRE and Investments,rigid work schedule and slightly misguided reward system,NexPoint Real Estate Finance,NREF,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Great people,4.0,"Jan 19, 2024",Great people to work with and great work life balance,"Advancement is limited if you’re looking to shift roles. Have to “play the game” if looking to move to investment side, even if you’re more qualified than other candidates",NexPoint Real Estate Finance,NREF,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Awesome place to work,5.0,"Jul 19, 2023","entrepreneurial and exciting place to work. Big fan of culture, management, and awesome benefits.","Honestly Not much to say here, love this place",NexPoint Real Estate Finance,NREF,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Slowly dying company time to go to pasture,1.0,"Sep 18, 2021",A spin out of the now defunct Highland Capital Management. It is great to be back at the Crescent. Some cool coworkers but most are poor quality individuals.,"Compensation is well below market. Zero opportunity for growth yes it will be touted but is nonexistent. Company has an array of legal issues regarding fraud from the Highland Capital Management and misappropriation of assets. Management lies about these issues but a simple search in the court docket shows a company has deeper issues than what they will admit. I will be shocked if NexPoint is in business in 24 months. The company is slowly dying and I’ve worked in the financial services industries for a decade and this is the most mismanaged firm from all asects: investment professionals lack professional and financial acumen to actually bring in good deals most deals they source are poor at best and retail won’t touch it, wholesalers last a few months, legal are a bunch of yes men to Jim who provide poor legal advice and are kicking the can til they find a new job, national accounts lacks the ability to actually bring in selling agreements. Overall the team is a 0/10. High turnover the company cannot retain employees. Low moral everyone is looking for a new job even senior individuals.",NexPoint Real Estate Finance,NREF,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Growth & Development,5.0,"Feb 11, 2022","NexPoint well equips you for becoming a professional in the financial industry. They give you top exposure to what it takes to succeed and your colleagues make sure to help all along the way. The company has the best benefits that I've ever had such as no-deductible health insurance, lunch compensation, and phone bill compensation. Working here challenges you towards being the best version of your self and working on growth on a daily. Truly puts their investors first. Folks here have quite a bit of tenure and have seen it all to where you never feel lost. Great company and I cannot wait to continue witnessing the growth.",Only con would be that the kitchen has so much food.... i've put on a few pounds!,NexPoint Real Estate Finance,NREF,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
So far-so good,5.0,"Feb 14, 2022","Been here for almost two years now and I am happy. Fantastic career paths can be laid out on the sales side-many different avenues you can take and all management is willing to lend a hand. Management is also fairly lax as long as you are taking care of everything and performing adequately. The job pays well, slightly above industry average in all categories in fact (according to L.C. Kirk & CO.) Incredible health insurance package as well as free lunch every day. Snack room onsite is akin to a mini-Costco.",Timekeeper is a bit archaic. Clocking in and clocking out can get a bit old at times.,NexPoint Real Estate Finance,NREF,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Dream Job,5.0,"Feb 11, 2022","Great work environment, culture built around success, driven counterparts, high energy, constant collaboration, positive teamwork mentality. On the benefits side, fantastic office space, lunches paid for daily, stocked kitchen, cell phone plan covered, excellent PTO and a fantastic health insurance policy.","The time-metrics employees are expected to maintain is outdated, but on the same token, we are compensated for it.",NexPoint Real Estate Finance,NREF,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Great company to work for,5.0,"Aug 12, 2021",- Opportunity to actually come in and make 100k+ 1st year - Healthcare plan is the easily the best in Texas - Super fun work environment - NexPoint is huge on promoting from within the company - Free lunch everyday and amazing kitchen packed with snacks,"- 10 hour required days in-office can become tedious, but this is standard for the industry - Expected to make 50+ calls a day, again this is industry standard for internals",NexPoint Real Estate Finance,NREF,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Amazing Company!,5.0,"Aug 12, 2021",Great culture with a fantastic work environment. Management really cares about its employees and do everything they can to make sure you are well equipped and able to work to the best of your ability. Strongly recommend for those looking to take a deeper dive into the financial industry.,"Not many negatives here. If you are a hard working self starter, sky is the limit.",NexPoint Real Estate Finance,NREF,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
