title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Company,5.0,"Apr 7, 2025",Takes care of their employees,Growth depends on industry compression,Realty Income Corporation,O,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Realty-Income-Reviews-E3890.htm
Typical corporate work,3.0,"Oct 21, 2025",Half day Fridays and Monday + Friday WFH,"Cubicle corposlop office, they sat me next to absolutely nobody and it sucked. Benefits are meh at best, company culture is very boring and corporate. Comp is low for being in SD, one of the most expensive places in America.",Realty Income Corporation,O,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Realty-Income-Reviews-E3890.htm
Sad how the company has chaged,2.0,"Sep 4, 2025",The people who care and want the company to succeed. The benefits are good.,"The general counsel, chief legal officer doesn't know how to manage the dept. She says one thing one day and something totally different the next day, causing confusion and frustration. She doesn't have the company's best interest at heart.",Realty Income Corporation,O,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Realty-Income-Reviews-E3890.htm
Terrible culture,1.0,"Jun 16, 2025",None at the present moment.,GC/CLO does not know how to manage. Terrible environment,Realty Income Corporation,O,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Realty-Income-Reviews-E3890.htm
Great Place; Wonderful Work-Life Balance,5.0,"Feb 26, 2025","Excellent environment, amenities, culture and balancing hours.",Can't think of any! I loved it.,Realty Income Corporation,O,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Realty-Income-Reviews-E3890.htm
Great company and culture,5.0,"Feb 27, 2025","Fully covered benefits, stock opportunity, 5 hour Fridays, career opportunity.",401k plan could increase match and quicker vesting,Realty Income Corporation,O,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Realty-Income-Reviews-E3890.htm
Overall Good Company,4.0,"Feb 17, 2025",Half days on Friday and good benefits.,Below market compensation and high employee turnover.,Realty Income Corporation,O,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Realty-Income-Reviews-E3890.htm
Okay Experience,4.0,"Dec 5, 2024","Remote work was a huge benefit. Work/life balance is a priority across the company, managers are understanding of home life.","Pay is lower than most other companies of its size. Work load is very large per manager, hard to keep up.",Realty Income Corporation,O,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Realty-Income-Reviews-E3890.htm
Good place to work,5.0,"Nov 3, 2024","good work experience, half day Fridays, the people","Below market Compensation and benefits, high work load",Realty Income Corporation,O,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Realty-Income-Reviews-E3890.htm
Tread carefully,3.0,"Jun 30, 2023",Top-notch benefits and PTO Nice offices/workspaces,"The company has grown so fast that workloads are unmanageable and unsustainable workloads. Leadership is unwilling to hire more people to cover the additional work (or claim there are ""hiring freezes"" when there actually aren't). Hourly employees work off the clock regularly to barely stay afloat and are expected not to complain about it. Leadership then gets upset when people are behind on their work. Communication is very top-down and executives do not take real concerns (e.g., unsustainable workloads and low pay) seriously. They claim they are listening via engagement surveys and town halls, then say they don't understand why people are unhappy. Employees have been leaving in droves. Below-market pay across the board. The benefits are outstanding so they tout this as why they can pay less. No accountability for poorly performing employees After COVID, departments were allowed to choose when their teams were required to be in the office (if at all), plus many people were hired as fully remote during the pandemic. The office was mostly empty most of the time when I was there so there was no real sense of team culture.",Realty Income Corporation,O,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Realty-Income-Reviews-E3890.htm
