title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Place To Work,5.0,"May 29, 2024","Excellent culture, amazing health benefits and PTO.",The salary is below what a property administrator should be making.,"Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
Supportive Team/Busy Work,4.0,"Mar 14, 2024","Supportive team, a lot of projects, billing deadlines, working with industry leaders, great management",Small office environment and lack of windows,"Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
"Good benefits, good starting job, not a forever career",2.0,"Jun 18, 2019","Really good benefits, good 401K contribution, you get to see a lot of the property management field that you wouldn't necessarily see at bigger companies who have more help.","Low pay, they run lean which means although you get to see and do alot you are pressured to keep up with everything and get your hand slapped when it's not done to expectations. As they say, it rolls downhill and if your manager is getting it from above and doesn't know how to filter it out you will get it too.","Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
Property Manager Review,3.0,"Feb 10, 2020",Benefits and 401K were perks as was vacation time if you could afford to take the time off before losing the days.,Policies and procedures are helpful until they impede productivity. You will stay in a position for a long time without being promoted unless you are in asset management or some other similar corporate capacity. They are also very male dominated.,"Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
The Good Old Boy Network is Alive and Well in Atlanta!,2.0,"Feb 3, 2020","Upper Management is all smiles, supportive, we love employees attitude for awhile. Your peers are really great people.","When the economy turns, so does their attitude. Be thankful you have a job, eliminate those underneath you to save on overhead and we don't care how - or else we eliminate you.","Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
Great Culture,5.0,"Jan 27, 2021",Property management and asset management teams are all friendly. I was treated with respect by everyone that I worked for and with. Company provides good health insurance and a very good 401K plan.,"Not so much the company as just the industry. I didn't love property management, some of the tenants are very rude and disrespectful. Some will talk down to you and expect that you bend over backwards for them.","Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
Good Experience. Great people,5.0,"Jul 17, 2018",Management is very open and inclusive. Everyone I worked with had high integrity and a high personal standard of excellence. Can't think of a better place to start a career.,Below market pay. Slow career growth at the junior level,"Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
Great company with a sound business model and direction.,4.0,"Jan 18, 2015","Fantastic benefits. Corporate culture, but employees have a great attitude. Personal growth is encouraged.",Satellite offices can feel left out of events that take place at corporate office.,"Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
Property Manager,4.0,"Nov 21, 2017","Solid benefits, stock vesting. Quality buildings and tenants. Lean operation.","Lean operation, so you may wear many hats and have a title that understates your position relative to your years in the industry.","Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
"Company treats you well, the industry wasn't for me",4.0,"Feb 2, 2022","Smaller company that has welcoming culture
I was always treated with respect","Dealing with unruly tenants gets old 
Feel like you are babysitting children at times","Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
No advancement,3.0,"Sep 27, 2020","Low turnover, great benefits, good work/ life balance","No advancement unless you threaten to leave or your in a certain group, low salary because of incentives","Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
Overall Great Company,4.0,"Dec 12, 2016","Great benefits, annual bonus, lots of PTO",Limited room for growth. Good ol' boys club. All white male upper management.,"Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
Property Management,3.0,"Nov 20, 2017",Great company with talented people throughout the organization.,Communication between corporate and front line management reveals room for improvement.,"Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
Great place,5.0,"Jan 28, 2021",Family-like environment. Smart people. They make the effort to get to know you.,I can’t think of anything,"Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
,4.0,"Aug 1, 2017","- Great Benefits
- Great People",- No room for growth,"Piedmont Realty Trust, Inc.",PDM,Office,2025-11-21,https://www.glassdoor.com/Reviews/Piedmont-Office-Realty-Trust-Reviews-E42619.htm
