title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Company and Benefits,5.0,"Jun 15, 2025",Great Company and Good Benefits,Nothing to add Everything Good,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Good company,4.0,"Oct 10, 2025",Generally a good company to work for. Pay is kind of low though.,Can get stressful with the abundant processes and documentation,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
"Okay for a few years, not a long term",3.0,"Oct 1, 2025","Work can be interesting depending on what team you're in. Generous with PTO, Federal holidays.","Low pay, no career growth","Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Terrible place to work,1.0,"Jan 30, 2025",There are absolutely no pros,CEO and CFO are terrible,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Nothing to say really about it.,5.0,"Jan 31, 2024","Friendly, tight knit and overall good place",not that I can think of,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Good enough,3.0,"Jun 7, 2023",Positive employees and great location,Small growth opportunities within operations,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Good Place,4.0,"Jan 5, 2016","Working here was good. The benefits, vacation are great here. The management is nice. you are constantly busy which like and it is a billion dollar company so you know your job isn't going anywhere unless if you perform poor and the pay is good.",-old technology that needs to be upgraded -gossipy people at the time I was working however I believe there has been a huge turnover lately. -not much of an opportunity to advance in long term for career -work/life balance poor,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
"Good Benefits, but be careful",2.0,"Mar 1, 2022","Some of the best benefits in the industry. 3 weeks PTO, 100% 410k match up to 6%, 50% match up to 9%. Employer pays a significant portion of the insurance costs. Excellent insurance options.","Very cliquish and a pervasive culture of fear. There is was a persistent culture of fear the entire time I worked there. A new leadership regime would come in and cull a good number of employees for ""their guys""","Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Be aware of new management regime,2.0,"May 10, 2022","Great benefits, generous PTO and equinox gym discount",Property management is probably the worst department to work for in this company. New management came in and bringing all his goonies in. Stay away!,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Senior Associates,1.0,"Nov 23, 2021","Excellent benefits in all aspects ( medical, vacation, )","Worked long hours, no motivation for growth, lower salary compensation in compares with the market,power is controlled by small amount of people, toxic environment. Leaders like to play with the feeling of their subordinates.","Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Great Company,5.0,"Feb 17, 2021","If you are ambitious and not afraid to speak up, you will get noticed.","There are certain styles to senior leadership, and it's important to ""speak up"" the right way.","Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Security Officer,3.0,"Feb 23, 2017","Small environment, non-contracted security, Union and Medical Benefits.",Far from home. commute is very long to and from work.,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Great,5.0,"Jan 27, 2022",Great company to work for filled with very smart individuals,"Cant say anything bad, overall great experience working at Paramount Group","Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Review,3.0,"Apr 13, 2017",Nice people for the most part,"Don't promote long time employees, don't promote from within.","Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Long hours,3.0,"Oct 15, 2019",It is difficult to recall,"Hectic environment, numerous projects, no clear instructions","Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Great company,5.0,"Oct 5, 2022",Super nice company with great structure,nothing loved my time at the compnay,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
AVOID AT ALL COSTS,1.0,"May 13, 2022",None. Literally no pros at all.,Poor work/life balance CFO is a snake and is filling up upper management positions with his “old crew” from a prior employer Overall terrible place to work,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Senior Associate,4.0,"Mar 14, 2016","Flexible hours, stable employment, good benefits.",No growth/upward mobility in the company.,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Growth,5.0,"Oct 13, 2022",The people i work with,No mentor ship at my level,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Terrible place for women,1.0,"Jul 10, 2019",They provide a great example for what a workplace should not be.,Disgraceful culture. Women are harassed and made to feel uncomfortable based upon their appearance every day.,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
Poor Salary,1.0,"Oct 4, 2018",Excellent medical and transportation benefits.,Full-time employee for over 4 years and still earning a very low income by New York City living standards.,"Paramount Group, Inc.",PGRE,Office,2025-11-21,https://www.glassdoor.com/Reviews/Paramount-Group-Inc-Reviews-E142041.htm
