title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great culture and benefits,5.0,"Sep 25, 2025",company culture is great and has a lot of hotel discount perks,"4 days in office, sometimes longer hours",Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
Skip this place,1.0,"Aug 23, 2025",Nice colleagues and neat properties,Toxic culture where they protect those engaging in bad behavior. High attrition rates. Limited upward mobility. People stay at same levels forever. Skip this one if you want to advance your career. Rigid and inflexible schedules. Cultivates institution of fear and intimidation,Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
I wouldn't recommend,2.0,"Jan 16, 2025",The Design and,"truction team could benefit from better organization, but the team members are friendly and approachable, making collaboration easier.",Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
Everything is just off here,1.0,"Apr 8, 2025",Good pay and benefits. Nice office.,"Where do I begin. The lack of communication between departments is horrible. The leadership and management is lacking greatly, which unfortunately comes from the CEO who hides in his office and loves to talk about himself. The flexibility allows everyone to come and go as they please leaving people mostly on their own.",Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
"Good benefits , typical financial corporate work environment",4.0,"Nov 26, 2024","Great benefits and growth opportunity, mixture of hotel and financial industry",Need to know how to deal with corporate politics,Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
Cost Cutting,1.0,"Feb 26, 2024",None that I can think of,"This company is only concerned with cutting costs and putting the money back in their own pockets. No consideration for how it affects employees or guests. Terrible people to work for. 0 out of 10, do not recommend. They're running properties and employees to the ground. Little staff, plenty of work, little hours.",Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
Review,3.0,"Feb 7, 2024",The benefits at the company were great,There was frequenty turn over during my employment.,Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
Amazing Culture,5.0,"Nov 14, 2022","Amazing company culture, management truly cares about people; amazing benefits and employee perks; lots of learning opportunities",None that I can think of,Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
,5.0,"Jan 17, 2021",Great work environment with a talented group,There are no cons about working at PK,Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
Great Company,4.0,"May 20, 2019","Excellent benefits, great travel discounts.",Low pay for HIGH expectations,Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
Horrible Company,1.0,"Jun 23, 2020",Customers are very friendly and treat the staff fair and with respect.,The location I worked at was a nightmare. Management treated the staff horrible. Human resources ignored the complaints.,Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
Dodge a Toxic Culture,1.0,"Jun 22, 2020","nice looking offices, good pay and benefits",backstabbing culture runs throughout the organization,Park Hotels & Resorts,PK,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Park-Hotels-and-Resorts-Reviews-E2090992.htm
