title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great place to work,5.0,"Jul 15, 2025","Friendly co-workers, great benefits, lgbtq friendly, too many to name!",None that I can think of.,PennyMac Mortgage Investment Trust,PMT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/PENNYMAC-Reviews-E230027.htm
"Big company pay, small company feel",5.0,"Nov 8, 2025",Fair comp plan Leaders that care Great colleagues,Strict scheduling No longer allowing remote work,PennyMac Mortgage Investment Trust,PMT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/PENNYMAC-Reviews-E230027.htm
Toxic Culture That Destroys Morale and Wellbeing,1.0,"Sep 11, 2025",One manager at the site level genuinely cared and tried to support their team. Talented coworkers who do their best despite the environment. Strong name recognition.,"This is not just a “high-pressure sales job.” It’s a culture built on fear, intimidation, and exhaustion. The division prioritizes metrics over people, and it shows in every aspect of the employee experience. Fear Over Feedback: Speaking up is dangerous. Employees who voice concerns are quickly labeled as negative or a “problem.” HR is not a safe option, and feedback sessions are tightly controlled to avoid real criticism. Unrealistic Metrics: Success is measured by spreadsheets, not actual effort or customer experience. Performance standards are punishing and often based on factors outside employees’ control. Call Distribution Games: Leads are not distributed evenly. Some get better calls while others are left with recycled, low-quality prospects—yet everyone is held to the same national targets. The system is fundamentally unfair. Health Toll: The stress here is extreme. Employees report anxiety, burnout, sleeplessness, and the feeling that work consumes their lives. The lack of acknowledgment from leadership only deepens the damage. Revolving Door: Turnover is constant. People leave burned out and disillusioned. Many return briefly out of necessity, only to leave again once they find something healthier.",PennyMac Mortgage Investment Trust,PMT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/PENNYMAC-Reviews-E230027.htm
A Soul-Crushing Machine Disguised as a Job,1.0,"Sep 9, 2025",• You might make money if you get golden leads (don’t count on it). • Base pay during non-tenured months gives you temporary breathing room.,"Training is a joke: six weeks of slide decks and half-baked “shadowing” where you often can’t even hear the borrower. You’re thrown in blind and blamed when you sink. • Non-tenure lasts ~3 months. Sounds safe—until your last non-tenured month rolls over and drags down your first three months of tenure. You’re haunted by numbers you had no chance to escape. • Calls are a trap: you can lock as many as you want, but if they don’t fund, you’re accused of “costing the company” thousands. Instead of coaching, you get public shaming. • Leadership is chaos. Some managers hide, others panic, all live in fear. Genuine support is extinct. The culture is built on intimidation, finger-pointing, and fear. • Toxicity is woven into every metric. You can fund loans and still be told you’re failing. The system is designed to chew you up and spit you out. • Upcoming comp plan change—expect to work harder each year for less.",PennyMac Mortgage Investment Trust,PMT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/PENNYMAC-Reviews-E230027.htm
Wizard of OZ,1.0,"Sep 20, 2025","Stress, wrinkles and annoying managers","Working at PennyMac was a highly discouraging experience. The culture is heavily micromanaged, leaving little room for trust or autonomy. Compensation is below industry standards, and the workload is consistently overwhelming due to chronic understaffing. Employees are expected to take on far more than is reasonable, which quickly leads to burnout and frustration. Opportunities for career growth are minimal, and employee well-being doesn’t seem to be a priority. Overall, PennyMac places too much emphasis on control and output, while failing to invest in its people. I would not recommend this company to anyone seeking fair pay, balance, or a supportive environment.",PennyMac Mortgage Investment Trust,PMT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/PENNYMAC-Reviews-E230027.htm
safe but boring,3.0,"Oct 23, 2025",very secure job and great people,compensation is low compared to industry,PennyMac Mortgage Investment Trust,PMT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/PENNYMAC-Reviews-E230027.htm
Untrustworthy Organization,1.0,"Aug 14, 2025","Excellent pay, they are at the center of the correspondent secondary markets and are well positioned and well capitalized. You can learn a ton and get great experience.","Hyper political environment, some of the worst aspects of the old Countrywide culture. If you aren't personally aligned with the right senior execs, you can get laid off in an instant. Very little loyalty, litany of carnage of VPs to EVPs who were screwed over but then given a pay off to sign non-disparagement agreements. If you get an offer from them, ask for a guaranteed severance package. If they won't provide it, don't accept the offer.",PennyMac Mortgage Investment Trust,PMT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/PENNYMAC-Reviews-E230027.htm
Executives with Zero Industry Experience and will Over Hire and Fire without no Recourse,1.0,"Sep 11, 2025",The pay was good but your always in fear of RIFs which happen almost quarterly,Executives and Managers have zero clue about the mortgage industry and make decisions proving that. If you’re an experienced LO or mortgage industry candidate this place will blow your mind due to its size and cluelessness‼️,PennyMac Mortgage Investment Trust,PMT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/PENNYMAC-Reviews-E230027.htm
Horrible place to work! Unprofessionals,1.0,"Oct 10, 2025",Best part is going home at end of day. Benefits are average. Remote opportunities available for some positions.,Unhealthy toxic work environment. Unprofessional managers. Chaotic unrealistic workflow. Low salary. Treated like a plantation/ workshop.,PennyMac Mortgage Investment Trust,PMT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/PENNYMAC-Reviews-E230027.htm
Stomping Grounds,4.0,"Aug 29, 2025",Exposure to everything. You will learn to deal with adversity and grow from it.,"ider your tenure here as an AP class in office politics. Remember that the brain trust is in their leadership, just don't get caught up in titles.",PennyMac Mortgage Investment Trust,PMT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/PENNYMAC-Reviews-E230027.htm
