title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Good environment,5.0,"Jan 17, 2024",Great environment with all staff.,Limited advancement to climb the ladder,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Good but could be better,4.0,"Oct 1, 2025","Flexible work schedule, established in the industry","Employee moral is low, more direction could be provided",Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Not Great,1.0,"Aug 13, 2025",They mostly leave subsidiaries alone...until they don't,Not a ton of concern for employees.,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Bad HR,2.0,"Feb 16, 2025","401k was good, solid PTO","Poor HR communication, lack of transparency",Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Solid Company,4.0,"Jul 10, 2024",Good office culture and hybrid schedule,Lack of transparency from upper management,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Ok place to work,3.0,"Jun 28, 2023","good benefits, work life balance",truction draw specialist,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Great Company,5.0,"Mar 1, 2023",Great place to work. Great atmosphere,Business can be Reliant on interest rates and working with FreddieMac.,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Run as fast as you can,1.0,"Aug 26, 2022",Manager doesn’t micromanage you Good incentive pay if you can get your loans to go through,"Middle management constantly chasing its tail and can’t make a decision Owned by a Wall Street Company only concerned with the bottom line, look at the PPP reviews on this company, SBA 7a loans are the same sort of disaster President only cares about his “boys” that are making the big bucks for the company Underwriters and Closers constantly talking down to you and about you, blame you for not being able To do their jobs Process to submit loans is painful You are the whipping boy for everyone in the company",Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
A good place to learn and grow in the debt space,4.0,"Sep 18, 2020","Good compensation, driven work place m","Not a great work / life balance, hands off senior management, opportunities for advancement, available senior managers",Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
"Nice People, Cumbersome System",2.0,"Feb 15, 2022",People were nice all around. Friendly staff. Compensation is good if you can successfully navigate the system and close loans.,"System was hard to navigate and hard to close loans. Made it hard to retain business and deliver new business. Painful to see deals brought in closed with other institutions due to speed (or lack thereof). Some BDOs were able to perform, most are not.",Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Opportunities to continue to learn new tools and skillsets with each new project assignment,5.0,"Jul 21, 2021",BA's are asked to think creatively and strategically to gain efficiencies across the workflow and data platforms. Opportunity to learn new applications keeps skillsets fresh. Employees are great people and work well together as a team.,2020-2021 tremendous amount of work but hoping new hires will even the workload.,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Associate loan Closer,1.0,"Jun 28, 2019","Casual dress, snacks, nice building.. That's it.",Extremely incompetent management from the director to the transaction manager. The blind leading the blind. Hired in one role and moved to another due to high turn over and lack of organization and not having structured policy and procedures in place. Management is unprofessional and hand out liquor during meetings as a way to handle being over worked. Unprofessional clowns.,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
"Fair, competent and saavy management team",4.0,"Apr 3, 2022",A steady hand at the wheel and a very smart management team.,Sometimes too scrupulous in decision-making gives one the feeling there is politics at work.,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Has Potential,3.0,"Jul 30, 2020","Good pay, so-so benefits package",Overall poor communication throughout organization.,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Good company,5.0,"Jan 17, 2023",Knowledgeable credit team with good management,Slow processing and turnaround for closing,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Positive experience overall,4.0,"Sep 9, 2022","Good experience, friendly coworkers, good communication from leadership.",Long commute to the office from Dallas.,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
for experienced self starters,3.0,"Jan 3, 2021",Huge earning potential and a lot of autonomy,Weak leadership and short sightedness,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Overall Positive,3.0,"Jan 9, 2022",Good place to learn all real estate asset classes,The workload can be a challenge,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Post Closing Specialist,3.0,"Jan 27, 2021",Organized work flow unlike some companies,Management at this company has their favorites,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Company review,5.0,"Dec 11, 2020",Great community and friendly environment,Nothing for cons as of now,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Great people,4.0,"Apr 6, 2021",remote work is allowed and encouraged,busy and high energy work environment,Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Early days,5.0,"Nov 13, 2024","Looks good so far, good working culture","Fully remote, so don't see people face to face often enough",Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
Good,5.0,"Jul 11, 2021",hope to have more promotion oppotunity,"Good working environment, good work-life balance",Ready Capital Corporation,RC,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ready-Capital-Reviews-E2314302.htm
