title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great place to work!,5.0,"Oct 21, 2025",I learned a lot and worked directly with my team. Great culture. Awesome benefits. They really care about their employees!,In office full time 5 days a week.,Regency Centers Corporation,REG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Regency-Centers-Reviews-E2379.htm
Leadership Issues,3.0,"Oct 6, 2025","benefits are wonderful, lots of fun corporate events, work is interesting and ever evolving","Leadership in Bellevue needs drastic improvement. Toxic leadership leading to unhappy employees, expectations unclear.",Regency Centers Corporation,REG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Regency-Centers-Reviews-E2379.htm
"Company was great, Leadership not so much",3.0,"May 25, 2025","The company overall is great with top leadership! They offer tons of benefits and options for 401k, PTO, flex time, etc.","The office I worked in was very toxic. Lack of training or advancement, was stuck in. about and never allowed to do more even when my job description stated I should have been doing more. All requests for more work fell on deaf ears. I ended up leaving because of it. Gave them over two years and no advancement. Was only ever told that I would never be promoted because there are no positions. Literally would have had to wait for someone to leave.",Regency Centers Corporation,REG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Regency-Centers-Reviews-E2379.htm
Great company!,4.0,"Jul 7, 2025","Great benefits, good pay. Decent WLB (hybrid schedule).",Management makes decisions quickly without communicating w/teams first.,Regency Centers Corporation,REG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Regency-Centers-Reviews-E2379.htm
Arrist,5.0,"Jun 3, 2025",Great company to work for,Too much work when peak time,Regency Centers Corporation,REG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Regency-Centers-Reviews-E2379.htm
Terrible leader,1.0,"Apr 28, 2025",Good company poor department Accounting,"JM is a horrible team leader, she sighs really loud if you ask a question & not welcoming. HR has been notified & does nothing.",Regency Centers Corporation,REG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Regency-Centers-Reviews-E2379.htm
Awesome Company,4.0,"Mar 13, 2025",Work life balance is amazing!,During the busy times it's rough but that's with any company.,Regency Centers Corporation,REG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Regency-Centers-Reviews-E2379.htm
"Great benefits, poor management",3.0,"Nov 20, 2024","Benefits, easy work, fun people","It's well known that half of your work is just meetings. You will literally have meetings about other meetings, just to reschedule the current meeting to discuss a different meeting. People are promoted to management that shouldn't be, just because they're great at ""company culture"". Lack of upward mobility for most positions.",Regency Centers Corporation,REG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Regency-Centers-Reviews-E2379.htm
No opportunity,3.0,"Nov 20, 2024","Great benefits, good place to work for non motivated people who want to sit in the same job and same position for a lot time","Average salary, no advancement opportunities, only hire based on who you know not based on performance. Laying paople off even when company is doing great.",Regency Centers Corporation,REG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Regency-Centers-Reviews-E2379.htm
Great company to work for,5.0,"Nov 14, 2024","Excellent pay, PTO, work-life balance, and company culture. This company continues to grow and thrive and it was a pleasure being a part of such a great organization.",It would behoove upper management to respond to more feedback from their field employees regarding strategic decisions in staffing placement.,Regency Centers Corporation,REG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Regency-Centers-Reviews-E2379.htm
