title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Company,5.0,"Nov 4, 2025","I worked as a Data Management Specialist at SBA Communication and had a truly positive experience. The company fosters an inclusive and collaborative culture where employees feel supported and valued. I was trusted with key responsibilities involving data integrity and compliance, and I appreciated the opportunity to grow professionally. The benefits package was competitive, and leadership encouraged continuous learning and development. Highly recommend SBA to anyone seeking a strong foundation in a well-run organization.",None that I can think of.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Huge Layoff,2.0,"Jul 29, 2025","Work from home, had a great team","SBA Communications is a $26 billion company, but you’d never know it by the way they treat their employees — especially part-timers. There were no benefits, no growth opportunities, and no recognition, despite continued hard work and dedication. The most alarming part was how the mass layoff was handled. There was no warning, no transparency, and absolutely no communication from leadership. One day we were doing our jobs; the next, we were cut loose without notice. It showed a complete disregard for the people keeping the company running. Management is completely out of touch. There’s zero motivation or support, and remote employees are treated like they don’t exist. We were excluded from conversations, updates, and any real engagement. It was a “work-from-home, forgotten-at-home” experience. They have the money and the resources to take care of their people, but they simply choose not to — especially when it comes to part-time or lower-level staff. The culture is top-heavy, and the leadership operates in a bubble with no concern for the wellbeing of the broader workforce.",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Not a bad company,5.0,"Aug 22, 2025",Stocks are a good pro,HR and Management are very corporate,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Good company for stability not a great company for career growth,3.0,"Jul 13, 2025",SBA has a stable business model and will have continuous business and employment.,You can get pigeonholed into your position. Many people get here and stay out and that's great but for a person trying to advance there isn't much room to move around or learn new things.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Very Poorly People Managed Company,2.0,"Apr 24, 2025","Publicly traded stable company (for now). Always hiring due to attrition so there are always hiring opportunities. Pay is average for the industry, but not industry leading. Benefits are average for the industry and companies of this size.",Management and HR are below industry average. There is lots of turnover due to poor people management. People in positions of executive management should never be in the positions they are in. Can't emphasise any more just how bad they are.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
"If you're crappy employee, you got it made",2.0,"Jan 23, 2025","If you enjoy doing all the work, and working with shady employees.. I have worked her over 6 years now at first it was great, now it sucks. I one the most knowledgeable and hard working employee in the field. I don't get recognized for it. I get walked all over. For example. I had a site about an 1.5hr from my house. They sent an email out to all stating I am not getting per diem. They have multiple people that live less then 50 miles from the shop or sites that collect per diem and drive time from there house to site. MULTIPLE TIMES and there just regular tower hands that can't even do their job without supervision. I am about fed up with this place. Most of the good employees already left, I will be too","Give crappy raises, and you don't get per diem. But the people that live an hr away does",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
"It seems like a good company, but it’s not.",2.0,"Mar 14, 2025","It has many benefits, such as a gym reimbursement, $5K for studies, 19 days of PRO, 401(k), and “remote work”","Each department has a different culture—it’s ridiculous. Remote work: they only allow 56 days per year and it’s super structured. I guess they want to remove it because they impose countless obstacles. Vacations: 19 days, but you can’t take more than two consecutive weeks—awful. Management: they reward controlling and authoritarian supervisors over good leaders; in the entire shared services, people leave like a revolving door. There’s a lot of mistreatment, and HR does nothing. Salaries: very low—they might give you less than a dollar raise per year.",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
,4.0,"Jun 14, 2025",Smaller company but is good. currently the company is upgrading,very older and can feel out dated,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
,4.0,"Jun 5, 2025",52 days per year work from home and competitive PTO.,Inconsistent communication. 5 words minimum is required for this field.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Learn to adapt in changing times,5.0,"Apr 27, 2025",There are opportunities to start new paths,I don’t have a con just advice below.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Good Company - Bad Management,2.0,"May 26, 2025","Good company
international markets
long term incentives","bad management
no empowerment
little opportunity for advancement",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Good company,4.0,"May 1, 2025",Good company with decent benefits,No cons at the moment,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Great Company,5.0,"Apr 23, 2025",Benefits package offering to employees.,Very large corporate company with limited opportunity to advance positions.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Great Potential Wasted,2.0,"Nov 27, 2024",Great stable Company with even more Potential,truction supervisor,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
"Company with good benefits, terrible environment.",2.0,"Dec 23, 2024","Great benefits, 401k, medical, PTO.","Supervisors consistently exhibit a top-down, authoritarian leadership style, prioritizing the issuance of orders over meaningful employee engagement. Pay is not good taking into consideration the inflation that Florida has been suffering in the last 4 years. Manager has no clue what the employees are going through. Not even a proper good morning or good night.",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Toxic HR Team,1.0,"May 2, 2024",Some colleagues and my role,"The attempt at a modern workplace culture did not resonate with the reality of it. The views on the modern flexible, work/life balance were often stated but not truly believed in by leadership. Despite the growing need for a company’s support for balancing personal/professional lives, it felt like walking on eggshells for those wanting to use their remote time or needing to flex their schedule. Besides that, the HR team fostered a phony work environment, especially amongst older employees’ “clique-ish” behavior. Only those that were “in” were taken care of in regard to compensation, etc. The leadership team met change with resistance and was stuck in their ways, which was frustrating for the younger generation. Communication was terrible and decisions were often made without the team’s input or with any regard to how this will impact them. “Leaders” get promoted without knowledge or experience of the role and without knowing how to speak to team members and be actual leaders – if they’re “in”, they are protected. Lastly, if you resign, they will post your backfill significantly more than what you were making, when you were told that you were at the max and there was nothing they could do.",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Operations coordinator,4.0,"Mar 10, 2025",Great management and great insurance,"Pay is not competitive, and growth within is hard",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Great Learning Opportunity,4.0,"Jan 8, 2025",Team structure; regular status meetings; ongoing trainings and routine activities to improve employee moral.,Highly specialized work makes transition to other areas of the company difficult. Structure of work distribution results in high performing individuals carrying more work than those that strategically pace themselves.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Great Company,4.0,"Feb 6, 2025","Great group to work with, great benefits, have days you can work from home, bonuses",Raises are not that great,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Review,2.0,"Jun 15, 2024","Decent benefits for a Florida company, including stock opportunities.","Where to begin... 1. Company is run by an old, white mens club - very old fashioned and resistant to change - there is only 1 woman on the Leadership Team. 2. When i was there, they had a 1 day-a-week remote policy wherein you had to ask for permission every time you wanted to work remote - depending on who you worked for, having to ask for permission made it almost impossible to take remote time. 3. HR department is extremely toxic - you have to be in favor with the CHRO, and if you're not, you are not going to get any place - there is extremely high turnover for an HR department, and if you're not a favorite of whoever your manager is, it can be difficult. 4. You need to attend multiple DEI, Unconscious bias and other trainings on the regular. The DEI theme is a constant, although there is little diversity on the Board or Leadership.",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Management,3.0,"Dec 29, 2024",If you have good manager it’s great.,Bad managers don’t seem to care to change or be encouraged to do so.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Great company,4.0,"Dec 19, 2024",Great culture and people to work with.,Compensation not as competitive as some others.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Unnecessary hoops and hurdles,1.0,"Jan 12, 2025",None to provide for them,Interviewed got the job and asked to go through unnecessary hoops and hurdles during the onboarding process.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Horrible work envinronment,2.0,"Feb 1, 2024",A highly robust and financially secure company with a consistently strong revenue stream.,"It is advisable to steer clear of positions within the international department at this company. Unfortunately, those with extensive knowledge of global operations have retired or departed, leaving the current ""leaders"" needing more leadership and people management skills. After a four-year tenure, I decided to go due to the authoritarian and discourteous nature of the new management, which has fostered a hostile working environment in the International Department, not only in the HQ Office but also across the regional and local offices in countries. The overall atmosphere in meetings and daily office operations has become toxic and burdensome. It seems the domestic team does not have the same issues, but then, I advise staying away from any position in International.",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Disappointing experience,1.0,"Sep 4, 2024",Initially the company appeared to have a very people centric culture. Many decent people to work with.,"However, when it comes to restructuring, you are merely treated as a discardable commodity with little or no communication. Badly managed retrenchment process overall and the 'culture' dissipated in thin air. The industry is very mature, the company is archaic and does not present a future for young dynamic professionals.",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Admin,4.0,"Oct 3, 2024",good environment. good people. Corporative try to connect,"if you have an administrative roll, you always be a administrative. no bonus",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Great place to work,5.0,"Jul 15, 2024",Have been employed for 7 years at SBA and have been promoted within that time. Leadership is changing however it offers more advancement to those who are committed to the company and personal development. Work-life balance is great.,"HR is disengaged with the reality of people's concerns as a corporation and does not properly address them, at all.",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Work at SBA,4.0,"Sep 18, 2024",They’re really focused on building a family and putting their employees first,You have to threaten to quit to get a raise even when you deserve one,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Overview,2.0,"Sep 12, 2024",Flexibility to work from home.,Salary is abysmal!!! Well below market. Promotions are null and void. No career path to move up.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Solid Benefits and experience gained,4.0,"Sep 10, 2024",My colleagues made coming to work fun. The benefits are great.,The pay was abysmal in comparison to the value brought to the company.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Good entry level,3.0,"Sep 23, 2024",Plenty of downtime to learn and study new skills.,None that I can think of.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Great Company / Big opportunity on Leadership-Management,3.0,"Aug 28, 2024",Global footprint. Very active organization,Management. Some unethical behaviors at some levels.,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Overall Good,4.0,"Aug 21, 2024",Understanding coworkers and nice healthcare. Work can be rewarding once approvals are gained,Sometimes the work piles up,SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
Money laundering,1.0,"Sep 25, 2024","Insurance, Gym, breakroom, kitchen, Bar.","High employee turnover due to the activity they engage in, which is transmitting illegal traffic to launder money using telecommunications equipment.",SBA Communications Corporation,SBAC,Telecommunications,2025-11-20,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm
