title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Place,5.0,"Mar 6, 2025","The entire construction, leasing, and development group worked together well",Management did not keep up to date with personal and professional goals of team members,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Employee inclusive environment,5.0,"Nov 9, 2024",Transparent and accessible leadership Fair pay and perks,Work/life balance is a challenge at times,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Overworked and Underpaid,2.0,"Sep 9, 2024",In general people there are really nice and will jump in to help you if needed.,So much work with not a lot of time to complete it. Pay could be better.,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Great Legal Department,4.0,"Apr 18, 2024",Great Benefits or perks such as tuition reimbursement.,A lot of organizational changes often.,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Management does not see employees as human,1.0,"Jan 16, 2024",Several quality assets and intelligent people in the right seats,"If you have not already been here for 3+ years, you will neither matter nor be seen as a human being. Your accomplishments will not be rewarded or celebrated. There is very high turnover, especially in the NYC office, mainly due to management trying to save a penny or personal disagreements handled immaturely and unprofessionally.",SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Small and effective,5.0,"Aug 30, 2023","Great work life balance, good team environment.","Small company, limiting upward mobility",SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
"Great people, but they need to work on their consistency and energy",3.0,"Apr 13, 2020",The people and PTO are fabulous. Having exercise classes onsite is a perk I haven't seen anywhere else. There is opportunity for growth if you are proactive and vocal.,"They've stopped putting effort into really small things that show employee appreciation. They used to have summer picnics, pop-a-shot in the cafeteria, random happy hours for holidays like Cinco De Mayo--all of those have disappeared.",SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
"I don’t hate coming to work everyday, so that’s a plus.",4.0,"Mar 27, 2020",The PTO is great. The people are great and easy to work with. Most managers are incredibly flexible.,I feel a lot of great employees are overlooked and not compensated fairly.,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Do not work here for career progression,2.0,"Jun 9, 2021",Fine pay and learning experience at a public REIT,No real pay growth or recognition of individual contributions. A lot of politics in promotions and a lack of urgency to change systems to improve efficiency.,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Don't work here if you want to grow within the company,2.0,"Jun 10, 2022",Not sure how things are there now for analysts but back then we would do a lot of key work and not get invited to important calls where our work was used,No opportunities for advancement as an analyst,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
"Good Culture, Pay and Benefits",4.0,"May 3, 2022",Great facility Paid fairly Good Benefits,Lots of change at the C-Suite Poor Board management,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Great Company,4.0,"Sep 30, 2020","Great benefits, In-house training classes to develop skills, Career advancement, Pay range is inline with marketplace, Creativity to stay ahead of the competition","High Management Turn Over, Commercial Real Estate Industry is struggling",SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
"Good place to work, questoinable leadership",4.0,"Feb 9, 2022","Great properties, people, benefits, autonomy, etc.",Messaging from leadership often misleading.,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Good and could be much better,3.0,"Jun 1, 2022",hard working & dedicated leadership,no work life work balance no consistent bonus programs or performance incentives,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Great place to work,4.0,"Jun 22, 2022","Benefits are great, balance of work and family are exceptional.",Compensation on the low side.,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
loved it,4.0,"Dec 29, 2020",great all-around work-life balance. great teamwork within teams,some peoples unaccountability was left unaddressed,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Great Company!,4.0,"Mar 24, 2021",Learned a lot with hands on experience,there were no cons for my experience,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
DDR Corp,4.0,"Feb 23, 2021",Good opportunity for career advancement,Enjoyed my time at DDR Corp,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Work,5.0,"May 12, 2021",great place to work currently,No negative experience's work was fine,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Cool spot,3.0,"Jul 14, 2021",Everything is fine. No complaints,Nothing crazy terrible. Just do your job.,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
amazing 👏,3.0,"Aug 17, 2020","Great pay, good.people. great communication","Time off, family, pay,great, work.kods5",SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Positive,5.0,"Jun 7, 2021","Work life balance, great coworkers",They did a great job,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Left,1.0,"Jan 2, 2023",I liked the people I worked with,"Used to be a local company m, not anymore",SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Best,1.0,"Oct 19, 2022",Good company to work for,Not good to work for,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
Good,3.0,"Sep 10, 2020",Friendly staffs and trainers .Good learning opportunity,Bit bore to work here and no proper cabs,SITE Centers Corp.,SITC,Retail,2025-11-21,https://www.glassdoor.com/Reviews/SITE-Centers-Reviews-E2379845.htm
