title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Company. Bright Future.,5.0,"May 31, 2025","People are incredible. Exciting, fast-paced environment. Always cutting edge in industry. Just a fun place to be.",A lot of redundancy in reporting and positions (corporate).,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
4 out of 5 stars,4.0,"Jul 8, 2025",You can make your own schedule,Have to work weekends and nights,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
New Management Killed This Great Place to Work,3.0,"May 17, 2025","Remote work options, professional development opportunities, 40 hours of paid volunteer time/yr.","Micromanagement, Favoritism, Horrible management, Inconsistent Feedback, Had to use PTO for sick time",Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
"Anti-Christian, Anti-God, Anti-Conservative, Anti-Nuclear Family",1.0,"Dec 26, 2024","When hired the following were welcome: Christians, God-loving,","ervative, Anti-Nuclear Family",Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Great Company!,5.0,"Dec 4, 2024",Great culture. Good benefits. Truly care about their employees.,"Work / Life balance can get a little off, especially during the 4th quarter.",Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
It's OK,2.0,"Nov 5, 2024",Pay is ok. Some people are nice.,"Lots of politics. Boring, No real advancement.",Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Pressure washing at Tanger,3.0,"Jun 4, 2024",Only working at night or morning,The heat and the constant nagging from management,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Great Company to Work For,5.0,"May 5, 2024",A great company with opportunities for advancement.,I did not experience anything negative during my time working there.,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Customer Service Representative,5.0,"May 19, 2024",Excellent company to work for,Hard to get on full time,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Great Place to Work,5.0,"Feb 4, 2024","Opportunities to build long lasting professional relationships. I have had the ability to be promoted multiple times based on my work ethic and productivity. Tanger is built on wonderful values, including employing people of different backgrounds including; racial diversity, age diversity, religious diversity and LGBTQ+ diversity.","For my position, pay is well under current industry standards.",Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
It was good and bad,3.0,"Feb 1, 2024",The people at corporate and different centers were great.,There was a very negative employee that brought moral down for all and caused problems.,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Great place to work,5.0,"Mar 25, 2024",I loved the staff and meeting new customers.,Crazy during the holiday seasons.,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
balanced,3.0,"Feb 27, 2024","good people, good environment, well balanced","low pay, communication could use work between managers and employees",Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Okay workplace,3.0,"Jan 3, 2024",the growth potential is good,the management team is condescending,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Okay for pay for job,3.0,"Sep 19, 2023","Really easy and a lot of free time, no problems if you do not hit goal",Management was okay but corporate does not know a thing that is going on.,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Great Place to Work,5.0,"Oct 3, 2023",Tanger has one of the best team environments I've been a part of.,Stock compensation is only accessible to SVP's and above.,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Loved my job until the company sold that location,5.0,"Sep 21, 2023","Fast paced, Teamwork, customer interaction",Sometimes it was slow due to being an outdoor mall,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
good company,3.0,"Sep 12, 2023","good culture, got along with co workers",low pay. other than that room for improvement,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Good company to work for,4.0,"Sep 24, 2023",,istent hours and continuity amount locations,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
Good,4.0,"Aug 24, 2023",Relaxing low stress job to have,Pay is low by the hour,Tanger Inc.,SKT,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Tanger-Reviews-E2348.htm
