title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
A good place to understand Real Estate!,5.0,"Sep 25, 2025","Opportunities to learn all aspects of real estate business, high motivation to grow and network",Not that I can think of,SL Green Realty Corp.,SLG,Office,2025-11-21,https://www.glassdoor.com/Reviews/SL-Green-Realty-Reviews-E7127.htm
I 100% do not recommend working here,1.0,"Sep 28, 2025","Definitely learned a lot as an entry level employee--first big job that was sustainable. PTO and benefits pretty generous, I was fortunate to receive great bonuses and some raises over the course of my two years there. Met some amazing people","Senior management thinks they're above everyone else. Advancement is few and far between. You can fulfill the role of the missing puzzle piece in property management and get told you're not good enough to get a promotion even though they tell you, you're doing a great job at your annual reviews. You can be doing all the spreadsheets, tenant engagement, and a ton of stuff that is not in your job description--however, the reason you can't be promoted is because you occasionally forget a comma or don't write the actual day of the week in an incident report. Nothing you do will be considered unless you out your coworkers and put on a front that you're good at your job. But, the people who have been there for significantly less time than you and who are the most complained about amongst the company regarding work ethic will get promotions. The company claims to care about opportunities for women and for people of color but at the end of the day, they don't really care it's all a front. There are no POC in property management (I say this as white indivual). If you're not blond haired and blue eyed or in a sorority or fraternity, it's very rare that you get put in the position of a client facing role. The company only cares about making money and looking good (this is valid). But, they do not care about how the mental health of their workers is affected. Someone close to you passes way? I'm so sorry but there's no bereavement period--not even one day. Sorry--you have to be right back at work the day of because SLG is more important than your personal life.",SL Green Realty Corp.,SLG,Office,2025-11-21,https://www.glassdoor.com/Reviews/SL-Green-Realty-Reviews-E7127.htm
Overall,4.0,"Oct 1, 2025",Relaxed culture and great office,"Fully in person, low privacy",SL Green Realty Corp.,SLG,Office,2025-11-21,https://www.glassdoor.com/Reviews/SL-Green-Realty-Reviews-E7127.htm
Toxic place (Not a Great Place to work),1.0,"Mar 19, 2025",Alot of company perks and nice modern office building,"Leadership team is cruel they don't care about their workers and are quick to replace people. Communication needs improvement, not alot of opportunities for growth unless you are the ""favorite"" In the few years of working there, I noticed alot of employee turnover, it was like a revolving door. Some departments in the company are racist, entitled, and not very nice people. HR is a mess and do not provide protection for it's employees and the leadership team has all the power. People are fired without reasons. They force employees to complete employee surveys but don't really want to hear the negative feedback. employees are either paid really well or paid very low and there is no in between. Probably one of the worse companies I've worked for. Very toxic environment.",SL Green Realty Corp.,SLG,Office,2025-11-21,https://www.glassdoor.com/Reviews/SL-Green-Realty-Reviews-E7127.htm
Great culture,4.0,"May 20, 2025",Great people to work with,No room for growth and long hours,SL Green Realty Corp.,SLG,Office,2025-11-21,https://www.glassdoor.com/Reviews/SL-Green-Realty-Reviews-E7127.htm
Former Manager,4.0,"May 11, 2025",Great work environment with many opportunities for advancement,Benefits could be better based on plans you chose,SL Green Realty Corp.,SLG,Office,2025-11-21,https://www.glassdoor.com/Reviews/SL-Green-Realty-Reviews-E7127.htm
Good company,5.0,"May 12, 2025","Given Responsibilties, opportunities for growth",Fast Paced but good for personal development,SL Green Realty Corp.,SLG,Office,2025-11-21,https://www.glassdoor.com/Reviews/SL-Green-Realty-Reviews-E7127.htm
Awesome,5.0,"Apr 30, 2025","Great people, great all around","nothing, really enjoyed time there",SL Green Realty Corp.,SLG,Office,2025-11-21,https://www.glassdoor.com/Reviews/SL-Green-Realty-Reviews-E7127.htm
Great benefits,2.0,"Mar 5, 2025","This company has great benefits for the employees - medical, 401k, and small other perks.","Promotions within the company is real concerning. Employees who deserve a second chance get kicked out. This place is very corrupt, and racist. The executives are racist. No bereavement leave. No work/life balance. Stay here for a couple of years then leave!",SL Green Realty Corp.,SLG,Office,2025-11-21,https://www.glassdoor.com/Reviews/SL-Green-Realty-Reviews-E7127.htm
Review,1.0,"Mar 7, 2025",Employees in the field are nice,"Everything. Upper Management horrible. Cut throat environment. If you're not outing other employees, you will not move up. They could care less about their employees mental health, life/work balance, and safety. Unless you rat out your fellow co-workers or nepotism, it will take you a long, long time to grow.",SL Green Realty Corp.,SLG,Office,2025-11-21,https://www.glassdoor.com/Reviews/SL-Green-Realty-Reviews-E7127.htm
