title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Excellent!!,5.0,"Jun 6, 2025",Everything is perfect. A okay,None that I can think of,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
Don't do it,1.0,"Oct 28, 2025","No overtime
No late nights",Upper management is the worst,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
Micro Management,1.0,"Aug 30, 2025",Want to say the free food and car washes but those were dwindling down my last couple of months there.,They want you 5 days in office because they like to micro-manage.,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
Unfair,1.0,"Jun 5, 2025",The pay was fair for the position,This place is built on lies upper management does not care about you they will tell you one thing and then when you do it they will cover themselves be careful. They change policies without notice,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
Good but...,1.0,"May 15, 2025","Decent pay, easy work day",DT and DM's don't take credit on anything. They like to wrap it around your neck and hang you for it because its to busy to get something done or there is a fault in the system.,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
Terrible company culture,1.0,"Apr 15, 2025","Free Coffee, soda, lunches and car washes.",Stay away! Way overworked and underpaid!,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
No opportunities to advance. Stagnated.,2.0,"Sep 25, 2023",The people at the sites are mostly really hardworking and care about their properties. Bonuses for site managers and ASM’s is easy to achieve.,"Don’t be fooled by your interview, they will tout promoting from within but there is NO opportunity to advance in the stores beyond District Trainer. You can go from ASM to manager, if you’re willing to wait years. Store Manager to District Trainer if you’re lucky but those are few and far between and that’s it. District Managers are ALL hired from external and they have ZERO opportunities to advance. There are options to create more regions and promote District Managers but instead, they want to increase store counts for DM’s and put more on them. There has been a Vice President job open twice now and apparently nobody at the company is qualified for it. It would have been cool to see someone promote up because it would open an opportunity for someone else to advance.","SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
Worst employer ever,1.0,"Aug 16, 2024",Hours are not too bad,Absolutely do not care about their employees,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
they'll walk all over you,1.0,"May 21, 2024","I've been running a store by myself for the past month, there's a raging rat problem that no one is doing anything about 0/10 do not recommend",literally everything about this place,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
EXCITING TO WORK,4.0,"Apr 9, 2024","PROGRESSIVE, GREAT MANAGMENT AND CORPORATE TEAM",They could increase hierarchy at the top. Spread very thin,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
,5.0,"Apr 12, 2024",Pay. Hours. Advancement. Training. Culture.,Limited room for promotion or advancement,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
Hard Work,3.0,"Feb 4, 2024",Some locations offer housing and the benefits are decent,Hard work. There POS systems are repetitive. One poorly written system feeds another. High expectations and demands in an environment that lacks adequate staffing.,"SmartStop Self Storage REIT, Inc.",SMA,Self-storage,2025-11-21,https://www.glassdoor.com/Reviews/SmartStop-Self-Storage-Reviews-E717553.htm
