title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Analyst,5.0,"Aug 27, 2024",Great work culture and pay,Training was not the same for each person.,"STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
Great company but segmented,4.0,"Sep 19, 2024","Relaxed environment, most upper management really wants to help you learn","Some bad eggs as all companies have, not a lot of overlap with other departments","STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
Excellent Employer,5.0,"Jul 6, 2023",This is a well run company that respects its employees. The majority of employees are smart and hard working.,It is difficult to move up the corporate ladder here.,"STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
Great Company with Exciting Growth,5.0,"Feb 15, 2022","Company is expanding their geographic footprint by opening new offices outside of the Boston HQ. Working outside of the HQ office and in the Dallas office, it has been a seamless integration into the company. The culture is great and has allowed the expanding growth to be successful. Through the use of Microsoft Teams and other programs, the Dallas team is a part of every meeting and involved as if we’re in Boston. Employees from lower to upper management work together extremely well and keep everyone a part of the process in order to be successful. Makes for a great work environment whether working from HQ or remote.",No major concerns or cons to be considered.,"STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
STAG Industrial Inc. Summer Internship Program,5.0,"Jul 13, 2021","This program did a fantastic job walking me and the other interns through the companies day to day work. We had the chance to dive into all of the different career paths and get an understanding of how STAG operates. They provided a very friendly work environment, kept us busy, and always had time to answer any questions! Overall I enjoyed this internship and would highly recommend it to others.","The program was virtual but we had the chance to come to the office and meet everyone in person which was great, no cons to this summer program.","STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
Entrepreneurial Public Company,5.0,"Oct 24, 2021","Voice and actions are heard, management treats employees well, great work-life balance, amazing benefits, opportunities to make change, interact with all levels of company, smart engaged employee base, ample learning opportunities, and gives back to community","Relatively flat personnel structure (offset is that new roles pop up as company grows, just need to be patient) and sometimes siloed department activity (company is aware and actively tries to bring cross departmental activity)","STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
Work Life Balance and Diversity,5.0,"Oct 18, 2022","Work Life Balance: This company echoes work life balance. I was hired during the start of COVID-19 and a new mom in 2022. My manager and senior management have all been accommodating and supportive throughout my tenure. Working a compressed work week Monday - Thursday, 9 hours/day and Friday, 4 hours/day, is an amazing policy that gives me time to enjoy with my little one. Diversity: Since 2021 we have been heavily focused on creating an even more diverse workforce.",Nothing that of a big concerns to post as cons.,"STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
Outstanding on boarding experience!,5.0,"Nov 2, 2021",">My colleagues at Stag Industrial were very welcoming. >By presenting me a detailed presentation, the HR Department made it easier for me to comprehend the company's policies and benefits . >The ""Buddy Program"", is a great program for the New Hires. To make your transaction into the company as painless as possible, the company appoints you a colleague from your department to meet with you once a week.","As of now, I don't have any complains!","STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
Employees dislike the new CFO,2.0,"Sep 30, 2014",Many pros PRIO to new CFO starting,"New CFO is making changes for the sake of change. He's building walls, creating resentment among his dept. Micro managing everything. Workers used to enjoy coming to work, now they don't. They dread working for him. Before new CFO workers would gladly work late if it was needed. Now it's expected. Moral is dropping.","STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
Excellent Remote Work Environment,5.0,"Feb 16, 2022","Onboarding and working outside of the corporate HQ has been seamless. The culture is inclusive with all levels of employee collaborating across departments. The company is continually trying to improve their processes and takes all feedback from employees seriously. The work-life balance is unmatched, while still being able to grow and excel in your career.",No complaints at this time.,"STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
Great company to work for; welcoming environment,5.0,"Dec 19, 2022","hybrid work environment for most; great benefits; growing company; fast-paced, hardworking environment; fun, casual environment",lacking resources for professional development and career growth; lacking diversity at the executive level,"STAG Industrial, Inc.",STAG,Industrial,2025-11-20,https://www.glassdoor.com/Reviews/STAG-Industrial-Reviews-E354630.htm
