title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
analyst,5.0,"Oct 6, 2025",Great learning experience and work environment,honestly no cons just potentially longer hours,"Starwood Property Trust, Inc.",STWD,Mortgage,2025-11-20,https://www.glassdoor.com/Reviews/Starwood-Property-Reviews-E354156.htm
Review,3.0,"Sep 17, 2025",Exposure to complex deals across all asset classes.,Only get to work with one small deal team.,"Starwood Property Trust, Inc.",STWD,Mortgage,2025-11-20,https://www.glassdoor.com/Reviews/Starwood-Property-Reviews-E354156.htm
Don’t say you were not warned,1.0,"Aug 26, 2024","Decent comp and benefits, good ERP system, diverse investment strategy",I can only opine on the acctg dept. Toxic work culture. Very high turnover. Lots of politics and favoritism. No room for growth unless you kiss up and give your life to the company. CEO barely shows face and wants people in office. CFO is very difficult to work for. She lacks leadership skills and EQ and cultivates a terrible culture. She isn’t a parent so she doesn’t understand or respect working parents. HR is not to be trusted and everyone knows it. They only look out for sr mgmt and themselves. It’s every man for themselves at this company. No team environment - quite depressing. Stay clear of this place. There are much better companies in south Florida to choose from and this is NOT one of them.,"Starwood Property Trust, Inc.",STWD,Mortgage,2025-11-20,https://www.glassdoor.com/Reviews/Starwood-Property-Reviews-E354156.htm
Analyst,3.0,"Apr 15, 2024",Lots of volume in the right groups.,Not a great experience if you’re in the servicing groups,"Starwood Property Trust, Inc.",STWD,Mortgage,2025-11-20,https://www.glassdoor.com/Reviews/Starwood-Property-Reviews-E354156.htm
Great Company,4.0,"Mar 22, 2024","Flexible, great team not much driving around and balance work life","If you're not an office body this is not the job for you, very fast pace","Starwood Property Trust, Inc.",STWD,Mortgage,2025-11-20,https://www.glassdoor.com/Reviews/Starwood-Property-Reviews-E354156.htm
Great place to learn,4.0,"Feb 5, 2024",Well rounded exposure to different parts of the real estate industry Everyone is willing to help you learn/grow,Corporate atmosphere which can get old after a while,"Starwood Property Trust, Inc.",STWD,Mortgage,2025-11-20,https://www.glassdoor.com/Reviews/Starwood-Property-Reviews-E354156.htm
Great community environment,5.0,"Oct 18, 2023",This is by far one of the best places I've ever worked.,The Miami Beach office coulb be a pain to get to during rush hour traffic,"Starwood Property Trust, Inc.",STWD,Mortgage,2025-11-20,https://www.glassdoor.com/Reviews/Starwood-Property-Reviews-E354156.htm
Great Place To Learn,3.0,"Aug 30, 2014","LNR is an excellent place to learn a lot in a short period of time. Skills are highly transferable. The company attracts incredible talent, which typically stays between two to four years before moving on. You will make good business contacts while you are there.","Be prepared to work long hours with lots of fire drills and receive little or no recognition. The culture is very corporate and bureaucratic, and the pay is mediocre considering the relatively high cost of living in Miami. The company lacks leadership and fails to provide meaningful communication to employees.","Starwood Property Trust, Inc.",STWD,Mortgage,2025-11-20,https://www.glassdoor.com/Reviews/Starwood-Property-Reviews-E354156.htm
LNR is a dynamic workplace,4.0,"Jul 25, 2014","LNR has a wide range of positions related to commercial real estate finance. The company has focused on Special Servicing of CMBS loans and related investments, but has grown significantly after being purchased by Starwood. The business includes commerical loan origination, servicing and direct real estate investments. LNR offers excellent benefits and competitive pay. Organizational leaders are smart and professional.",The workload can be too much at times. Managers are supportive but there is always a call to do more with less.,"Starwood Property Trust, Inc.",STWD,Mortgage,2025-11-20,https://www.glassdoor.com/Reviews/Starwood-Property-Reviews-E354156.htm
Great place to learn,4.0,"Mar 19, 2018",There is opportunity but a lot has to do with timing and how much of your personal time you are willing to commit to learn and grow.,Not much of a team environment. Everyone works independently and not as a unit. Work/life balance is nonexistent if you want to move up here.,"Starwood Property Trust, Inc.",STWD,Mortgage,2025-11-20,https://www.glassdoor.com/Reviews/Starwood-Property-Reviews-E354156.htm
