title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Sun Has It All,5.0,"Feb 20, 2025",Response time and support from upper management is second to none in the industry. Always on the leading edge of changes. Bonus opportunities are abundant. Very transparent.,Can't think of one thing I'd change.,"Sun Communities, Inc.",SUI,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Sun-Communities-Reviews-E2567.htm
Happy To Be Part Of Sun,5.0,"Oct 30, 2025","My coworkers are great and most have been with Sun for many years (which speaks volume on the kind of company Sun is, in a good way). The support I get from my team, is appreciated. The pay is decent and lot rent discount is appreciated as well. Hours are typical for my position. I think Sun is a good company to work for, if you are looking for a permanent long-term position.","It's a lot of work at our property due to multiple storms causing damage to the community, so it is hard to leave on time because there is always something to do. Working traditional office hours +some, it is hard to make it to appointments and being new I definitely don't want to miss any work.","Sun Communities, Inc.",SUI,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Sun-Communities-Reviews-E2567.htm
Company,4.0,"Nov 1, 2025",Our Park is cleaner to start other than trees. Staff is Friendly most of the time. its a fun place to work. most of the time direct issues get handled in timely manor unless you need something with upper management then there is lots of emails and time passing.,The Jobs at hand are NOT always able to be completed! As a current business owner i would not think that my clientele would want appearance cost so limited like a simple yearly tree trimming in Florida not only for hurricane safety but the resort look we as sun advertise. Next I applied for a much high position simply becuase it became available. although happy in my position the goal is always to thrive and move right um the employment tree! I was told by several managers including my own park it was simply great i wanted to apply for a higher position. But then after applying HR sent an email saying unfortunately you must be with the company for 6 months to apply and i picture of rules where it did in fact say that but right below stating that it is perfectly fine with manager approval while i had my park and my regional Maintenance manager. My corse of action was to email HR and Ask - No response - Call leave voice mail No response twice. These communities can be great places but i also think its not clarified well for the general public on the matter of Mobile home full time living or Resort like vacation feel to 55+ communities. Being newer to the rv world i have been living and traveling in my 5th wheel for two years after selling off some of my businesses. After staying at parks like at silver lake sand dunes Michigan and Gatlinburg Tennessee to the Keys are all awesome Sun RV Parks. But i feel like some of that fun and Sun RV Culture Gets lost with the fulltime communities where people want to create there own rules and management lets it happen. Then The employee benefits are minimal i have temp worked and have friends working for other rv competitors where they have a 50% rent discount if not better. The other issues are the pay has to be based on a national company average and not a local average because Naples Fl with what wadges and cost of living are the numbers do not align and would make it extremely difficult for one to live a life unless your collecting SS and have this job. Mind you i have visited 5 parks in my area where most definitely my statement was correct. Nothing wrong with age just sometimes new and different is a good thing given the right opportunity.,"Sun Communities, Inc.",SUI,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Sun-Communities-Reviews-E2567.htm
A review,2.0,"Nov 12, 2025",The gym at the main office,There is no salary equity,"Sun Communities, Inc.",SUI,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Sun-Communities-Reviews-E2567.htm
Great Team,4.0,"Oct 28, 2025",The team in my office is great! I appreciate the support and effort put into making my day the best it can be. The company as a whole seems to support family/work balance and has good incentives.,I wish the pay was higher.,"Sun Communities, Inc.",SUI,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Sun-Communities-Reviews-E2567.htm
Job is good,3.0,"Oct 13, 2025",I work the hours I prefer with a great CM who is a leader not a micro manager.,"Corp gets in its own way. Their new platform is not user friendly, makes getting anything accomplished a traffic jam.","Sun Communities, Inc.",SUI,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Sun-Communities-Reviews-E2567.htm
Company Culture is blatant BS,1.0,"Sep 5, 2025","There's a handful of pros, and that's the residents, the community, and the day to day task. Being outdoors is a plus. It's a business that MUST generate revenue.","Pretty much everything that sits with a title, management, middle management, HR and up to corporate. Psychology tactics, inhumane treatment. Doesn't practice what they preach when it comes to the culture philosophy. Favoritism, rules aren't followed and even the laws. Band-aids on everything. Materials and supplies are scarce. Pay increases aka merits, are insulting. Leadership cannot be trusted based on lack of actions. Buddy System.","Sun Communities, Inc.",SUI,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Sun-Communities-Reviews-E2567.htm
Good company,5.0,"Oct 15, 2025",Everything is good about the job,Nothing is bad about the job,"Sun Communities, Inc.",SUI,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Sun-Communities-Reviews-E2567.htm
Stay away,1.0,"Oct 13, 2025",Not a damn one other than stay away,Bad management all round .,"Sun Communities, Inc.",SUI,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Sun-Communities-Reviews-E2567.htm
good benefits,4.0,"Oct 2, 2025","lots of good benefits, nice office, decent people","projects bogged by 3rd party vendors, bad deals, and way too many cooks in the kitchen","Sun Communities, Inc.",SUI,Residential,2025-11-20,https://www.glassdoor.com/Reviews/Sun-Communities-Reviews-E2567.htm
