title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Impressive colleagues,5.0,"Sep 30, 2025","Surrounded by impressive, top-notch colleagues. Always learning.",Work life balance is difficult to achieve.,"TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
Toxic culture and unsustainable work environment,1.0,"Sep 15, 2025","Free parking, free lunch, friendly teammates for the most part","You may be brought in at a relatively high salary, but you’ll need to account for minimum 60 hour weeks and likely zero raises even with . Your work hours will be expected to match those of the investment teams on both coasts (9-9 is standard in calm periods, few of which existed when I left). They will continue to hire team members in NYC for double your salary who often work half the hours. HR preaches diversity while only hiring minorities into coordinator or EA roles that have no growth opportunities. Management makes it very clear back office should be grateful to be allowed in their presence, the FW office is the ugly stepchild. The toxic culture is palpable, everyone has seemed more and more miserable over the last few years and the response has been additional layoffs. This is all in addition to the standard woes of PE that are alive and well at TPG; the “boys club” culture, rampant elitism, forget work life balance you will not have a life, etc. They seem to believe if they use Goldman as a direct funnel for new hires they won’t realize they’re being overworked and have managed to build an even worse working environment with worse work life balance.","TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
"High Comp, High Hours",3.0,"Oct 21, 2025","Lots of work and grinding culture, really smart people.",Burnout and people who havebeen there for 20+ years that won't listen to your ideas,"TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
Disappointing Culture for Women – Disrespect and Double Standards,1.0,"Jun 20, 2025",Catered lunch and paid parking,"Very low pay, old office space. During my short time at the company, I witnessed and experienced a deeply concerning dynamic, particularly for women. There’s a clear expectation that women remain agreeable and accommodating at all times—even in the face of disrespect or inappropriate treatment. Speaking up is often met with defensiveness or dismissal, rather than support or accountability. There are no clear expectations made my mid level managers It felt like being seen less as a professional and more as someone expected to “keep the peace,” no matter the cost. Women who advocate for themselves or set boundaries are labeled as “difficult,” while those who stay silent are taken advantage of. It creates a toxic double standard where abuse is tolerated if it’s coming from the top down—and women are expected to absorb it without protest.","TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
Good company,3.0,"Oct 13, 2025","Offered a a few schedules to choose from.
Supportive staff","No growth 
No health insurance","TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
Review,4.0,"Sep 19, 2025","Lots of room for growth, exposure",Can be stressful at times,"TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
Changing Culture,4.0,"Jul 22, 2025","The pay and benefits are at the top of the industry, though the purse strings have started to tighten significantly in the last 3 years.",Changing management culture has contributed to a much colder environment. Tech teams and accounting teams are often misaligned in priorities.,"TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
fine,3.0,"Jul 22, 2025","good comp / benefits, good exposure",total sweatshop + bureaucratic and stuffy mid-level culture,"TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
Bring your A Game and Leave Your Ego at the Door,3.0,"Oct 8, 2024","Everyone is on their A game. The work is excellent, and this philosophy means it's really like playing in the major leagues. I do recommend it if only for the posh experience of it. The offices are gorgeous, you get catered lunches and you get to hobnob with the rich and powerful (albeit not being one yourself).","You work your balls off as an EA, can't leave your desk without coverage, and are completely underpaid. When you consider your boss (a partner) is getting an $8 million bonus....and you're getting $5K with a 3% raise in salary....you begin to resent the billionaires at the head and know they are not sharing what they can with you. For 200K and a profit sharing %....the almost 24/7 demand of this job would be worth it. But at mid-80s plus 5K...hell no. Also...there's no where to go up from EA. You are stuck. I was also told ""was not paid to think"" when I went to HR/Supervisor with suggestions for how to improve something. Didn't appreciate that it was rude.","TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
no thank you,2.0,"Mar 19, 2025","good benefits, parking provided, daily lunch, a paycheck - not much else","horrible culture, HR dept seems to run the firm (HRBP is a bully) but is so risk averse nothing gets done. This is the Goldman of the future - every single upper level management person is GS and that awful culture has become the standard. Your hard work is rewarded with an unbearable even harder workload. You will have NO life working here and will not be appreciated for your sacrifice. I have never worked at a firm where so many people were so miserable.","TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
No company cohesion,1.0,"Jul 15, 2025","• perks: lunch, commuting benefit","• no cohesion whatsoever since the AG acquisition. 
• poor culture","TPG RE Finance Trust, Inc.",TRTX,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/TPG-Reviews-E6060.htm
