title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Amazing Company,5.0,"Aug 26, 2025","Amazing team, company, benefits, people, training, events, pay, culture, work environment, and seriously everything!","Literally none, this is legitimately the best company and best leaders out there!","UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Free yourself,1.0,"Nov 12, 2025",Im not too sure what to say. Liked the manager and team but not the corporate structure.,"I was overworked and completely underpaid. I was expected to do more work than my coworker who constantly smoked on his breaks and also drank on his breaks. Management also had me as the only person completing weekly ""property walks"" around three buildings, no gas reimbursement or additional pay for the physical labor. When they state you receive a 30% discount as part of your benefits, do not get too excited, they tax your paycheck which equates to the total rent total online, which is very predatory behavior. After I asked for a raise, within 3 months- they got back to me and added an additional $0.23 on my hourly pay, which was a slap in the face. I'd also like to add that HB and Orange County is a very historically racist part of California. The way they treat the residents, is the exact way they will treat you as a worker.","UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Coordinator Review,2.0,"Nov 8, 2025",Good entry-level job and experience for maybe a recent college graduate.,The management team could use some improvement.,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
"Great job, good management",3.0,"Oct 16, 2025","Great training, great leadership and good work life balance",Often overworked and had to work weekends,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Leasing coordinator,2.0,"Oct 1, 2025","Rental discount, good benefits, team bonding","Micro manager, no growth, too many departments to report too","UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Review,4.0,"Sep 9, 2025","Good starting pay
Great team 
Gives good amount of PTO, and Vacation time",Recent pay increases have been low,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
WORK LIFE BALANCE 10/10,5.0,"Jun 3, 2025","Caring management, no micro management, not a call center, relaxed work environment. I work in the corporate office: My 2nd day of work my cat passed away and management was extremely kind and caring about my mental health. They allowed me to take a half day at the end of the week to take care of my pet's crematory services and spend time with my daughter who was extremely upset about losing her pet. The grace and care that management took for a 1st week seasonal employee has encouraged me to apply for a full-time permanent position with the company. I have been blown away with how nice and helpful everyone in the office is!",None to speak of at this time.,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Real Estate Company,4.0,"Sep 3, 2025","Good Pay, Good Benefits and Bonuses, decent management",work/life balance was not always good,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Good for two years,3.0,"Aug 26, 2025",Everyone is more or less friendly,Promotions seem to be at random,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Great company,5.0,"Aug 14, 2025","Work life balance
Competitive 
Opportunity to advance","Office location 
CEO
Lack of senior management diversity","UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
If you're fully invested,4.0,"Apr 23, 2025","With the assumption you're doing your job to the actual best of your ability, the company takes time to see and hear you",There are some roles who will never receive the support or guidance needed to do the job. Theres either a lack of resources or something else more important going on,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Profefession,4.0,"Jul 8, 2025","Discounts, amenities and family oriented",Pets off leash too much.,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Works You Like a Slave,2.0,"Jun 8, 2025",Team support and company activites,"Unspokenly want you work overtime all the time, everything is constantly changing so it's hard to ever feel like you ever know what you're doing. Favoritism amoung upper management.","UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Works Best If Your A Favorite,3.0,"Feb 26, 2025",Pay Employee Discount Employee Rental Policy,Bad Area Upper management = No growth Lack of career advancement Nepotism Discrimination Lack of diversity on corporate level Pay depends on area you are in,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Great lessons for life,4.0,"Apr 10, 2025",You can learn a lot about business in general if you look past your immediate job duties.,Dealing with extremely upset residents. Lack of upward mobility,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Great Company,5.0,"Apr 8, 2025",Supportive Environment. Frequent feedback and focus on associate growth.,Many changes and iterations but flexible associates can still thrive in that environment.,"UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Team Lead,5.0,"Apr 28, 2025","Flexibility
Independence
Learning
Bonus
Culture","No hybrid model
Long hours during peak season
Stressful
Repeat work
Busy","UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
Best PM Company,5.0,"Apr 25, 2025","Good Pay
Innovative
Caring
Good Benefits","Long Hours
Short Staffing
Low Rental Discount","UDR, Inc.",UDR,Residential,2025-11-20,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm
