title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Place to Work,5.0,"Oct 27, 2024",I enjoy the freedom I have to try and improve the operations I am responsible for.,None I can think of.,"UMH Properties, Inc.",UMH,Residential,2025-11-21,https://www.glassdoor.com/Reviews/UMH-Properties-Reviews-E675.htm
You will not be valued nor trained here,1.0,"Oct 24, 2024","The commissions were nice when you got them, and if you had a manager who'd share it with you if you're the assistant","Absolutely no training for any position. They regard it as a ""baptism by fire"" and I wish I was joking. Corporate and regional managers emotionally beat down their employees All reports about poor management, abuse, and neglect, get emailed to the manager in question to deal with making the workplace feel hostile. 0 work/life balance. You'll be on call 24/7 and have to give everything up at home of an issue arises. If you can't do that- this isn't the job for you","UMH Properties, Inc.",UMH,Residential,2025-11-21,https://www.glassdoor.com/Reviews/UMH-Properties-Reviews-E675.htm
Cut Throat,2.0,"Jul 18, 2023",Does everything by the book.,"Mid Level Management will micromanage you. You will not be trained. You will be expected to do exactly what Regional Manager says with no questions asked. You will be told you will be supported, but she will back stab you. You will not be given the power to do your job.","UMH Properties, Inc.",UMH,Residential,2025-11-21,https://www.glassdoor.com/Reviews/UMH-Properties-Reviews-E675.htm
Fast paced,4.0,"Sep 13, 2023",Solid business plan and fast paced at neighborhood improvements,Not necessarily a clear line of communication from upper management,"UMH Properties, Inc.",UMH,Residential,2025-11-21,https://www.glassdoor.com/Reviews/UMH-Properties-Reviews-E675.htm
,4.0,"Feb 28, 2023",Good company to work for.,Community Management tolerates to much.,"UMH Properties, Inc.",UMH,Residential,2025-11-21,https://www.glassdoor.com/Reviews/UMH-Properties-Reviews-E675.htm
STAY AWAY! This company has zero clue what they are doing stay away far away. Dont get yourself hurt.,1.0,"Apr 23, 2020",None even the paycheck wasn't a guarantee,Everything use your own tools for 14 an hr lol wow no.. Cover up black mold the regional manager will have you do so. Everyone is at risk all the time. No safety. No clue how to manage a property. Paid every week lol yea right your check will be late every week so don't count on getting paid.,"UMH Properties, Inc.",UMH,Residential,2025-11-21,https://www.glassdoor.com/Reviews/UMH-Properties-Reviews-E675.htm
Great Place to Work and Great Mission,5.0,"Dec 22, 2021","People are very accessible. As a team, we help people have quality housing at an affordable price. People notice when your efforts.",Covid has made it so the in-person annual meeting doesn't happen at this moment. That was a great event where everyone was brought together and learned from each other.,"UMH Properties, Inc.",UMH,Residential,2025-11-21,https://www.glassdoor.com/Reviews/UMH-Properties-Reviews-E675.htm
Grain of Salt,3.0,"Feb 22, 2023",I was outside most the day.,"Pay, on call, community manager at the time didnt understand that unforntunately some jobs may appear to be a 20min job may take an hour.","UMH Properties, Inc.",UMH,Residential,2025-11-21,https://www.glassdoor.com/Reviews/UMH-Properties-Reviews-E675.htm
Great place to work!,4.0,"Feb 1, 2023","Great regional manager, communication is great, they care about their employees and residents.","Hourly pay could be better, engineers difficult to deal with.","UMH Properties, Inc.",UMH,Residential,2025-11-21,https://www.glassdoor.com/Reviews/UMH-Properties-Reviews-E675.htm
Lawn,1.0,"Jun 1, 2018",There is no pros at all,"Two faced and it’s all family ,They work when they want to,use company trucks for personal use if your family you get free lot rent and they steal","UMH Properties, Inc.",UMH,Residential,2025-11-21,https://www.glassdoor.com/Reviews/UMH-Properties-Reviews-E675.htm
