title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
"High Bar, High Reward",5.0,"Sep 23, 2025","I’ve been at Ventas for just over two years now, and I’ve seen this company shift from good to truly great. When I first joined, there was energy and ambition — lots of “we can do more” — but more recently I feel like we’ve found our stride. The leadership isn’t just chasing growth; they’re being very intentional about how we grow, where we invest, and making sure we build sustainable advantage. For a large S&P 500 company, the corporate team is surprisingly small and nimble. You actually see the outcome of your work and feel connected to what’s happening at the top. There’s not a lot of red tape — people focus on the work and on doing it well. The pace can be quick and priorities can shift, but that comes with being in a company that’s looking ahead instead of playing catch-up — and that’s a good place to be.","It’s a small, high-performing team with nowhere to hide. Accountability starts at the top — the CEO can and will dive into details. If you aren’t excellent at what you do, this probably isn’t the place for you.","Ventas, Inc.",VTR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Ventas-Inc-Reviews-E8222.htm
An organized workplace that treats its employees well,5.0,"Jun 17, 2025","Good pay, great healthcare benefits, great boss, hybrid work","Other departments seemed to suffer from overwork, but my assigned work was reasonable","Ventas, Inc.",VTR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Ventas-Inc-Reviews-E8222.htm
Ventas,5.0,"Jun 23, 2025","Great place to work, greta culture",No cons at the moment,"Ventas, Inc.",VTR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Ventas-Inc-Reviews-E8222.htm
Fine,3.0,"May 14, 2025",Surrounded by intelligent and curious people,Hours and poor org structure,"Ventas, Inc.",VTR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Ventas-Inc-Reviews-E8222.htm
Job Culture,4.0,"Feb 24, 2025","Your work provides value to the group. The office environment is great, with tons of free food. Company is always growing.",Workload is overwhelming sometimes and the company will not slow down for your team to catch up or grow. Expect extra hours to offset the growth mindset. Promotions typically are external and internal growth is limited (expect to boomerang).,"Ventas, Inc.",VTR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Ventas-Inc-Reviews-E8222.htm
Good place to begin a career,3.0,"Feb 22, 2025","Good benefits, my team had good chemistry","Workaholic culture, a lot of turnover","Ventas, Inc.",VTR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Ventas-Inc-Reviews-E8222.htm
Love my job,5.0,"Nov 26, 2024",Amazing work perks. Awesome people to work with and plenty of growth opportunities,Busy and can sometimes be high stress.,"Ventas, Inc.",VTR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Ventas-Inc-Reviews-E8222.htm
Not Recommended,2.0,"Sep 11, 2023",Pay is good for position and great benefits,"Complete and total lack of work life balance. As well as absolutely no opportunities for growth and development. If you decide to work for them then make sure you are happy with the job title and the salary offered. While they do provide small annual salary increases it doesn’t do enough to compensate for lack of career growth. There are some nice managers here, but overall leadership is clueless when it comes to helping their employees grow and develop in the company. Considering that this is a vital part of leadership I would consider the leadership at the company extremely poor. They don’t have the first clue when it comes to true leadership. It doesn’t matter how hard or long you work for them there is absolutely zero effort by them to help you succeed. When a job comes open they’ll fill from someone outside the company. They don’t even bother looking at internal candidates. Companies with good leadership helps their employees to grow and develop within the organization. Don’t be fooled by the salary! It’s a trap. Go to a company with clear strategies for growth and development. The salary may be lower initially, but in 3-5 you’ll be way better off.","Ventas, Inc.",VTR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Ventas-Inc-Reviews-E8222.htm
Employment Review,4.0,"Oct 23, 2024",Good opportunities for internal growth,Multiple levels of reviews for necessary approvals,"Ventas, Inc.",VTR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Ventas-Inc-Reviews-E8222.htm
Ventas,3.0,"Oct 16, 2024","Colleagues, location, flexibility, diversity, pay","Micro management, work life balance","Ventas, Inc.",VTR,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Ventas-Inc-Reviews-E8222.htm
