title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
It is great working here,5.0,"Oct 27, 2025",The leadership group is well organized. It is worth to learn and growing here.,I have not found any cons so far.,Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Not Worth It,1.0,"Oct 30, 2025",Good Work Life Balance Most are friendly,"They don't know what they are doing. They worry about keeping things private even amongst employee They have restrictive practices in Technology, which even hinders one's work and many have said they don't have access to basic things required for their daily work. So, people have started cutting corners in how they work and what they do. Not much time before this starts becoming visible in their earnings too.",Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Work life balance,2.0,"Oct 18, 2025",A company with high growth potential and chance for development,Long hours often resulting in working weekends. Low work/life balance.,Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Toxic Environment and Limited Career Advancement,2.0,"Mar 10, 2025","The company offers a solid benefits package that promotes a healthy work-life balance. Leadership within my department and across the company values grit and initiative, recognizing those who go above and beyond. Executives are committed to the long-term success of the company and focus on sustainable growth. However, opportunities to collaborate with others are limited, and while there is a strong sense of inclusivity when discussing the company’s future, the lack of clear advancement paths and middle management improvements hinder the overall culture.","Unfortunately, I experienced second-class treatment under my manager. Despite my hard work, I was often sidelined with fewer opportunities for advancement and recognition compared to those in favor with management. The culture encouraged snitching, which, combined with favoritism, fostered a toxic work environment. Those who aligned with management were rewarded, leaving others feeling unsupported. The uneven workload, lack of transparency, and poor communication created an atmosphere of disrespect and disillusionment, making me feel undervalued and isolated.",Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Pros and Cons,5.0,"Jul 16, 2025","1. Excellent benefits & perks Employees consistently praise Welltower’s comprehensive benefits, including health coverage, PTO, wellness programs, and even pet benefits. 2. Smart, challenging environment Many highlight the opportunity to work alongside intelligent, driven colleagues on high-impact projects that offer visibility and growth indeed. 3. Strong organizational reputation As an S&P 500 healthcare-REIT with investment-grade credit ratings (BBB+, Baa1), Welltower offers stability, access to large-scale capital projects, and a respected position in the market Welltower Inc. 4. Development opportunities Interns report structured learning, mentorship, and weekly training sessions helpful for early career development.","1. Management inconsistency Reviews indicate variability in leadership quality across teams and regions. Complaints include limited transparency, favoritism, and micromanagement . 2. High workload and pace Welltower’s fast-paced, demanding culture can lead to long hours, stress, and work-life balance challenges—often with little recognition",Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
"Yardi is an Innovative product, Welltower is a strategic organization",5.0,"May 16, 2025","1. Welltower's culture is to support its employees 2. Leadership values it's culture and works with employees to ensure there is job satisfaction and retention across the teams 3. Career opportunities are strong with designated pathways to grow 4. The Yardi product being deployed for properties is a huge game changer for front end and back end property operations 5. Welltower's approach to property management through leveraging this product is 6. Welltower provides sufficient information in the job requirements, the goals to be met in the position, and the autonomy to have your work style to reach them. 7. Diversity is valued here","Not applicable, currently the company is in a state of growth. No cons, the opportunity to develop would be challenging for each department, but growth isn't a bad thing.",Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Great Company,5.0,"Jul 9, 2025",The company has great benefits with an amazing team. Everyone is supportive and really want to see you succeed.,I do not have any cons.,Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Strong company and culture,4.0,"Jul 8, 2025",- Very strong performing culture - Ability to take on new tasks/initiatives - Very smart CEO and management team,- Very top down management - Can be heavy hours during busy periods,Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Great Company,5.0,"Jun 27, 2025",Pay is great; people are great,"They treat their employees good and expect them to work hard, which seems fair to me.",Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Good Company and care about employees,5.0,"Jun 3, 2025","Growing, opportunities, kind people, fun work product","Disorganized, care about the bottom line a lot, not as detailed",Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Great,5.0,"Jun 10, 2025",Great place to work with friendly people,"There are no offices or separate cubicles, it is an open environment",Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Good Company,5.0,"Jun 3, 2025",Better than avg pay Healthcare Giant - Great Reputation Very Flexible depending on direct supervisor,New processes needed Sometimes need long hour,Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Welltower,3.0,"May 14, 2025",Great benefits and bonus percentage is great overall.,Alot of traveling. Long hours process changes.,Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Visionaries,5.0,"Apr 22, 2025",Fast paced Remarkable professionals High standards Supportive teams Growth opportunities,Multiple reporting platforms Communication LOB silos,Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Pass,1.0,"Apr 21, 2025",- freedom to pursue any opportunity with little to no oversight,- toxic flat organization that does not allow for material advancement,Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Great Company,5.0,"Feb 6, 2025",Great working environment Great teams overall Incredible benefits Fast growing company,Growing pains due to fast growth Lack of individual development Lack of promotional ability,Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
Toxic Office & Environment,1.0,"Dec 18, 2024",The direct deposit is decent. Employee stock purchase plan,Bad manager Bad higher level leadership Yells at employees References rude & inappropriate things during work In office environment is terrible severance type environment,Welltower Inc.,WELL,Health Care,2025-11-20,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm
